"plb0218","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"No, never","2005","(0) in school","in school","16","","",""
"No, never","2005","(0) in school","inadequately","","","",""
"No, never","2005","(0) in school","general elemantary","","","",""
"No, never","2005","(0) in school","middle vocational","","","",""
"No, never","2005","(0) in school","vocational + Abi","","","",""
"No, never","2005","(0) in school","higher vocational","","","",""
"No, never","2005","(0) in school","higher education","","","",""
"No, never","2005","(1a) inadequately completed","in school","","","",""
"No, never","2005","(1a) inadequately completed","inadequately","28","","",""
"No, never","2005","(1a) inadequately completed","general elemantary","","","",""
"No, never","2005","(1a) inadequately completed","middle vocational","5","","",""
"No, never","2005","(1a) inadequately completed","vocational + Abi","","","",""
"No, never","2005","(1a) inadequately completed","higher vocational","","","",""
"No, never","2005","(1a) inadequately completed","higher education","","","",""
"No, never","2005","(1b) general elementary school","in school","","","",""
"No, never","2005","(1b) general elementary school","inadequately","14","","",""
"No, never","2005","(1b) general elementary school","general elemantary","277","0.438795822644537","0.398445063056507","0.479146582232567"
"No, never","2005","(1b) general elementary school","middle vocational","","","",""
"No, never","2005","(1b) general elementary school","vocational + Abi","","","",""
"No, never","2005","(1b) general elementary school","higher vocational","","","",""
"No, never","2005","(1b) general elementary school","higher education","","","",""
"No, never","2005","(1c) basic vocational qualification","in school","","","",""
"No, never","2005","(1c) basic vocational qualification","inadequately","","","",""
"No, never","2005","(1c) basic vocational qualification","general elemantary","","","",""
"No, never","2005","(1c) basic vocational qualification","middle vocational","831","0.364044160891027","0.344362911545652","0.383725410236402"
"No, never","2005","(1c) basic vocational qualification","vocational + Abi","","","",""
"No, never","2005","(1c) basic vocational qualification","higher vocational","53","0.241253445975353","0.186667955367098","0.295838936583608"
"No, never","2005","(1c) basic vocational qualification","higher education","","","",""
"No, never","2005","(2b) intermediate general qualification","in school","","","",""
"No, never","2005","(2b) intermediate general qualification","inadequately","","","",""
"No, never","2005","(2b) intermediate general qualification","general elemantary","155","0.43536154037974","0.382109502421417","0.488613578338062"
"No, never","2005","(2b) intermediate general qualification","middle vocational","","","",""
"No, never","2005","(2b) intermediate general qualification","vocational + Abi","","","",""
"No, never","2005","(2b) intermediate general qualification","higher vocational","","","",""
"No, never","2005","(2b) intermediate general qualification","higher education","","","",""
"No, never","2005","(2a) intermediate vocational","in school","","","",""
"No, never","2005","(2a) intermediate vocational","inadequately","","","",""
"No, never","2005","(2a) intermediate vocational","general elemantary","","","",""
"No, never","2005","(2a) intermediate vocational","middle vocational","1047","0.347828051708115","0.330205547737828","0.365450555678402"
"No, never","2005","(2a) intermediate vocational","vocational + Abi","","","",""
"No, never","2005","(2a) intermediate vocational","higher vocational","146","0.261041565704551","0.222659447681845","0.299423683727258"
