"plb0218","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","16-34 y.","Full Time","731","0.345014346049339","0.324043836285455","0.365984855813224","1"
"No, never","2005","16-34 y.","Part Time","432","0.394016394572279","0.364887578871008","0.42314521027355","1"
"No, never","2005","16-34 y.","Not Working","63","0.567400937313088","0.471253919865731","0.663547954760446","1"
"No, never","2005","35-65 y.","Full Time","1766","0.310265889257317","0.298230142916297","0.322301635598337","1"
"No, never","2005","35-65 y.","Part Time","1202","0.476438865870808","0.456540028665864","0.496337703075753","1"
"No, never","2005","35-65 y.","Not Working","35","0.589069820438383","0.470371785599031","0.707767855277735","1"
"No, never","2005","66 and older","Full Time","5","","","","1"
"No, never","2005","66 and older","Part Time","50","0.51775852049942","0.419328765855898","0.616188275142941","1"
"No, never","2005","66 and older","Not Working","2","","","","1"
"Rarely","2005","16-34 y.","Full Time","475","0.248517798181917","0.22945386026472","0.267581736099114","5"
"Rarely","2005","16-34 y.","Part Time","182","0.16208650980658","0.140117611897503","0.184055407715657","5"
"Rarely","2005","16-34 y.","Not Working","14","","","","5"
"Rarely","2005","35-65 y.","Full Time","1724","0.292113699115559","0.280282660436268","0.303944737794851","5"
"Rarely","2005","35-65 y.","Part Time","486","0.198409407946064","0.182520361142354","0.214298454749774","5"
"Rarely","2005","35-65 y.","Not Working","10","","","","5"
"Rarely","2005","66 and older","Full Time","5","","","","5"
"Rarely","2005","66 and older","Part Time","18","","","","5"
"Rarely","2005","66 and older","Not Working","1","","","","5"
"Yes, every 2 weeks","2005","16-34 y.","Full Time","301","0.162683268674459","0.146401902403432","0.178964634945487","3"
"Yes, every 2 weeks","2005","16-34 y.","Part Time","213","0.19098583153115","0.167553587435438","0.214418075626862","3"
"Yes, every 2 weeks","2005","35-65 y.","Not Working","7","","","","3"
"Yes, every 2 weeks","2005","66 and older","Full Time","4","","","","3"
"Yes, every 2 weeks","2005","16-34 y.","Not Working","11","","","","3"
"Yes, every 2 weeks","2005","35-65 y.","Full Time","751","0.140820304975947","0.131770487902823","0.149870122049071","3"
"Yes, every 2 weeks","2005","35-65 y.","Part Time","306","0.130212062233536","0.116803793463078","0.143620331003993","3"
"Yes, every 2 weeks","2005","66 and older","Not Working","","","","","3"
"Yes, every 2 weeks","2005","66 and older","Part Time","5","","","","3"
"Yes, every 3-4 weeks","2005","16-34 y.","Full Time","183","0.0870300918543766","0.0745953300809225","0.0994648536278307","4"
"Yes, every 3-4 weeks","2005","35-65 y.","Part Time","169","0.0692216903622277","0.0591085825926202","0.0793347981318351","4"
"Yes, every 3-4 weeks","2005","35-65 y.","Not Working","3","","","","4"
"Yes, every 3-4 weeks","2005","16-34 y.","Part Time","80","0.0895636346158766","0.0725410345045623","0.106586234727191","4"
"Yes, every 3-4 weeks","2005","16-34 y.","Not Working","6","","","","4"
"Yes, every 3-4 weeks","2005","35-65 y.","Full Time","596","0.106822026596964","0.0987855706793646","0.114858482514563","4"
"Yes, every 3-4 weeks","2005","66 and older","Full Time","4","","","","4"
"Yes, every 3-4 weeks","2005","66 and older","Part Time","6","","","","4"
"Yes, every 3-4 weeks","2005","66 and older","Not Working","","","","","4"
"Yes, every week","2005","16-34 y.","Part Time","174","0.163347629474115","0.141310035099637","0.185385223848592","2"
"Yes, every week","2005","16-34 y.","Full Time","284","0.156754495239908","0.140716076940479","0.172792913539336","2"
"Yes, every week","2005","35-65 y.","Full Time","838","0.149978080054213","0.140688542055578","0.159267618052848","2"
"Yes, every week","2005","35-65 y.","Part Time","257","0.125717973587364","0.112509127819562","0.138926819355166","2"
"Yes, every week","2005","16-34 y.","Not Working","8","","","","2"
"Yes, every week","2005","66 and older","Full Time","15","","","","2"
"Yes, every week","2005","66 and older","Part Time","20","","","","2"
"Yes, every week","2005","35-65 y.","Not Working","11","","","","2"
"Yes, every week","2005","66 and older","Not Working","","","","","2"
"No, never","2006","35-65 y.","Part Time","","","","","1"
"No, never","2006","35-65 y.","Not Working","","","","","1"
"No, never","2006","16-34 y.","Full Time","","","","","1"
"No, never","2006","16-34 y.","Part Time","","","","","1"
"No, never","2006","16-34 y.","Not Working","","","","","1"
"No, never","2006","35-65 y.","Full Time","","","","","1"
"No, never","2006","66 and older","Full Time","","","","","1"
"No, never","2006","66 and older","Part Time","","","","","1"
"No, never","2006","66 and older","Not Working","","","","","1"
"Rarely","2006","16-34 y.","Part Time","","","","","5"
"Rarely","2006","35-65 y.","Not Working","","","","","5"
"Rarely","2006","16-34 y.","Full Time","","","","","5"
"Rarely","2006","35-65 y.","Part Time","","","","","5"
"Rarely","2006","35-65 y.","Full Time","","","","","5"
"Rarely","2006","16-34 y.","Not Working","","","","","5"
"Rarely","2006","66 and older","Part Time","","","","","5"
"Rarely","2006","66 and older","Not Working","","","","","5"
"Rarely","2006","66 and older","Full Time","","","","","5"
"Yes, every 2 weeks","2006","35-65 y.","Not Working","","","","","3"
"Yes, every 2 weeks","2006","66 and older","Part Time","","","","","3"
"Yes, every 2 weeks","2006","66 and older","Not Working","","","","","3"
"Yes, every 2 weeks","2006","16-34 y.","Full Time","","","","","3"
"Yes, every 2 weeks","2006","16-34 y.","Part Time","","","","","3"
"Yes, every 2 weeks","2006","35-65 y.","Full Time","","","","","3"
"Yes, every 2 weeks","2006","35-65 y.","Part Time","","","","","3"
"Yes, every 2 weeks","2006","66 and older","Full Time","","","","","3"
"Yes, every 2 weeks","2006","16-34 y.","Not Working","","","","","3"
"Yes, every 3-4 weeks","2006","16-34 y.","Full Time","","","","","4"
"Yes, every 3-4 weeks","2006","16-34 y.","Not Working","","","","","4"
"Yes, every 3-4 weeks","2006","35-65 y.","Full Time","","","","","4"
"Yes, every 3-4 weeks","2006","35-65 y.","Part Time","","","","","4"
"Yes, every 3-4 weeks","2006","35-65 y.","Not Working","","","","","4"
