"plh0194","year","migback","n","percent","lower_confidence","upper_confidence","value"
"Disagree fully","2003","no migration background","312","0.0176338460494408","0.0157518529216516","0.01951583917723","4"
"Disagree fully","2003","direct migration background","48","0.018861192148719","0.0136522774900073","0.0240701068074307","4"
"Disagree fully","2003","indirect migration background","15","","","","4"
"Fully agree","2003","no migration background","8195","0.453948243768987","0.446829097934046","0.461067389603929","1"
"Fully agree","2003","direct migration background","1292","0.481209700040963","0.462077691963402","0.500341708118525","1"
"Fully agree","2003","indirect migration background","341","0.429907601207861","0.395142816085733","0.464672386329989","1"
"Rather agree","2003","no migration background","8295","0.425880123453219","0.418809580054369","0.43295066685207","2"
"Rather agree","2003","direct migration background","1056","0.412264873623046","0.393416389176377","0.431113358069716","2"
"Rather agree","2003","indirect migration background","344","0.42569679511757","0.390975159716962","0.460418430518177","2"
"Rather disagree","2003","no migration background","1986","0.102537786728353","0.0982001031247966","0.106875470331909","3"
"Rather disagree","2003","direct migration background","224","0.0876642341872713","0.0768352924448143","0.0984931759297282","3"
"Rather disagree","2003","indirect migration background","79","0.12035157249026","0.0975029610574371","0.143200183923084","3"
"Disagree fully","2004","no migration background","","","","","4"
"Disagree fully","2004","direct migration background","","","","","4"
"Disagree fully","2004","indirect migration background","","","","","4"
"Fully agree","2004","no migration background","","","","","1"
"Fully agree","2004","direct migration background","","","","","1"
"Fully agree","2004","indirect migration background","","","","","1"
"Rather agree","2004","no migration background","","","","","2"
"Rather agree","2004","direct migration background","","","","","2"
"Rather agree","2004","indirect migration background","","","","","2"
"Rather disagree","2004","no migration background","","","","","3"
"Rather disagree","2004","direct migration background","","","","","3"
"Rather disagree","2004","indirect migration background","","","","","3"
"Disagree fully","2005","no migration background","","","","","4"
"Disagree fully","2005","direct migration background","","","","","4"
"Disagree fully","2005","indirect migration background","","","","","4"
"Fully agree","2005","no migration background","","","","","1"
"Fully agree","2005","direct migration background","","","","","1"
"Fully agree","2005","indirect migration background","","","","","1"
"Rather agree","2005","no migration background","","","","","2"
"Rather agree","2005","direct migration background","","","","","2"
"Rather agree","2005","indirect migration background","","","","","2"
"Rather disagree","2005","no migration background","","","","","3"
"Rather disagree","2005","direct migration background","","","","","3"
"Rather disagree","2005","indirect migration background","","","","","3"
"Disagree fully","2006","no migration background","","","","","4"
"Disagree fully","2006","direct migration background","","","","","4"
"Disagree fully","2006","indirect migration background","","","","","4"
"Fully agree","2006","no migration background","","","","","1"
"Fully agree","2006","direct migration background","","","","","1"
"Fully agree","2006","indirect migration background","","","","","1"
"Rather agree","2006","direct migration background","","","","","2"
"Rather agree","2006","indirect migration background","","","","","2"
"Rather agree","2006","no migration background","","","","","2"
"Rather disagree","2006","no migration background","","","","","3"
"Rather disagree","2006","direct migration background","","","","","3"
"Rather disagree","2006","indirect migration background","","","","","3"
"Disagree fully","2007","no migration background","","","","","4"
"Disagree fully","2007","direct migration background","","","","","4"
"Disagree fully","2007","indirect migration background","","","","","4"
"Fully agree","2007","no migration background","","","","","1"
"Fully agree","2007","direct migration background","","","","","1"
"Fully agree","2007","indirect migration background","","","","","1"
"Rather agree","2007","no migration background","","","","","2"
"Rather agree","2007","direct migration background","","","","","2"
"Rather agree","2007","indirect migration background","","","","","2"
"Rather disagree","2007","no migration background","","","","","3"
"Rather disagree","2007","direct migration background","","","","","3"
"Rather disagree","2007","indirect migration background","","","","","3"
"Disagree fully","2008","no migration background","299","0.0174256508371391","0.0154403049839866","0.0194109966902916","4"
"Disagree fully","2008","direct migration background","27","","","","4"
"Disagree fully","2008","indirect migration background","8","","","","4"
"Fully agree","2008","no migration background","6936","0.424709766457964","0.417209985443243","0.432209547472685","1"
"Fully agree","2008","direct migration background","930","0.489669051028199","0.467209246188747","0.512128855867651","1"
"Fully agree","2008","indirect migration background","356","0.469845289894903","0.434616343656072","0.505074236133733","1"
"Rather agree","2008","no migration background","7585","0.449117634171903","0.441570736749866","0.45666453159394","2"
"Rather agree","2008","direct migration background","767","0.407081450611385","0.385008170614444","0.429154730608327","2"
"Rather agree","2008","indirect migration background","332","0.426459209669325","0.391549856164568","0.461368563174083","2"
"Rather disagree","2008","no migration background","1867","0.108746948532994","0.104023404016834","0.113470493049153","3"
