"plh0194","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","Schleswig-Holstein","no migration background","215","0.392059018654126","0.352698502498416","0.431419534809835"
"Fully agree","2003","Schleswig-Holstein","direct migration background","16","","",""
"Fully agree","2003","Schleswig-Holstein","indirect migration background","2","","",""
"Fully agree","2003","Hamburg","no migration background","113","0.481702096625787","0.421768346253572","0.541635846998002"
"Fully agree","2003","Hamburg","direct migration background","6","","",""
"Fully agree","2003","Hamburg","indirect migration background","4","","",""
"Fully agree","2003","Lower Saxony","no migration background","719","0.44169385707786","0.417761954777031","0.465625759378689"
"Fully agree","2003","Lower Saxony","direct migration background","103","0.417042794628128","0.34971054432746","0.484375044928796"
"Fully agree","2003","Lower Saxony","indirect migration background","24","","",""
"Fully agree","2003","Bremen","no migration background","77","0.578709142021341","0.498340750049245","0.659077533993438"
"Fully agree","2003","Bremen","direct migration background","10","","",""
"Fully agree","2003","Bremen","indirect migration background","1","","",""
"Fully agree","2003","North Rhine-Westphalia","no migration background","1691","0.477485479070201","0.461449419492516","0.493521538647887"
"Fully agree","2003","North Rhine-Westphalia","direct migration background","394","0.523334644848074","0.48654479637375","0.560124493322398"
"Fully agree","2003","North Rhine-Westphalia","indirect migration background","104","0.448391493025708","0.38326341804328","0.513519568008136"
"Fully agree","2003","Hesse","no migration background","508","0.46166524748145","0.433268928890409","0.490061566072491"
"Fully agree","2003","Hesse","direct migration background","136","0.508532126360841","0.446437333629478","0.570626919092205"
"Fully agree","2003","Hesse","indirect migration background","24","","",""
"Fully agree","2003","Rhineland-Palatinate,Saarland","no migration background","550","0.494293080366195","0.46497313086688","0.523613029865511"
"Fully agree","2003","Rhineland-Palatinate,Saarland","direct migration background","111","0.641510108985758","0.573500290396115","0.709519927575401"
"Fully agree","2003","Rhineland-Palatinate,Saarland","indirect migration background","21","","",""
"Fully agree","2003","Baden-Württemberg","no migration background","717","0.401661016336875","0.379652532047448","0.423669500626302"
"Fully agree","2003","Baden-Württemberg","direct migration background","280","0.515522671548343","0.475196898722289","0.555848444374398"
"Fully agree","2003","Baden-Württemberg","indirect migration background","92","0.50993182537161","0.439946922508463","0.579916728234756"
"Fully agree","2003","Bavaria","no migration background","985","0.405233353303975","0.386409684154754","0.424057022453196"
"Fully agree","2003","Bavaria","direct migration background","151","0.351012894483861","0.304003996812273","0.39802179215545"
"Fully agree","2003","Bavaria","indirect migration background","48","0.359045377590885","0.273920502510808","0.444170252670963"
"Fully agree","2003","Berlin","no migration background","291","0.401533175671189","0.36587488361284","0.437191467729539"
"Fully agree","2003","Berlin","direct migration background","28","","",""
"Fully agree","2003","Berlin","indirect migration background","13","","",""
"Fully agree","2003","Brandenburg","no migration background","441","0.477570680829507","0.445450880764214","0.509690480894801"
"Fully agree","2003","Brandenburg","direct migration background","5","","",""
"Fully agree","2003","Brandenburg","indirect migration background","1","","",""
"Fully agree","2003","Mecklenburg-Western Pomerania","no migration background","271","0.599685494782311","0.557120593020301","0.642250396544321"
"Fully agree","2003","Mecklenburg-Western Pomerania","direct migration background","12","","",""
"Fully agree","2003","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"Fully agree","2003","Saxony","no migration background","690","0.45775649455424","0.433198291102314","0.482314698006166"
"Fully agree","2003","Saxony","direct migration background","15","","",""
"Fully agree","2003","Saxony","indirect migration background","2","","",""
"Fully agree","2003","Saxony-Anhalt","no migration background","487","0.558864084145739","0.526514916503898","0.591213251787579"
"Fully agree","2003","Saxony-Anhalt","direct migration background","13","","",""
"Fully agree","2003","Saxony-Anhalt","indirect migration background","1","","",""
"Fully agree","2003","Thuringia","no migration background","440","0.473025878862912","0.441006585171097","0.505045172554727"
"Fully agree","2003","Thuringia","direct migration background","12","","",""
"Fully agree","2003","Thuringia","indirect migration background","3","","",""
"Rather agree","2003","Schleswig-Holstein","no migration background","265","0.432820452240676","0.392874891792929","0.472766012688424"
"Rather agree","2003","Schleswig-Holstein","direct migration background","29","","",""
"Rather agree","2003","Schleswig-Holstein","indirect migration background","7","","",""
"Rather agree","2003","Hamburg","no migration background","122","0.403436604364447","0.344591760983371","0.462281447745522"
"Rather agree","2003","Hamburg","direct migration background","15","","",""
"Rather agree","2003","Hamburg","indirect migration background","3","","",""
"Rather agree","2003","Lower Saxony","no migration background","760","0.44906225894456","0.425091329216442","0.473033188672678"
"Rather agree","2003","Lower Saxony","direct migration background","81","0.460700319688621","0.392632973434736","0.528767665942505"
"Rather agree","2003","Lower Saxony","indirect migration background","19","","",""
"Rather agree","2003","Bremen","no migration background","44","0.254701702049739","0.183785563767342","0.325617840332136"
"Rather agree","2003","Bremen","direct migration background","10","","",""
"Rather agree","2003","Bremen","indirect migration background","1","","",""
"Rather agree","2003","North Rhine-Westphalia","no migration background","1595","0.410127542017761","0.394336640622261","0.425918443413261"
"Rather agree","2003","North Rhine-Westphalia","direct migration background","238","0.359664522548433","0.324314959913549","0.395014085183317"
"Rather agree","2003","North Rhine-Westphalia","indirect migration background","96","0.414071185629635","0.349567576552318","0.478574794706952"
"Rather agree","2003","Hesse","no migration background","518","0.394949226569756","0.367104767592923","0.422793685546589"
"Rather agree","2003","Hesse","direct migration background","94","0.412488784222772","0.351343555965208","0.473634012480337"
"Rather agree","2003","Hesse","indirect migration background","27","","",""
"Rather agree","2003","Rhineland-Palatinate,Saarland","no migration background","394","0.342940366138048","0.315102675657699","0.370778056618396"
"Rather agree","2003","Rhineland-Palatinate,Saarland","direct migration background","64","0.315853292900519","0.249928506343875","0.381778079457162"
"Rather agree","2003","Rhineland-Palatinate,Saarland","indirect migration background","16","","",""
"Rather agree","2003","Baden-Württemberg","no migration background","917","0.470370284444037","0.447962818064096","0.492777750823977"
"Rather agree","2003","Baden-Württemberg","direct migration background","252","0.388341766471019","0.349015424702741","0.427668108239297"
"Rather agree","2003","Baden-Württemberg","indirect migration background","78","0.381493275844925","0.31348907961969","0.44949747207016"
"Rather agree","2003","Bavaria","no migration background","1368","0.506271141992372","0.487101490004991","0.525440793979753"
"Rather agree","2003","Bavaria","direct migration background","204","0.535520115170121","0.486398589440123","0.584641640900119"
"Rather agree","2003","Bavaria","indirect migration background","64","0.518310927440679","0.429647042773538","0.606974812107819"
"Rather agree","2003","Berlin","no migration background","300","0.43490772539324","0.39884670372583","0.470968747060651"
"Rather agree","2003","Berlin","direct migration background","33","0.429244001213124","0.312455279423037","0.546032723003212"
"Rather agree","2003","Berlin","indirect migration background","21","","",""
"Rather agree","2003","Brandenburg","no migration background","400","0.425209651230208","0.393419212289934","0.457000090170481"
"Rather agree","2003","Brandenburg","direct migration background","9","","",""
"Rather agree","2003","Brandenburg","indirect migration background","1","","",""
"Rather agree","2003","Mecklenburg-Western Pomerania","no migration background","175","0.282003243170069","0.242912179065573","0.321094307274566"
"Rather agree","2003","Mecklenburg-Western Pomerania","direct migration background","4","","",""
"Rather agree","2003","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"Rather agree","2003","Saxony","no migration background","732","0.442949647591578","0.418464283685925","0.467435011497232"
"Rather agree","2003","Saxony","direct migration background","11","","",""
"Rather agree","2003","Saxony","indirect migration background","4","","",""
"Rather agree","2003","Saxony-Anhalt","no migration background","340","0.349487876875012","0.318423148795544","0.38055260495448"
"Rather agree","2003","Saxony-Anhalt","direct migration background","8","","",""
"Rather agree","2003","Saxony-Anhalt","indirect migration background","5","","",""
"Rather agree","2003","Thuringia","no migration background","365","0.375751644014234","0.344691475956006","0.406811812072462"
"Rather agree","2003","Thuringia","direct migration background","4","","",""
"Rather agree","2003","Thuringia","indirect migration background","1","","",""
