"plh0194","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"Disagree fully","2003","16-34 y.","no migration background","56","0.0116581096027256","0.00853983302310477","0.0147763861823464","4"
"Disagree fully","2003","35-65 y.","indirect migration background","3","","","","4"
"Disagree fully","2003","35-65 y.","no migration background","187","0.0189955462589569","0.0164355548532812","0.0215555376646327","4"
"Disagree fully","2003","16-34 y.","direct migration background","10","","","","4"
"Disagree fully","2003","16-34 y.","indirect migration background","12","","","","4"
"Disagree fully","2003","35-65 y.","direct migration background","32","0.0195097868582121","0.0127072526264525","0.0263123210899718","4"
"Disagree fully","2003","66 and older","no migration background","69","0.0201822540371479","0.015393805131231","0.0249707029430648","4"
"Disagree fully","2003","66 and older","direct migration background","6","","","","4"
"Disagree fully","2003","66 and older","indirect migration background","","","","","4"
"Fully agree","2003","16-34 y.","no migration background","1848","0.405568595078527","0.391304967318503","0.419832222838551","1"
"Fully agree","2003","16-34 y.","direct migration background","335","0.455354950047339","0.417786090120884","0.492923809973793","1"
"Fully agree","2003","16-34 y.","indirect migration background","285","0.439099041698364","0.400315532346862","0.477882551049867","1"
"Fully agree","2003","35-65 y.","no migration background","4600","0.444459134194355","0.435140526089369","0.453777742299342","1"
"Fully agree","2003","35-65 y.","direct migration background","775","0.485469996231873","0.460888439019591","0.510051553444155","1"
"Fully agree","2003","35-65 y.","indirect migration background","47","0.354044484728499","0.273671729058819","0.434417240398178","1"
"Fully agree","2003","66 and older","no migration background","1747","0.5227851752604","0.505777068696996","0.539793281823804","1"
"Fully agree","2003","66 and older","direct migration background","182","0.511548365579276","0.459696054571682","0.563400676586869","1"
"Fully agree","2003","66 and older","indirect migration background","9","","","","1"
"Rather agree","2003","35-65 y.","indirect migration background","72","0.491817176189676","0.407795667806766","0.575838684572587","2"
"Rather agree","2003","16-34 y.","no migration background","2136","0.46198949792552","0.447506502532196","0.476472493318844","2"
"Rather agree","2003","16-34 y.","direct migration background","276","0.457631134991514","0.420047276698232","0.495214993284795","2"
"Rather agree","2003","16-34 y.","indirect migration background","270","0.424227784838565","0.385604636271925","0.462850933405205","2"
"Rather agree","2003","66 and older","indirect migration background","2","","","","2"
"Rather agree","2003","35-65 y.","direct migration background","639","0.398363209605148","0.374284697533654","0.422441721676641","2"
"Rather agree","2003","66 and older","no migration background","1195","0.369878746214154","0.353439605014783","0.386317887413525","2"
"Rather agree","2003","66 and older","direct migration background","141","0.382995048698454","0.332569005991768","0.433421091405139","2"
"Rather agree","2003","35-65 y.","no migration background","4964","0.434929942948436","0.425633047959534","0.444226837937339","2"
"Rather disagree","2003","16-34 y.","no migration background","512","0.120783797393227","0.111317085818646","0.130250508967808","3"
"Rather disagree","2003","16-34 y.","direct migration background","54","0.0745245906969029","0.0547125849095224","0.0943365964842835","3"
"Rather disagree","2003","16-34 y.","indirect migration background","62","0.109208936814545","0.0848342085075197","0.133583665121571","3"
"Rather disagree","2003","35-65 y.","no migration background","1172","0.101615376598251","0.0959492275467143","0.107281525649789","3"
"Rather disagree","2003","35-65 y.","direct migration background","142","0.0966570073047673","0.0821236532356062","0.111190361373928","3"
"Rather disagree","2003","35-65 y.","indirect migration background","14","","","","3"
"Rather disagree","2003","66 and older","no migration background","302","0.0871538244882984","0.0775492219356891","0.0967584270409077","3"
"Rather disagree","2003","66 and older","direct migration background","28","","","","3"
"Rather disagree","2003","66 and older","indirect migration background","3","","","","3"
"Disagree fully","2004","16-34 y.","no migration background","","","","","4"
"Disagree fully","2004","16-34 y.","indirect migration background","","","","","4"
"Disagree fully","2004","35-65 y.","no migration background","","","","","4"
"Disagree fully","2004","35-65 y.","direct migration background","","","","","4"
"Disagree fully","2004","16-34 y.","direct migration background","","","","","4"
"Disagree fully","2004","35-65 y.","indirect migration background","","","","","4"
"Disagree fully","2004","66 and older","no migration background","","","","","4"
"Disagree fully","2004","66 and older","direct migration background","","","","","4"
