"plh0194","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","Urban Area","Male","3005","0.436862532943092","0.42535290858221","0.448372157303973"
"Fully agree","2003","Urban Area","Female","3484","0.472402436669311","0.461275348200847","0.483529525137775"
"Fully agree","2003","Rural Area","Male","1553","0.439691452178933","0.423350066886791","0.456032837471075"
"Fully agree","2003","Rural Area","Female","1786","0.479748190274758","0.463813428667226","0.495682951882289"
"Rather agree","2003","Urban Area","Male","3140","0.427027512398991","0.415549244646889","0.438505780151092"
"Rather agree","2003","Urban Area","Female","3350","0.410689601345265","0.399724743855955","0.421654458834574"
"Rather agree","2003","Rural Area","Male","1615","0.456298934132671","0.439900361273375","0.472697506991966"
"Rather agree","2003","Rural Area","Female","1590","0.417486602861003","0.40175741392885","0.433215791793156"
"Rather disagree","2003","Urban Area","Male","850","0.117267434495062","0.10980148883052","0.124733380159605"
"Rather disagree","2003","Urban Area","Female","782","0.0997362882819841","0.0930576863435463","0.106414890220422"
"Rather disagree","2003","Rural Area","Male","313","0.0843820346908137","0.0752307222376057","0.0935333471440218"
"Rather disagree","2003","Rural Area","Female","344","0.0863109340337359","0.0773539000838867","0.0952679679835852"
"Disagree fully","2003","Urban Area","Male","139","0.0188425201628554","0.0156873673922143","0.0219976729334966"
"Disagree fully","2003","Urban Area","Female","117","0.0171716737034401","0.0142762026199487","0.0200671447869314"
"Disagree fully","2003","Rural Area","Male","63","0.0196275789975831","0.0150605881192957","0.0241945698758705"
"Disagree fully","2003","Rural Area","Female","56","0.0164542728305032","0.0123966775822271","0.0205118680787793"
"Fully agree","2004","Urban Area","Male","","","",""
"Fully agree","2004","Urban Area","Female","","","",""
"Fully agree","2004","Rural Area","Male","","","",""
"Fully agree","2004","Rural Area","Female","","","",""
"Rather agree","2004","Urban Area","Male","","","",""
"Rather agree","2004","Urban Area","Female","","","",""
"Rather agree","2004","Rural Area","Male","","","",""
"Rather agree","2004","Rural Area","Female","","","",""
"Rather disagree","2004","Urban Area","Male","","","",""
"Rather disagree","2004","Urban Area","Female","","","",""
"Rather disagree","2004","Rural Area","Male","","","",""
