"plh0194","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Disagree fully","2003","Employed","Rural Area","78","0.0185056839854881","0.014597441435927","0.0224139265350493","4"
"Disagree fully","2003","Not Employed","Urban Area","99","0.0188791619712265","0.0152535469826189","0.0225047769598342","4"
"Disagree fully","2003","Not Employed","Rural Area","41","0.0172848415195942","0.0124154981030576","0.0221541849361308","4"
"Disagree fully","2003","Employed","Urban Area","157","0.0173571654435863","0.0147246099220831","0.0199897209650894","4"
"Fully agree","2003","Not Employed","Urban Area","2654","0.498029790794817","0.484710051940961","0.511349529648674","1"
"Fully agree","2003","Not Employed","Rural Area","1434","0.511938683524973","0.493263277897804","0.530614089152142","1"
"Fully agree","2003","Employed","Urban Area","3835","0.425437085436158","0.415470950572712","0.435403220299603","1"
"Fully agree","2003","Employed","Rural Area","1905","0.423883579213331","0.409553009150599","0.438214149276063","1"
"Rather agree","2003","Employed","Rural Area","2149","0.467846679954472","0.453377123874538","0.482316236034406","2"
"Rather agree","2003","Not Employed","Urban Area","2168","0.394920029881319","0.381897659406863","0.407942400355776","2"
"Rather agree","2003","Not Employed","Rural Area","1056","0.391663013474795","0.37342606093743","0.409899966012161","2"
"Rather agree","2003","Employed","Urban Area","4322","0.435049751287348","0.425056314804645","0.445043187770051","2"
"Rather disagree","2003","Not Employed","Urban Area","492","0.0881710173526368","0.0806175092480727","0.0957245254572009","3"
"Rather disagree","2003","Not Employed","Rural Area","221","0.0791134614806376","0.0690290134576687","0.0891979095036066","3"
"Rather disagree","2003","Employed","Urban Area","1140","0.122155997832908","0.115555049051905","0.128756946613911","3"
"Rather disagree","2003","Employed","Rural Area","436","0.0897640568467089","0.0814748444111338","0.0980532692822839","3"
"Disagree fully","2004","Not Employed","Urban Area","","","","","4"
"Disagree fully","2004","Not Employed","Rural Area","","","","","4"
"Disagree fully","2004","Employed","Urban Area","","","","","4"
"Disagree fully","2004","Employed","Rural Area","","","","","4"
"Fully agree","2004","Not Employed","Rural Area","","","","","1"
"Fully agree","2004","Employed","Urban Area","","","","","1"
"Fully agree","2004","Employed","Rural Area","","","","","1"
"Fully agree","2004","Not Employed","Urban Area","","","","","1"
"Rather agree","2004","Not Employed","Urban Area","","","","","2"
"Rather agree","2004","Not Employed","Rural Area","","","","","2"
"Rather agree","2004","Employed","Urban Area","","","","","2"
"Rather agree","2004","Employed","Rural Area","","","","","2"
"Rather disagree","2004","Not Employed","Rural Area","","","","","3"
"Rather disagree","2004","Employed","Urban Area","","","","","3"
"Rather disagree","2004","Employed","Rural Area","","","","","3"
"Rather disagree","2004","Not Employed","Urban Area","","","","","3"
"Disagree fully","2005","Not Employed","Rural Area","","","","","4"
"Disagree fully","2005","Employed","Urban Area","","","","","4"
"Disagree fully","2005","Employed","Rural Area","","","","","4"
"Disagree fully","2005","Not Employed","Urban Area","","","","","4"
"Fully agree","2005","Not Employed","Rural Area","","","","","1"
"Fully agree","2005","Not Employed","Urban Area","","","","","1"
"Fully agree","2005","Employed","Urban Area","","","","","1"
"Fully agree","2005","Employed","Rural Area","","","","","1"
"Rather agree","2005","Not Employed","Rural Area","","","","","2"
"Rather agree","2005","Employed","Urban Area","","","","","2"
"Rather agree","2005","Employed","Rural Area","","","","","2"
"Rather agree","2005","Not Employed","Urban Area","","","","","2"
"Rather disagree","2005","Not Employed","Rural Area","","","","","3"
