"plh0194","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","Not Employed","West Germany","2917","0.491037539276279","0.478422702037379","0.503652376515179"
"Fully agree","2003","Not Employed","East Germany","1171","0.545202364700657","0.52406540812297","0.566339321278343"
"Fully agree","2003","Employed","West Germany","4363","0.420014038320749","0.410703875052173","0.429324201589324"
"Fully agree","2003","Employed","East Germany","1377","0.448618947339094","0.43145644400649","0.465781450671699"
"Rather agree","2003","Not Employed","West Germany","2469","0.405931443596836","0.393539881486823","0.41832300570685"
"Rather agree","2003","Not Employed","East Germany","755","0.348373532236064","0.328149095973013","0.368597968499115"
"Rather agree","2003","Employed","West Germany","5003","0.44686257856797","0.437484363952835","0.456240793183104"
"Rather agree","2003","Employed","East Germany","1468","0.437034129709605","0.419917643290793","0.454150616128417"
"Rather disagree","2003","Not Employed","West Germany","546","0.0853536251021453","0.0783031396211946","0.0924041105830959"
"Rather disagree","2003","Not Employed","East Germany","167","0.0853656439144591","0.0735046848666239","0.0972266029622944"
"Rather disagree","2003","Employed","West Germany","1253","0.115499143820526","0.109470006655504","0.121528280985548"
"Rather disagree","2003","Employed","East Germany","323","0.0962186622405782","0.0860426586537233","0.106394665827433"
"Disagree fully","2003","Not Employed","West Germany","101","0.0176773920247393","0.0143521933813105","0.0210025906681682"
"Disagree fully","2003","Not Employed","East Germany","39","0.0210584591488201","0.0149638457078081","0.0271530725898321"
"Disagree fully","2003","Employed","West Germany","177","0.0176242392907553","0.0151421885104057","0.0201062900711049"
"Disagree fully","2003","Employed","East Germany","58","0.0181282607107229","0.0135244086596871","0.0227321127617587"
"Fully agree","2004","Not Employed","West Germany","","","",""
"Fully agree","2004","Not Employed","East Germany","","","",""
"Fully agree","2004","Employed","West Germany","","","",""
"Fully agree","2004","Employed","East Germany","","","",""
"Rather agree","2004","Not Employed","West Germany","","","",""
"Rather agree","2004","Not Employed","East Germany","","","",""
"Rather agree","2004","Employed","West Germany","","","",""
"Rather agree","2004","Employed","East Germany","","","",""
"Rather disagree","2004","Not Employed","West Germany","","","",""
"Rather disagree","2004","Not Employed","East Germany","","","",""
"Rather disagree","2004","Employed","West Germany","","","",""
"Rather disagree","2004","Employed","East Germany","","","",""
"Disagree fully","2004","Not Employed","West Germany","","","",""
"Disagree fully","2004","Not Employed","East Germany","","","",""
"Disagree fully","2004","Employed","West Germany","","","",""
"Disagree fully","2004","Employed","East Germany","","","",""
"Fully agree","2005","Not Employed","West Germany","","","",""
"Fully agree","2005","Not Employed","East Germany","","","",""
"Fully agree","2005","Employed","West Germany","","","",""
"Fully agree","2005","Employed","East Germany","","","",""
"Rather agree","2005","Not Employed","West Germany","","","",""
"Rather agree","2005","Not Employed","East Germany","","","",""
"Rather agree","2005","Employed","West Germany","","","",""
"Rather agree","2005","Employed","East Germany","","","",""
"Rather disagree","2005","Not Employed","West Germany","","","",""
"Rather disagree","2005","Not Employed","East Germany","","","",""
"Rather disagree","2005","Employed","West Germany","","","",""
"Rather disagree","2005","Employed","East Germany","","","",""
"Disagree fully","2005","Not Employed","West Germany","","","",""
"Disagree fully","2005","Not Employed","East Germany","","","",""
"Disagree fully","2005","Employed","West Germany","","","",""
"Disagree fully","2005","Employed","East Germany","","","",""
"Fully agree","2006","Not Employed","West Germany","","","",""
"Fully agree","2006","Not Employed","East Germany","","","",""
"Fully agree","2006","Employed","West Germany","","","",""
"Fully agree","2006","Employed","East Germany","","","",""
"Rather agree","2006","Not Employed","West Germany","","","",""
"Rather agree","2006","Not Employed","East Germany","","","",""
"Rather agree","2006","Employed","West Germany","","","",""
"Rather agree","2006","Employed","East Germany","","","",""
"Rather disagree","2006","Not Employed","West Germany","","","",""
"Rather disagree","2006","Not Employed","East Germany","","","",""
"Rather disagree","2006","Employed","West Germany","","","",""
"Rather disagree","2006","Employed","East Germany","","","",""
"Disagree fully","2006","Not Employed","West Germany","","","",""
"Disagree fully","2006","Not Employed","East Germany","","","",""
"Disagree fully","2006","Employed","West Germany","","","",""
"Disagree fully","2006","Employed","East Germany","","","",""
"Fully agree","2007","Not Employed","West Germany","","","",""
"Fully agree","2007","Not Employed","East Germany","","","",""
"Fully agree","2007","Employed","West Germany","","","",""
"Fully agree","2007","Employed","East Germany","","","",""
"Rather agree","2007","Not Employed","West Germany","","","",""
"Rather agree","2007","Not Employed","East Germany","","","",""
"Rather agree","2007","Employed","West Germany","","","",""
"Rather agree","2007","Employed","East Germany","","","",""
"Rather disagree","2007","Not Employed","West Germany","","","",""
"Rather disagree","2007","Not Employed","East Germany","","","",""
"Rather disagree","2007","Employed","West Germany","","","",""
"Rather disagree","2007","Employed","East Germany","","","",""
"Disagree fully","2007","Not Employed","West Germany","","","",""
"Disagree fully","2007","Not Employed","East Germany","","","",""
"Disagree fully","2007","Employed","West Germany","","","",""
"Disagree fully","2007","Employed","East Germany","","","",""
"Fully agree","2008","Not Employed","West Germany","2587","0.479231575038932","0.466003627151977","0.492459522925887"
"Fully agree","2008","Not Employed","East Germany","1026","0.518216264603184","0.49625175617895","0.540180773027419"
"Fully agree","2008","Employed","West Germany","3439","0.39254982905889","0.38251243202781","0.40258722608997"
"Fully agree","2008","Employed","East Germany","1170","0.442338821849169","0.423949032270245","0.460728611428092"
"Rather agree","2008","Not Employed","West Germany","2299","0.408238041323612","0.395223535016627","0.421252547630598"
"Rather agree","2008","Not Employed","East Germany","732","0.359715938768353","0.338619648749947","0.380812228786759"
"Rather agree","2008","Employed","West Germany","4405","0.479238535819497","0.468969878441665","0.489507193197329"
"Rather agree","2008","Employed","East Germany","1248","0.435071768519313","0.416715216202386","0.45342832083624"
"Rather disagree","2008","Not Employed","West Germany","497","0.0925703091801541","0.0848959911899375","0.100244627170371"
"Rather disagree","2008","Not Employed","East Germany","182","0.096125384121678","0.0831681280980735","0.109082640145283"
"Rather disagree","2008","Employed","West Germany","1101","0.114742124315542","0.108191016904815","0.121293231726269"
"Rather disagree","2008","Employed","East Germany","341","0.10950469170265","0.097942339169015","0.121067044236285"
"Disagree fully","2008","Not Employed","West Germany","96","0.0199600744573015","0.0162566763214393","0.0236634725931638"
"Disagree fully","2008","Not Employed","East Germany","48","0.0259424125067843","0.018954661874502","0.0329301631390665"
"Disagree fully","2008","Employed","West Germany","147","0.0134695108060711","0.0111000499146531","0.015838971697489"
"Disagree fully","2008","Employed","East Germany","43","0.0130847179288687","0.0088771014730905","0.0172923343846469"
"Fully agree","2009","Not Employed","West Germany","","","",""
"Fully agree","2009","Not Employed","East Germany","","","",""
"Fully agree","2009","Employed","West Germany","","","",""
"Fully agree","2009","Employed","East Germany","","","",""
"Rather agree","2009","Not Employed","West Germany","","","",""
"Rather agree","2009","Not Employed","East Germany","","","",""
"Rather agree","2009","Employed","West Germany","","","",""
"Rather agree","2009","Employed","East Germany","","","",""
"Rather disagree","2009","Not Employed","West Germany","","","",""
"Rather disagree","2009","Not Employed","East Germany","","","",""
"Rather disagree","2009","Employed","West Germany","","","",""
"Rather disagree","2009","Employed","East Germany","","","",""
"Disagree fully","2009","Not Employed","West Germany","","","",""
"Disagree fully","2009","Not Employed","East Germany","","","",""
"Disagree fully","2009","Employed","West Germany","","","",""
"Disagree fully","2009","Employed","East Germany","","","",""
"Fully agree","2010","Not Employed","West Germany","","","",""
"Fully agree","2010","Not Employed","East Germany","","","",""
"Fully agree","2010","Employed","West Germany","","","",""
"Fully agree","2010","Employed","East Germany","","","",""
"Rather agree","2010","Not Employed","West Germany","","","",""
"Rather agree","2010","Not Employed","East Germany","","","",""
"Rather agree","2010","Employed","West Germany","","","",""
"Rather agree","2010","Employed","East Germany","","","",""
"Rather disagree","2010","Not Employed","West Germany","","","",""
