"plh0194","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","lower secondary degree","West Germany","3204","0.50183366931018","0.489541650092446","0.514125688527915"
"Fully agree","2003","lower secondary degree","East Germany","861","0.558863595513909","0.534161056585155","0.583566134442664"
"Fully agree","2003","secondary school degree","West Germany","1744","0.44056282965316","0.425293809018997","0.455831850287323"
"Fully agree","2003","secondary school degree","East Germany","1155","0.486840025025969","0.46681393024046","0.506866119811477"
"Fully agree","2003","college entrance qualification","West Germany","1320","0.324294803838131","0.310313112748626","0.338276494927635"
"Fully agree","2003","college entrance qualification","East Germany","384","0.35756107400504","0.329554313988525","0.385567834021555"
"Fully agree","2003","Other degree","West Germany","608","0.522053079411585","0.493660534035211","0.550445624787958"
"Fully agree","2003","Other degree","East Germany","28","","",""
"Fully agree","2003","no degree/no degree yet","West Germany","304","0.432575067342315","0.396055692575812","0.469094442108819"
"Fully agree","2003","no degree/no degree yet","East Germany","89","0.540667733711055","0.468465397624568","0.612870069797543"
"Rather agree","2003","lower secondary degree","West Germany","2567","0.399892585281592","0.387849373627392","0.411935796935792"
"Rather agree","2003","lower secondary degree","East Germany","540","0.335592877153643","0.31210056625647","0.359085188050816"
"Rather agree","2003","secondary school degree","West Germany","1872","0.44998253780342","0.434681613536961","0.465283462069879"
"Rather agree","2003","secondary school degree","East Germany","1022","0.425782147154151","0.405971037079161","0.445593257229142"
"Rather agree","2003","college entrance qualification","West Germany","2179","0.491782373790922","0.476850221196429","0.506714526385415"
"Rather agree","2003","college entrance qualification","East Germany","547","0.4560827851748","0.426978289913551","0.485187280436049"
"Rather agree","2003","Other degree","West Germany","459","0.374962596218322","0.347445402503858","0.402479789932785"
"Rather agree","2003","Other degree","East Germany","15","","",""
"Rather agree","2003","no degree/no degree yet","West Germany","309","0.438267299405989","0.401693273241678","0.474841325570299"
"Rather agree","2003","no degree/no degree yet","East Germany","75","0.338498325275621","0.26993903986011","0.407057610691131"
"Rather disagree","2003","lower secondary degree","West Germany","503","0.0831235296960994","0.0763365969005371","0.0899104624916618"
"Rather disagree","2003","lower secondary degree","East Germany","120","0.0810864300984992","0.0675059959072759","0.0946668642897226"
"Rather disagree","2003","secondary school degree","West Germany","384","0.0926413568335179","0.0837242588235252","0.101558454843511"
"Rather disagree","2003","secondary school degree","East Germany","181","0.0747540036067727","0.0642168677969761","0.0852911394165694"
"Rather disagree","2003","college entrance qualification","West Germany","710","0.158793789213031","0.147877398542005","0.169710179884058"
"Rather disagree","2003","college entrance qualification","East Germany","165","0.155219380327232","0.134059326239925","0.176379434414539"
"Rather disagree","2003","Other degree","West Germany","95","0.0860964833078154","0.0701523820330744","0.102040584582556"
"Rather disagree","2003","Other degree","East Germany","3","","",""
"Rather disagree","2003","no degree/no degree yet","West Germany","85","0.118147519349537","0.0943545492763194","0.141940489422755"
"Rather disagree","2003","no degree/no degree yet","East Germany","18","","",""
"Disagree fully","2003","lower secondary degree","West Germany","82","0.0151502157121285","0.012147248765099","0.0181531826591579"
"Disagree fully","2003","lower secondary degree","East Germany","31","0.0244570972339488","0.0167723803074437","0.0321418141604539"
"Disagree fully","2003","secondary school degree","West Germany","61","0.0168132757099025","0.0128589196969109","0.020767631722894"
"Disagree fully","2003","secondary school degree","East Germany","35","0.0126238242131071","0.00815067348083969","0.0170969749453744"
"Disagree fully","2003","college entrance qualification","West Germany","97","0.025129033157916","0.0204541308877541","0.0298039354280779"
"Disagree fully","2003","college entrance qualification","East Germany","29","","",""
"Disagree fully","2003","Other degree","West Germany","27","","",""
"Disagree fully","2003","Other degree","East Germany","","","",""
"Disagree fully","2003","no degree/no degree yet","West Germany","9","","",""
"Disagree fully","2003","no degree/no degree yet","East Germany","1","","",""
"Fully agree","2004","lower secondary degree","West Germany","","","",""
"Fully agree","2004","lower secondary degree","East Germany","","","",""
"Fully agree","2004","secondary school degree","West Germany","","","",""
"Fully agree","2004","secondary school degree","East Germany","","","",""
"Fully agree","2004","college entrance qualification","West Germany","","","",""
"Fully agree","2004","college entrance qualification","East Germany","","","",""
"Fully agree","2004","Other degree","West Germany","","","",""
"Fully agree","2004","Other degree","East Germany","","","",""
"Fully agree","2004","no degree/no degree yet","West Germany","","","",""
"Fully agree","2004","no degree/no degree yet","East Germany","","","",""
"Rather agree","2004","lower secondary degree","West Germany","","","",""
"Rather agree","2004","lower secondary degree","East Germany","","","",""
"Rather agree","2004","secondary school degree","West Germany","","","",""
"Rather agree","2004","secondary school degree","East Germany","","","",""
"Rather agree","2004","college entrance qualification","West Germany","","","",""
"Rather agree","2004","college entrance qualification","East Germany","","","",""
"Rather agree","2004","Other degree","West Germany","","","",""
"Rather agree","2004","Other degree","East Germany","","","",""
"Rather agree","2004","no degree/no degree yet","West Germany","","","",""
"Rather agree","2004","no degree/no degree yet","East Germany","","","",""
"Rather disagree","2004","lower secondary degree","West Germany","","","",""
"Rather disagree","2004","lower secondary degree","East Germany","","","",""
"Rather disagree","2004","secondary school degree","West Germany","","","",""
"Rather disagree","2004","secondary school degree","East Germany","","","",""
"Rather disagree","2004","college entrance qualification","West Germany","","","",""
"Rather disagree","2004","college entrance qualification","East Germany","","","",""
"Rather disagree","2004","Other degree","West Germany","","","",""
"Rather disagree","2004","Other degree","East Germany","","","",""
"Rather disagree","2004","no degree/no degree yet","West Germany","","","",""
"Rather disagree","2004","no degree/no degree yet","East Germany","","","",""
"Disagree fully","2004","lower secondary degree","West Germany","","","",""
"Disagree fully","2004","lower secondary degree","East Germany","","","",""
"Disagree fully","2004","secondary school degree","West Germany","","","",""
"Disagree fully","2004","secondary school degree","East Germany","","","",""
"Disagree fully","2004","college entrance qualification","West Germany","","","",""
"Disagree fully","2004","college entrance qualification","East Germany","","","",""
"Disagree fully","2004","Other degree","West Germany","","","",""
"Disagree fully","2004","Other degree","East Germany","","","",""
"Disagree fully","2004","no degree/no degree yet","West Germany","","","",""
"Disagree fully","2004","no degree/no degree yet","East Germany","","","",""
"Fully agree","2005","lower secondary degree","West Germany","","","",""
"Fully agree","2005","lower secondary degree","East Germany","","","",""
"Fully agree","2005","secondary school degree","West Germany","","","",""
"Fully agree","2005","secondary school degree","East Germany","","","",""
"Fully agree","2005","college entrance qualification","West Germany","","","",""
"Fully agree","2005","college entrance qualification","East Germany","","","",""
"Fully agree","2005","Other degree","West Germany","","","",""
"Fully agree","2005","Other degree","East Germany","","","",""
"Fully agree","2005","no degree/no degree yet","West Germany","","","",""
"Fully agree","2005","no degree/no degree yet","East Germany","","","",""
"Rather agree","2005","lower secondary degree","West Germany","","","",""
"Rather agree","2005","lower secondary degree","East Germany","","","",""
"Rather agree","2005","secondary school degree","West Germany","","","",""
"Rather agree","2005","secondary school degree","East Germany","","","",""
"Rather agree","2005","college entrance qualification","West Germany","","","",""
"Rather agree","2005","college entrance qualification","East Germany","","","",""
"Rather agree","2005","Other degree","West Germany","","","",""
"Rather agree","2005","Other degree","East Germany","","","",""
"Rather agree","2005","no degree/no degree yet","West Germany","","","",""
"Rather agree","2005","no degree/no degree yet","East Germany","","","",""
"Rather disagree","2005","lower secondary degree","West Germany","","","",""
"Rather disagree","2005","lower secondary degree","East Germany","","","",""
"Rather disagree","2005","secondary school degree","West Germany","","","",""
"Rather disagree","2005","secondary school degree","East Germany","","","",""
"Rather disagree","2005","college entrance qualification","West Germany","","","",""
"Rather disagree","2005","college entrance qualification","East Germany","","","",""
"Rather disagree","2005","Other degree","West Germany","","","",""
"Rather disagree","2005","Other degree","East Germany","","","",""
"Rather disagree","2005","no degree/no degree yet","West Germany","","","",""
"Rather disagree","2005","no degree/no degree yet","East Germany","","","",""
"Disagree fully","2005","lower secondary degree","West Germany","","","",""
"Disagree fully","2005","lower secondary degree","East Germany","","","",""
"Disagree fully","2005","secondary school degree","West Germany","","","",""
"Disagree fully","2005","secondary school degree","East Germany","","","",""
"Disagree fully","2005","college entrance qualification","West Germany","","","",""
"Disagree fully","2005","college entrance qualification","East Germany","","","",""
"Disagree fully","2005","Other degree","West Germany","","","",""
