"plh0194","year","e11103","n","percent","lower_confidence","upper_confidence","value"
"Disagree fully","2003","Full Time","146","0.0169257664061505","0.0142454033469701","0.0196061294653309","4"
"Disagree fully","2003","Part Time","89","0.0190583855584862","0.0153149894031681","0.0228017817138044","4"
"Disagree fully","2003","Not Working","140","0.0183836835754632","0.0154699009528245","0.0212974661981019","4"
"Fully agree","2003","Full Time","3573","0.423001698215104","0.41273609157907","0.433267304851137","1"
"Fully agree","2003","Part Time","2167","0.42831245806358","0.414764904598521","0.441860011528639","1"
"Fully agree","2003","Not Working","4088","0.502352357095542","0.491507216304949","0.513197497886134","1"
"Rather agree","2003","Full Time","4194","0.448827083392252","0.438492100595062","0.459162066189442","2"
"Rather agree","2003","Part Time","2277","0.43888259914369","0.425296267683081","0.452468930604299","2"
"Rather agree","2003","Not Working","3224","0.39390782354449","0.383309513047531","0.404506134041449","2"
"Rather disagree","2003","Full Time","984","0.111245451986494","0.104711764674412","0.117779139298575","3"
"Rather disagree","2003","Part Time","592","0.113746557234243","0.105053966068326","0.122439148400161","3"
"Rather disagree","2003","Not Working","713","0.0853561357845054","0.0792955670373488","0.091416704531662","3"
"Disagree fully","2004","Full Time","","","","","4"
"Disagree fully","2004","Part Time","","","","","4"
"Disagree fully","2004","Not Working","","","","","4"
"Fully agree","2004","Full Time","","","","","1"
"Fully agree","2004","Part Time","","","","","1"
"Fully agree","2004","Not Working","","","","","1"
"Rather agree","2004","Full Time","","","","","2"
"Rather agree","2004","Part Time","","","","","2"
"Rather agree","2004","Not Working","","","","","2"
"Rather disagree","2004","Full Time","","","","","3"
"Rather disagree","2004","Part Time","","","","","3"
"Rather disagree","2004","Not Working","","","","","3"
"Disagree fully","2005","Full Time","","","","","4"
"Disagree fully","2005","Part Time","","","","","4"
"Disagree fully","2005","Not Working","","","","","4"
"Fully agree","2005","Full Time","","","","","1"
"Fully agree","2005","Part Time","","","","","1"
"Fully agree","2005","Not Working","","","","","1"
"Rather agree","2005","Full Time","","","","","2"
"Rather agree","2005","Part Time","","","","","2"
"Rather agree","2005","Not Working","","","","","2"
"Rather disagree","2005","Full Time","","","","","3"
"Rather disagree","2005","Part Time","","","","","3"
"Rather disagree","2005","Not Working","","","","","3"
"Disagree fully","2006","Full Time","","","","","4"
"Disagree fully","2006","Part Time","","","","","4"
"Disagree fully","2006","Not Working","","","","","4"
"Fully agree","2006","Full Time","","","","","1"
"Fully agree","2006","Part Time","","","","","1"
"Fully agree","2006","Not Working","","","","","1"
"Rather agree","2006","Part Time","","","","","2"
"Rather agree","2006","Not Working","","","","","2"
"Rather agree","2006","Full Time","","","","","2"
"Rather disagree","2006","Full Time","","","","","3"
"Rather disagree","2006","Part Time","","","","","3"
"Rather disagree","2006","Not Working","","","","","3"
"Disagree fully","2007","Full Time","","","","","4"
"Disagree fully","2007","Part Time","","","","","4"
"Disagree fully","2007","Not Working","","","","","4"
"Fully agree","2007","Full Time","","","","","1"
"Fully agree","2007","Part Time","","","","","1"
"Fully agree","2007","Not Working","","","","","1"
"Rather agree","2007","Full Time","","","","","2"
"Rather agree","2007","Part Time","","","","","2"
"Rather agree","2007","Not Working","","","","","2"
"Rather disagree","2007","Full Time","","","","","3"
"Rather disagree","2007","Part Time","","","","","3"
"Rather disagree","2007","Not Working","","","","","3"
"Disagree fully","2008","Full Time","122","0.013150356443347","0.0105690860765114","0.0157316268101826","4"
"Disagree fully","2008","Part Time","68","0.0138414637805391","0.0103940396385995","0.0172888879224787","4"
"Disagree fully","2008","Not Working","144","0.0211840120661722","0.017917910768724","0.0244501133636204","4"
"Fully agree","2008","Full Time","2875","0.402137946989598","0.391027609231058","0.413248284748138","1"
"Fully agree","2008","Part Time","1734","0.399443718399051","0.384991484089725","0.413895952708376","1"
"Fully agree","2008","Not Working","3613","0.487207524798569","0.475870402520479","0.498544647076659","1"
"Rather agree","2008","Full Time","3550","0.469164081900837","0.457856186888375","0.480471976913299","2"
"Rather agree","2008","Part Time","2103","0.475845809252926","0.461109355184979","0.490582263320873","2"
"Rather agree","2008","Not Working","3031","0.398310814595929","0.387207000877955","0.409414628313903","2"
"Rather disagree","2008","Full Time","935","0.115547614666218","0.108303972968107","0.122791256364329","3"
"Rather disagree","2008","Part Time","507","0.110869008567484","0.101604587292826","0.120133429842143","3"
"Rather disagree","2008","Not Working","679","0.0932976485393301","0.0867007054825746","0.0998945915960856","3"
"Disagree fully","2009","Full Time","","","","","4"
"Disagree fully","2009","Part Time","","","","","4"
"Disagree fully","2009","Not Working","","","","","4"
"Fully agree","2009","Full Time","","","","","1"
"Fully agree","2009","Part Time","","","","","1"
"Fully agree","2009","Not Working","","","","","1"
"Rather agree","2009","Full Time","","","","","2"
"Rather agree","2009","Part Time","","","","","2"
"Rather agree","2009","Not Working","","","","","2"
"Rather disagree","2009","Full Time","","","","","3"
"Rather disagree","2009","Part Time","","","","","3"
"Rather disagree","2009","Not Working","","","","","3"
"Disagree fully","2010","Full Time","","","","","4"
"Disagree fully","2010","Part Time","","","","","4"
"Disagree fully","2010","Not Working","","","","","4"
"Fully agree","2010","Full Time","","","","","1"
"Fully agree","2010","Part Time","","","","","1"
"Fully agree","2010","Not Working","","","","","1"
"Rather agree","2010","Full Time","","","","","2"
"Rather agree","2010","Part Time","","","","","2"
"Rather agree","2010","Not Working","","","","","2"
"Rather disagree","2010","Full Time","","","","","3"
"Rather disagree","2010","Part Time","","","","","3"
"Rather disagree","2010","Not Working","","","","","3"
"Disagree fully","2011","Full Time","","","","","4"
"Disagree fully","2011","Part Time","","","","","4"
"Disagree fully","2011","Not Working","","","","","4"
"Fully agree","2011","Full Time","","","","","1"
"Fully agree","2011","Part Time","","","","","1"
"Fully agree","2011","Not Working","","","","","1"
"Rather agree","2011","Full Time","","","","","2"
"Rather agree","2011","Part Time","","","","","2"
"Rather agree","2011","Not Working","","","","","2"
"Rather disagree","2011","Full Time","","","","","3"
"Rather disagree","2011","Part Time","","","","","3"
"Rather disagree","2011","Not Working","","","","","3"
"Disagree fully","2012","Full Time","","","","","4"
"Disagree fully","2012","Part Time","","","","","4"
"Disagree fully","2012","Not Working","","","","","4"
"Fully agree","2012","Full Time","","","","","1"
"Fully agree","2012","Part Time","","","","","1"
"Fully agree","2012","Not Working","","","","","1"
"Rather agree","2012","Full Time","","","","","2"
"Rather agree","2012","Part Time","","","","","2"
"Rather agree","2012","Not Working","","","","","2"
"Rather disagree","2012","Full Time","","","","","3"
"Rather disagree","2012","Part Time","","","","","3"
"Rather disagree","2012","Not Working","","","","","3"
"Disagree fully","2013","Full Time","151","0.0165222241592372","0.0139753389088623","0.0190691094096122","4"
"Disagree fully","2013","Part Time","90","0.0138364805534056","0.0111205242747368","0.0165524368320744","4"
"Disagree fully","2013","Not Working","109","0.0127595663329804","0.0104117993510764","0.0151073333148845","4"
"Fully agree","2013","Full Time","3547","0.378524198398202","0.368833573487265","0.38821482330914","1"
"Fully agree","2013","Part Time","2840","0.400170881173201","0.388779614901055","0.411562147445348","1"
"Fully agree","2013","Not Working","4248","0.493421585770805","0.482963360822322","0.503879810719289","1"
"Rather agree","2013","Full Time","4682","0.474571890170641","0.464594877929699","0.484548902411583","2"
"Rather agree","2013","Part Time","3360","0.468788542082283","0.457185878487918","0.480391205676649","2"
"Rather agree","2013","Not Working","3694","0.410506382169112","0.400216152284624","0.420796612053601","2"
"Rather disagree","2013","Full Time","1243","0.130381687271919","0.123654004812705","0.137109369731134","3"
"Rather disagree","2013","Part Time","816","0.11720409619111","0.10972520802369","0.12468298435853","3"
"Rather disagree","2013","Not Working","728","0.083312465727102","0.0775316220793388","0.0890933093748651","3"
"Disagree fully","2014","Full Time","","","","","4"
"Disagree fully","2014","Part Time","","","","","4"
"Disagree fully","2014","Not Working","","","","","4"
"Fully agree","2014","Full Time","","","","","1"
"Fully agree","2014","Part Time","","","","","1"
"Fully agree","2014","Not Working","","","","","1"
"Rather agree","2014","Full Time","","","","","2"
