"plh0194","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","no migration background","Urban Area","5124","0.450337614018472","0.441445508412935","0.459229719624009"
"Fully agree","2003","no migration background","Rural Area","3071","0.461057110426221","0.449175939519179","0.472938281333263"
"Fully agree","2003","direct migration background","Urban Area","1073","0.487860704807259","0.466790817374003","0.508930592240514"
"Fully agree","2003","direct migration background","Rural Area","219","0.44984582640443","0.404285229449477","0.495406423359383"
"Fully agree","2003","indirect migration background","Urban Area","292","0.425880105268884","0.388687364893112","0.463072845644657"
"Fully agree","2003","indirect migration background","Rural Area","49","0.458862183212092","0.361196235835484","0.556528130588701"
"Rather agree","2003","no migration background","Urban Area","5338","0.421731842385127","0.412905712238401","0.430557972531854"
"Rather agree","2003","no migration background","Rural Area","2957","0.434047556562522","0.422234313623403","0.445860799501641"
"Rather agree","2003","direct migration background","Urban Area","851","0.401375528164383","0.380713501166496","0.422037555162269"
"Rather agree","2003","direct migration background","Rural Area","205","0.463615318698779","0.417945170187418","0.509285467210139"
"Rather agree","2003","indirect migration background","Urban Area","301","0.422134704605456","0.384985284462661","0.459284124748251"
"Rather agree","2003","indirect migration background","Rural Area","43","0.451305471923757","0.353773118166012","0.548837825681503"
"Rather disagree","2003","no migration background","Urban Area","1359","0.110220631807099","0.104623569971041","0.115817693643158"
"Rather disagree","2003","no migration background","Rural Area","627","0.0874112506427307","0.0806794425009326","0.0941430587845289"
"Rather disagree","2003","direct migration background","Urban Area","201","0.0935270411505263","0.0812536020984132","0.105800480202639"
"Rather disagree","2003","direct migration background","Rural Area","23","","",""
"Rather disagree","2003","indirect migration background","Urban Area","72","0.125371758576569","0.100464564146147","0.150278953006991"
"Rather disagree","2003","indirect migration background","Rural Area","7","","",""
"Disagree fully","2003","no migration background","Urban Area","205","0.017709911789302","0.0153526079083949","0.0200672156702092"
"Disagree fully","2003","no migration background","Rural Area","107","0.0174840823685261","0.0143601492506365","0.0206080154864156"
"Disagree fully","2003","direct migration background","Urban Area","37","0.0172367258778323","0.011750520103167","0.0227229316524976"
"Disagree fully","2003","direct migration background","Rural Area","11","","",""
"Disagree fully","2003","indirect migration background","Urban Area","14","","",""
"Disagree fully","2003","indirect migration background","Rural Area","1","","",""
"Fully agree","2004","no migration background","Urban Area","","","",""
"Fully agree","2004","no migration background","Rural Area","","","",""
"Fully agree","2004","direct migration background","Urban Area","","","",""
"Fully agree","2004","direct migration background","Rural Area","","","",""
"Fully agree","2004","indirect migration background","Urban Area","","","",""
"Fully agree","2004","indirect migration background","Rural Area","","","",""
"Rather agree","2004","no migration background","Urban Area","","","",""
"Rather agree","2004","no migration background","Rural Area","","","",""
"Rather agree","2004","direct migration background","Urban Area","","","",""
"Rather agree","2004","direct migration background","Rural Area","","","",""
"Rather agree","2004","indirect migration background","Urban Area","","","",""
"Rather agree","2004","indirect migration background","Rural Area","","","",""
"Rather disagree","2004","no migration background","Urban Area","","","",""
"Rather disagree","2004","no migration background","Rural Area","","","",""
"Rather disagree","2004","direct migration background","Urban Area","","","",""
"Rather disagree","2004","direct migration background","Rural Area","","","",""
"Rather disagree","2004","indirect migration background","Urban Area","","","",""
"Rather disagree","2004","indirect migration background","Rural Area","","","",""
"Disagree fully","2004","no migration background","Urban Area","","","",""
"Disagree fully","2004","no migration background","Rural Area","","","",""
"Disagree fully","2004","direct migration background","Urban Area","","","",""
"Disagree fully","2004","direct migration background","Rural Area","","","",""
"Disagree fully","2004","indirect migration background","Urban Area","","","",""
"Disagree fully","2004","indirect migration background","Rural Area","","","",""
"Fully agree","2005","no migration background","Urban Area","","","",""
"Fully agree","2005","no migration background","Rural Area","","","",""
"Fully agree","2005","direct migration background","Urban Area","","","",""
"Fully agree","2005","direct migration background","Rural Area","","","",""
"Fully agree","2005","indirect migration background","Urban Area","","","",""
"Fully agree","2005","indirect migration background","Rural Area","","","",""
"Rather agree","2005","no migration background","Urban Area","","","",""
"Rather agree","2005","no migration background","Rural Area","","","",""
"Rather agree","2005","direct migration background","Urban Area","","","",""
"Rather agree","2005","direct migration background","Rural Area","","","",""
"Rather agree","2005","indirect migration background","Urban Area","","","",""
"Rather agree","2005","indirect migration background","Rural Area","","","",""
"Rather disagree","2005","no migration background","Urban Area","","","",""
"Rather disagree","2005","no migration background","Rural Area","","","",""
"Rather disagree","2005","direct migration background","Urban Area","","","",""
"Rather disagree","2005","direct migration background","Rural Area","","","",""
"Rather disagree","2005","indirect migration background","Urban Area","","","",""
"Rather disagree","2005","indirect migration background","Rural Area","","","",""
"Disagree fully","2005","no migration background","Urban Area","","","",""
"Disagree fully","2005","no migration background","Rural Area","","","",""
"Disagree fully","2005","direct migration background","Urban Area","","","",""
"Disagree fully","2005","direct migration background","Rural Area","","","",""
"Disagree fully","2005","indirect migration background","Urban Area","","","",""
"Disagree fully","2005","indirect migration background","Rural Area","","","",""
"Fully agree","2006","no migration background","Urban Area","","","",""
"Fully agree","2006","no migration background","Rural Area","","","",""
"Fully agree","2006","direct migration background","Urban Area","","","",""
"Fully agree","2006","direct migration background","Rural Area","","","",""
"Fully agree","2006","indirect migration background","Urban Area","","","",""
"Fully agree","2006","indirect migration background","Rural Area","","","",""
"Rather agree","2006","no migration background","Urban Area","","","",""
"Rather agree","2006","no migration background","Rural Area","","","",""
"Rather agree","2006","direct migration background","Urban Area","","","",""
"Rather agree","2006","direct migration background","Rural Area","","","",""
"Rather agree","2006","indirect migration background","Urban Area","","","",""
"Rather agree","2006","indirect migration background","Rural Area","","","",""
"Rather disagree","2006","no migration background","Urban Area","","","",""
"Rather disagree","2006","no migration background","Rural Area","","","",""
"Rather disagree","2006","direct migration background","Urban Area","","","",""
"Rather disagree","2006","direct migration background","Rural Area","","","",""
"Rather disagree","2006","indirect migration background","Urban Area","","","",""
"Rather disagree","2006","indirect migration background","Rural Area","","","",""
"Disagree fully","2006","no migration background","Urban Area","","","",""
"Disagree fully","2006","no migration background","Rural Area","","","",""
"Disagree fully","2006","direct migration background","Urban Area","","","",""
"Disagree fully","2006","direct migration background","Rural Area","","","",""
"Disagree fully","2006","indirect migration background","Urban Area","","","",""
"Disagree fully","2006","indirect migration background","Rural Area","","","",""
"Fully agree","2007","no migration background","Urban Area","","","",""
"Fully agree","2007","no migration background","Rural Area","","","",""
"Fully agree","2007","direct migration background","Urban Area","","","",""
"Fully agree","2007","direct migration background","Rural Area","","","",""
"Fully agree","2007","indirect migration background","Urban Area","","","",""
"Fully agree","2007","indirect migration background","Rural Area","","","",""
"Rather agree","2007","no migration background","Urban Area","","","",""
"Rather agree","2007","no migration background","Rural Area","","","",""
"Rather agree","2007","direct migration background","Urban Area","","","",""
"Rather agree","2007","direct migration background","Rural Area","","","",""
"Rather agree","2007","indirect migration background","Urban Area","","","",""
"Rather agree","2007","indirect migration background","Rural Area","","","",""
"Rather disagree","2007","no migration background","Urban Area","","","",""
"Rather disagree","2007","no migration background","Rural Area","","","",""
"Rather disagree","2007","direct migration background","Urban Area","","","",""
"Rather disagree","2007","direct migration background","Rural Area","","","",""
