"m11125","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","1-pers.-HH","in school","","","","","0"
"0 Completely dissatisfied","1984","1-pers.-HH","inadequately","","","","","0"
"0 Completely dissatisfied","1984","1-pers.-HH","general elemantary","26","","","","0"
"0 Completely dissatisfied","1984","1-pers.-HH","middle vocational","30","0.0487735736469792","0.0318598858440946","0.0656872614498637","0"
"0 Completely dissatisfied","1984","1-pers.-HH","vocational + Abi","1","","","","0"
"0 Completely dissatisfied","1984","1-pers.-HH","higher vocational","3","","","","0"
"0 Completely dissatisfied","1984","1-pers.-HH","higher education","3","","","","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","in school","","","","","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","inadequately","3","","","","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","general elemantary","34","0.0499139974553443","0.033758772274052","0.0660692226366367","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","middle vocational","59","0.0474198710077005","0.0363537832769402","0.0584859587384607","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","vocational + Abi","2","","","","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","higher vocational","4","","","","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","higher education","2","","","","0"
"0 Completely dissatisfied","1984","Single parent ","in school","","","","","0"
"0 Completely dissatisfied","1984","Single parent ","inadequately","3","","","","0"
"0 Completely dissatisfied","1984","Single parent ","general elemantary","7","","","","0"
"0 Completely dissatisfied","1984","Single parent ","middle vocational","8","","","","0"
"0 Completely dissatisfied","1984","Single parent ","vocational + Abi","1","","","","0"
"0 Completely dissatisfied","1984","Single parent ","higher vocational","1","","","","0"
"0 Completely dissatisfied","1984","Single parent ","higher education","","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","in school","","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","inadequately","10","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","general elemantary","15","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","middle vocational","27","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","vocational + Abi","1","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","higher vocational","2","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","higher education","1","","","","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","in school","1","","","","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","inadequately","7","","","","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","general elemantary","13","","","","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","middle vocational","24","","","","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","vocational + Abi","1","","","","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","higher vocational","4","","","","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","higher education","1","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","in school","","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","inadequately","4","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","general elemantary","6","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","middle vocational","15","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","higher vocational","2","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","higher education","1","","","","0"
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","in school","1","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","higher education","","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","higher vocational","1","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","higher vocational","1","","","","1"
