"m11125","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"0 Completely dissatisfied","1984","no migration background","in school","1","","",""
"0 Completely dissatisfied","1984","no migration background","inadequately","6","","",""
"0 Completely dissatisfied","1984","no migration background","general elemantary","95","0.044829340485097","0.036445136733216","0.0532135442369779"
"0 Completely dissatisfied","1984","no migration background","middle vocational","142","0.0341937656450896","0.0289603854890086","0.0394271458011705"
"0 Completely dissatisfied","1984","no migration background","vocational + Abi","4","","",""
"0 Completely dissatisfied","1984","no migration background","higher vocational","18","","",""
"0 Completely dissatisfied","1984","no migration background","higher education","8","","",""
"0 Completely dissatisfied","1984","direct migration background","in school","","","",""
"0 Completely dissatisfied","1984","direct migration background","inadequately","32","0.0403631861649357","0.0277683407233904","0.0529580316064811"
"0 Completely dissatisfied","1984","direct migration background","general elemantary","26","","",""
"0 Completely dissatisfied","1984","direct migration background","middle vocational","30","0.0337734586974557","0.0227360365231868","0.0448108808717245"
"0 Completely dissatisfied","1984","direct migration background","vocational + Abi","2","","",""
"0 Completely dissatisfied","1984","direct migration background","higher vocational","2","","",""
"0 Completely dissatisfied","1984","direct migration background","higher education","2","","",""
"0 Completely dissatisfied","1984","indirect migration background","in school","","","",""
"0 Completely dissatisfied","1984","indirect migration background","inadequately","","","",""
"0 Completely dissatisfied","1984","indirect migration background","general elemantary","","","",""
"0 Completely dissatisfied","1984","indirect migration background","middle vocational","1","","",""
"0 Completely dissatisfied","1984","indirect migration background","vocational + Abi","","","",""
"0 Completely dissatisfied","1984","indirect migration background","higher vocational","","","",""
"0 Completely dissatisfied","1984","indirect migration background","higher education","","","",""
"1 on Scale 1 to 10","1984","no migration background","in school","","","",""
"1 on Scale 1 to 10","1984","no migration background","inadequately","4","","",""
"1 on Scale 1 to 10","1984","no migration background","general elemantary","55","0.0268874430068312","0.0203335936896439","0.0334412923240185"
"1 on Scale 1 to 10","1984","no migration background","middle vocational","55","0.0136305120690884","0.0102913329479909","0.0169696911901859"
"1 on Scale 1 to 10","1984","no migration background","vocational + Abi","2","","",""
"1 on Scale 1 to 10","1984","no migration background","higher vocational","10","","",""
"1 on Scale 1 to 10","1984","no migration background","higher education","4","","",""
"1 on Scale 1 to 10","1984","direct migration background","in school","1","","",""
"1 on Scale 1 to 10","1984","direct migration background","inadequately","20","","",""
"1 on Scale 1 to 10","1984","direct migration background","general elemantary","11","","",""
"1 on Scale 1 to 10","1984","direct migration background","middle vocational","11","","",""
"1 on Scale 1 to 10","1984","direct migration background","vocational + Abi","1","","",""
"1 on Scale 1 to 10","1984","direct migration background","higher vocational","","","",""
"1 on Scale 1 to 10","1984","direct migration background","higher education","","","",""
"1 on Scale 1 to 10","1984","indirect migration background","in school","","","",""
"1 on Scale 1 to 10","1984","indirect migration background","inadequately","","","",""
"1 on Scale 1 to 10","1984","indirect migration background","general elemantary","","","",""
"1 on Scale 1 to 10","1984","indirect migration background","middle vocational","","","",""
"1 on Scale 1 to 10","1984","indirect migration background","vocational + Abi","","","",""
