"m11125","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"0 Completely dissatisfied","1984","Schleswig-Holstein","in school","","","",""
"0 Completely dissatisfied","1984","Schleswig-Holstein","inadequately","","","",""
"0 Completely dissatisfied","1984","Schleswig-Holstein","general elemantary","1","","",""
"0 Completely dissatisfied","1984","Schleswig-Holstein","middle vocational","7","","",""
"0 Completely dissatisfied","1984","Schleswig-Holstein","vocational + Abi","","","",""
"0 Completely dissatisfied","1984","Schleswig-Holstein","higher vocational","","","",""
"0 Completely dissatisfied","1984","Schleswig-Holstein","higher education","","","",""
"0 Completely dissatisfied","1984","Hamburg","in school","","","",""
"0 Completely dissatisfied","1984","Hamburg","inadequately","","","",""
"0 Completely dissatisfied","1984","Hamburg","general elemantary","3","","",""
"0 Completely dissatisfied","1984","Hamburg","middle vocational","8","","",""
"0 Completely dissatisfied","1984","Hamburg","vocational + Abi","","","",""
"0 Completely dissatisfied","1984","Hamburg","higher vocational","","","",""
"0 Completely dissatisfied","1984","Hamburg","higher education","","","",""
"0 Completely dissatisfied","1984","Lower Saxony","in school","1","","",""
"0 Completely dissatisfied","1984","Lower Saxony","inadequately","4","","",""
"0 Completely dissatisfied","1984","Lower Saxony","general elemantary","19","","",""
"0 Completely dissatisfied","1984","Lower Saxony","middle vocational","16","","",""
"0 Completely dissatisfied","1984","Lower Saxony","vocational + Abi","1","","",""
"0 Completely dissatisfied","1984","Lower Saxony","higher vocational","1","","",""
"0 Completely dissatisfied","1984","Lower Saxony","higher education","","","",""
"0 Completely dissatisfied","1984","Bremen","in school","","","",""
"0 Completely dissatisfied","1984","Bremen","inadequately","1","","",""
"0 Completely dissatisfied","1984","Bremen","general elemantary","5","","",""
"0 Completely dissatisfied","1984","Bremen","middle vocational","7","","",""
"0 Completely dissatisfied","1984","Bremen","vocational + Abi","1","","",""
"0 Completely dissatisfied","1984","Bremen","higher vocational","","","",""
"0 Completely dissatisfied","1984","Bremen","higher education","","","",""
"0 Completely dissatisfied","1984","North Rhine-Westphalia","in school","","","",""
"0 Completely dissatisfied","1984","North Rhine-Westphalia","inadequately","10","","",""
"0 Completely dissatisfied","1984","North Rhine-Westphalia","general elemantary","29","","",""
"0 Completely dissatisfied","1984","North Rhine-Westphalia","middle vocational","40","0.0301651592548749","0.0216030904057351","0.0387272281040148"
"0 Completely dissatisfied","1984","North Rhine-Westphalia","vocational + Abi","2","","",""
"0 Completely dissatisfied","1984","North Rhine-Westphalia","higher vocational","8","","",""
"0 Completely dissatisfied","1984","North Rhine-Westphalia","higher education","4","","",""
"0 Completely dissatisfied","1984","Hesse","in school","","","",""
"0 Completely dissatisfied","1984","Hesse","inadequately","7","","",""
"0 Completely dissatisfied","1984","Hesse","general elemantary","10","","",""
"0 Completely dissatisfied","1984","Hesse","middle vocational","14","","",""
"0 Completely dissatisfied","1984","Hesse","vocational + Abi","","","",""
"0 Completely dissatisfied","1984","Hesse","higher vocational","1","","",""
"0 Completely dissatisfied","1984","Hesse","higher education","1","","",""
"0 Completely dissatisfied","1984","Rhineland-Palatinate,Saarland","in school","","","",""
"0 Completely dissatisfied","1984","Rhineland-Palatinate,Saarland","inadequately","3","","",""
"0 Completely dissatisfied","1984","Rhineland-Palatinate,Saarland","general elemantary","7","","",""
"0 Completely dissatisfied","1984","Rhineland-Palatinate,Saarland","middle vocational","14","","",""
"0 Completely dissatisfied","1984","Rhineland-Palatinate,Saarland","vocational + Abi","","","",""
"0 Completely dissatisfied","1984","Rhineland-Palatinate,Saarland","higher vocational","","","",""
"0 Completely dissatisfied","1984","Rhineland-Palatinate,Saarland","higher education","","","",""
"0 Completely dissatisfied","1984","Baden-Württemberg","in school","","","",""
"0 Completely dissatisfied","1984","Baden-Württemberg","inadequately","8","","",""
"0 Completely dissatisfied","1984","Baden-Württemberg","general elemantary","25","","",""
"0 Completely dissatisfied","1984","Baden-Württemberg","middle vocational","21","","",""
"0 Completely dissatisfied","1984","Baden-Württemberg","vocational + Abi","1","","",""
"0 Completely dissatisfied","1984","Baden-Württemberg","higher vocational","3","","",""
"0 Completely dissatisfied","1984","Baden-Württemberg","higher education","4","","",""
"0 Completely dissatisfied","1984","Bavaria","in school","","","",""
"0 Completely dissatisfied","1984","Bavaria","inadequately","4","","",""
"0 Completely dissatisfied","1984","Bavaria","general elemantary","20","","",""
"0 Completely dissatisfied","1984","Bavaria","middle vocational","35","0.0342754862751963","0.0231968410875074","0.0453541314628852"
"0 Completely dissatisfied","1984","Bavaria","vocational + Abi","1","","",""
"0 Completely dissatisfied","1984","Bavaria","higher vocational","6","","",""
"0 Completely dissatisfied","1984","Bavaria","higher education","1","","",""
"0 Completely dissatisfied","1984","Berlin","in school","","","",""
"0 Completely dissatisfied","1984","Berlin","inadequately","1","","",""
"0 Completely dissatisfied","1984","Berlin","general elemantary","2","","",""
"0 Completely dissatisfied","1984","Berlin","middle vocational","11","","",""
"0 Completely dissatisfied","1984","Berlin","vocational + Abi","","","",""
"0 Completely dissatisfied","1984","Berlin","higher vocational","1","","",""
"0 Completely dissatisfied","1984","Berlin","higher education","","","",""
"0 Completely dissatisfied","1984","Brandenburg","in school","","","",""
"0 Completely dissatisfied","1984","Brandenburg","inadequately","","","",""
"0 Completely dissatisfied","1984","Brandenburg","general elemantary","","","",""
"0 Completely dissatisfied","1984","Brandenburg","middle vocational","","","",""
"0 Completely dissatisfied","1984","Brandenburg","vocational + Abi","","","",""
"0 Completely dissatisfied","1984","Brandenburg","higher vocational","","","",""
"0 Completely dissatisfied","1984","Brandenburg","higher education","","","",""
"0 Completely dissatisfied","1984","Mecklenburg-Western Pomerania","in school","","","",""
"0 Completely dissatisfied","1984","Mecklenburg-Western Pomerania","inadequately","","","",""
"0 Completely dissatisfied","1984","Mecklenburg-Western Pomerania","general elemantary","","","",""
"0 Completely dissatisfied","1984","Mecklenburg-Western Pomerania","middle vocational","","","",""
"0 Completely dissatisfied","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"0 Completely dissatisfied","1984","Mecklenburg-Western Pomerania","higher vocational","","","",""
"0 Completely dissatisfied","1984","Mecklenburg-Western Pomerania","higher education","","","",""
"0 Completely dissatisfied","1984","Saxony","in school","","","",""
"0 Completely dissatisfied","1984","Saxony","inadequately","","","",""
"0 Completely dissatisfied","1984","Saxony","general elemantary","","","",""
"0 Completely dissatisfied","1984","Saxony","middle vocational","","","",""
"0 Completely dissatisfied","1984","Saxony","vocational + Abi","","","",""
"0 Completely dissatisfied","1984","Saxony","higher vocational","","","",""
"0 Completely dissatisfied","1984","Saxony","higher education","","","",""
"0 Completely dissatisfied","1984","Saxony-Anhalt","in school","","","",""
"0 Completely dissatisfied","1984","Saxony-Anhalt","inadequately","","","",""
"0 Completely dissatisfied","1984","Saxony-Anhalt","general elemantary","","","",""
"0 Completely dissatisfied","1984","Saxony-Anhalt","middle vocational","","","",""
"0 Completely dissatisfied","1984","Saxony-Anhalt","vocational + Abi","","","",""
"0 Completely dissatisfied","1984","Saxony-Anhalt","higher vocational","","","",""
"0 Completely dissatisfied","1984","Saxony-Anhalt","higher education","","","",""
"0 Completely dissatisfied","1984","Thuringia","in school","","","",""
"0 Completely dissatisfied","1984","Thuringia","inadequately","","","",""
"0 Completely dissatisfied","1984","Thuringia","general elemantary","","","",""
"0 Completely dissatisfied","1984","Thuringia","middle vocational","","","",""
"0 Completely dissatisfied","1984","Thuringia","vocational + Abi","","","",""
"0 Completely dissatisfied","1984","Thuringia","higher vocational","","","",""
"0 Completely dissatisfied","1984","Thuringia","higher education","","","",""
"1 on Scale 1 to 10","1984","Schleswig-Holstein","in school","","","",""
"1 on Scale 1 to 10","1984","Schleswig-Holstein","inadequately","","","",""
"1 on Scale 1 to 10","1984","Schleswig-Holstein","general elemantary","3","","",""
"1 on Scale 1 to 10","1984","Schleswig-Holstein","middle vocational","1","","",""
"1 on Scale 1 to 10","1984","Schleswig-Holstein","vocational + Abi","","","",""
"1 on Scale 1 to 10","1984","Schleswig-Holstein","higher vocational","","","",""
"1 on Scale 1 to 10","1984","Schleswig-Holstein","higher education","1","","",""
"1 on Scale 1 to 10","1984","Hamburg","in school","","","",""
"1 on Scale 1 to 10","1984","Hamburg","inadequately","1","","",""
"1 on Scale 1 to 10","1984","Hamburg","general elemantary","2","","",""
"1 on Scale 1 to 10","1984","Hamburg","middle vocational","4","","",""
"1 on Scale 1 to 10","1984","Hamburg","vocational + Abi","","","",""
"1 on Scale 1 to 10","1984","Hamburg","higher vocational","","","",""
"1 on Scale 1 to 10","1984","Hamburg","higher education","","","",""
"1 on Scale 1 to 10","1984","Lower Saxony","in school","","","",""
"1 on Scale 1 to 10","1984","Lower Saxony","inadequately","4","","",""
"1 on Scale 1 to 10","1984","Lower Saxony","general elemantary","3","","",""
"1 on Scale 1 to 10","1984","Lower Saxony","middle vocational","9","","",""
"1 on Scale 1 to 10","1984","Lower Saxony","vocational + Abi","","","",""
"1 on Scale 1 to 10","1984","Lower Saxony","higher vocational","","","",""
"1 on Scale 1 to 10","1984","Lower Saxony","higher education","2","","",""
"1 on Scale 1 to 10","1984","Bremen","in school","","","",""
"1 on Scale 1 to 10","1984","Bremen","inadequately","1","","",""
"1 on Scale 1 to 10","1984","Bremen","general elemantary","1","","",""
"1 on Scale 1 to 10","1984","Bremen","middle vocational","1","","",""
"1 on Scale 1 to 10","1984","Bremen","vocational + Abi","","","",""
"1 on Scale 1 to 10","1984","Bremen","higher vocational","","","",""
"1 on Scale 1 to 10","1984","Bremen","higher education","","","",""
"1 on Scale 1 to 10","1984","North Rhine-Westphalia","in school","1","","",""
"1 on Scale 1 to 10","1984","North Rhine-Westphalia","inadequately","3","","",""
"1 on Scale 1 to 10","1984","North Rhine-Westphalia","general elemantary","17","","",""
"1 on Scale 1 to 10","1984","North Rhine-Westphalia","middle vocational","15","","",""
"1 on Scale 1 to 10","1984","North Rhine-Westphalia","vocational + Abi","","","",""
"1 on Scale 1 to 10","1984","North Rhine-Westphalia","higher vocational","3","","",""
"1 on Scale 1 to 10","1984","North Rhine-Westphalia","higher education","","","",""
"1 on Scale 1 to 10","1984","Hesse","in school","","","",""
"1 on Scale 1 to 10","1984","Hesse","inadequately","5","","",""
"1 on Scale 1 to 10","1984","Hesse","general elemantary","6","","",""
"1 on Scale 1 to 10","1984","Hesse","middle vocational","3","","",""
"1 on Scale 1 to 10","1984","Hesse","vocational + Abi","1","","",""
"1 on Scale 1 to 10","1984","Hesse","higher vocational","","","",""
"1 on Scale 1 to 10","1984","Hesse","higher education","","","",""
"1 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","in school","","","",""
"1 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","inadequately","2","","",""
"1 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","general elemantary","8","","",""
"1 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","middle vocational","7","","",""
"1 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","vocational + Abi","","","",""
"1 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","higher vocational","1","","",""
"1 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","higher education","","","",""
"1 on Scale 1 to 10","1984","Baden-Württemberg","in school","","","",""
"1 on Scale 1 to 10","1984","Baden-Württemberg","inadequately","4","","",""
"1 on Scale 1 to 10","1984","Baden-Württemberg","general elemantary","13","","",""
"1 on Scale 1 to 10","1984","Baden-Württemberg","middle vocational","8","","",""
"1 on Scale 1 to 10","1984","Baden-Württemberg","vocational + Abi","","","",""
"1 on Scale 1 to 10","1984","Baden-Württemberg","higher vocational","3","","",""
"1 on Scale 1 to 10","1984","Baden-Württemberg","higher education","1","","",""
"1 on Scale 1 to 10","1984","Bavaria","in school","","","",""
"1 on Scale 1 to 10","1984","Bavaria","inadequately","4","","",""
"1 on Scale 1 to 10","1984","Bavaria","general elemantary","12","","",""
"1 on Scale 1 to 10","1984","Bavaria","middle vocational","15","","",""
"1 on Scale 1 to 10","1984","Bavaria","vocational + Abi","2","","",""
"1 on Scale 1 to 10","1984","Bavaria","higher vocational","1","","",""
"1 on Scale 1 to 10","1984","Bavaria","higher education","1","","",""
"1 on Scale 1 to 10","1984","Berlin","in school","","","",""
"1 on Scale 1 to 10","1984","Berlin","inadequately","","","",""
"1 on Scale 1 to 10","1984","Berlin","general elemantary","1","","",""
"1 on Scale 1 to 10","1984","Berlin","middle vocational","3","","",""
"1 on Scale 1 to 10","1984","Berlin","vocational + Abi","","","",""
"1 on Scale 1 to 10","1984","Berlin","higher vocational","2","","",""
"1 on Scale 1 to 10","1984","Berlin","higher education","","","",""
"1 on Scale 1 to 10","1984","Brandenburg","in school","","","",""
"1 on Scale 1 to 10","1984","Brandenburg","inadequately","","","",""
"1 on Scale 1 to 10","1984","Brandenburg","general elemantary","","","",""
"1 on Scale 1 to 10","1984","Brandenburg","middle vocational","","","",""
"1 on Scale 1 to 10","1984","Brandenburg","vocational + Abi","","","",""
"1 on Scale 1 to 10","1984","Brandenburg","higher vocational","","","",""
"1 on Scale 1 to 10","1984","Brandenburg","higher education","","","",""
"1 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","in school","","","",""
"1 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","inadequately","","","",""
"1 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","general elemantary","","","",""
"1 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","middle vocational","","","",""
"1 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"1 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","higher vocational","","","",""
"1 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","higher education","","","",""
"1 on Scale 1 to 10","1984","Saxony","in school","","","",""
"1 on Scale 1 to 10","1984","Saxony","inadequately","","","",""
"1 on Scale 1 to 10","1984","Saxony","general elemantary","","","",""
"1 on Scale 1 to 10","1984","Saxony","middle vocational","","","",""
"1 on Scale 1 to 10","1984","Saxony","vocational + Abi","","","",""
"1 on Scale 1 to 10","1984","Saxony","higher vocational","","","",""
"1 on Scale 1 to 10","1984","Saxony","higher education","","","",""
"1 on Scale 1 to 10","1984","Saxony-Anhalt","in school","","","",""
"1 on Scale 1 to 10","1984","Saxony-Anhalt","inadequately","","","",""
"1 on Scale 1 to 10","1984","Saxony-Anhalt","general elemantary","","","",""
"1 on Scale 1 to 10","1984","Saxony-Anhalt","middle vocational","","","",""
"1 on Scale 1 to 10","1984","Saxony-Anhalt","vocational + Abi","","","",""
"1 on Scale 1 to 10","1984","Saxony-Anhalt","higher vocational","","","",""
"1 on Scale 1 to 10","1984","Saxony-Anhalt","higher education","","","",""
"1 on Scale 1 to 10","1984","Thuringia","in school","","","",""
"1 on Scale 1 to 10","1984","Thuringia","inadequately","","","",""
"1 on Scale 1 to 10","1984","Thuringia","general elemantary","","","",""
"1 on Scale 1 to 10","1984","Thuringia","middle vocational","","","",""
"1 on Scale 1 to 10","1984","Thuringia","vocational + Abi","","","",""
"1 on Scale 1 to 10","1984","Thuringia","higher vocational","","","",""
"1 on Scale 1 to 10","1984","Thuringia","higher education","","","",""
"2 on Scale 1 to 10","1984","Schleswig-Holstein","in school","","","",""
"2 on Scale 1 to 10","1984","Schleswig-Holstein","inadequately","2","","",""
"2 on Scale 1 to 10","1984","Schleswig-Holstein","general elemantary","2","","",""
"2 on Scale 1 to 10","1984","Schleswig-Holstein","middle vocational","5","","",""
"2 on Scale 1 to 10","1984","Schleswig-Holstein","vocational + Abi","","","",""
"2 on Scale 1 to 10","1984","Schleswig-Holstein","higher vocational","","","",""
"2 on Scale 1 to 10","1984","Schleswig-Holstein","higher education","","","",""
"2 on Scale 1 to 10","1984","Hamburg","in school","1","","",""
"2 on Scale 1 to 10","1984","Hamburg","inadequately","2","","",""
"2 on Scale 1 to 10","1984","Hamburg","general elemantary","3","","",""
"2 on Scale 1 to 10","1984","Hamburg","middle vocational","4","","",""
"2 on Scale 1 to 10","1984","Hamburg","vocational + Abi","","","",""
"2 on Scale 1 to 10","1984","Hamburg","higher vocational","","","",""
"2 on Scale 1 to 10","1984","Hamburg","higher education","","","",""
"2 on Scale 1 to 10","1984","Lower Saxony","in school","","","",""
"2 on Scale 1 to 10","1984","Lower Saxony","inadequately","3","","",""
"2 on Scale 1 to 10","1984","Lower Saxony","general elemantary","13","","",""
"2 on Scale 1 to 10","1984","Lower Saxony","middle vocational","15","","",""
"2 on Scale 1 to 10","1984","Lower Saxony","vocational + Abi","1","","",""
"2 on Scale 1 to 10","1984","Lower Saxony","higher vocational","3","","",""
"2 on Scale 1 to 10","1984","Lower Saxony","higher education","2","","",""
"2 on Scale 1 to 10","1984","Bremen","in school","","","",""
"2 on Scale 1 to 10","1984","Bremen","inadequately","","","",""
"2 on Scale 1 to 10","1984","Bremen","general elemantary","3","","",""
"2 on Scale 1 to 10","1984","Bremen","middle vocational","1","","",""
"2 on Scale 1 to 10","1984","Bremen","vocational + Abi","","","",""
"2 on Scale 1 to 10","1984","Bremen","higher vocational","","","",""
"2 on Scale 1 to 10","1984","Bremen","higher education","","","",""
"2 on Scale 1 to 10","1984","North Rhine-Westphalia","in school","","","",""
"2 on Scale 1 to 10","1984","North Rhine-Westphalia","inadequately","13","","",""
"2 on Scale 1 to 10","1984","North Rhine-Westphalia","general elemantary","29","","",""
"2 on Scale 1 to 10","1984","North Rhine-Westphalia","middle vocational","32","0.0225386577237068","0.0151086231783496","0.029968692269064"
"2 on Scale 1 to 10","1984","North Rhine-Westphalia","vocational + Abi","","","",""
"2 on Scale 1 to 10","1984","North Rhine-Westphalia","higher vocational","","","",""
"2 on Scale 1 to 10","1984","North Rhine-Westphalia","higher education","3","","",""
"2 on Scale 1 to 10","1984","Hesse","in school","","","",""
"2 on Scale 1 to 10","1984","Hesse","inadequately","10","","",""
"2 on Scale 1 to 10","1984","Hesse","general elemantary","11","","",""
"2 on Scale 1 to 10","1984","Hesse","middle vocational","16","","",""
"2 on Scale 1 to 10","1984","Hesse","vocational + Abi","","","",""
"2 on Scale 1 to 10","1984","Hesse","higher vocational","2","","",""
"2 on Scale 1 to 10","1984","Hesse","higher education","2","","",""
"2 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","in school","","","",""
"2 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","inadequately","3","","",""
"2 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","general elemantary","11","","",""
"2 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","middle vocational","13","","",""
"2 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","vocational + Abi","1","","",""
"2 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","higher vocational","2","","",""
"2 on Scale 1 to 10","1984","Rhineland-Palatinate,Saarland","higher education","","","",""
"2 on Scale 1 to 10","1984","Baden-Württemberg","in school","1","","",""
"2 on Scale 1 to 10","1984","Baden-Württemberg","inadequately","13","","",""
"2 on Scale 1 to 10","1984","Baden-Württemberg","general elemantary","26","","",""
"2 on Scale 1 to 10","1984","Baden-Württemberg","middle vocational","19","","",""
"2 on Scale 1 to 10","1984","Baden-Württemberg","vocational + Abi","1","","",""
"2 on Scale 1 to 10","1984","Baden-Württemberg","higher vocational","","","",""
"2 on Scale 1 to 10","1984","Baden-Württemberg","higher education","5","","",""
"2 on Scale 1 to 10","1984","Bavaria","in school","1","","",""
"2 on Scale 1 to 10","1984","Bavaria","inadequately","5","","",""
"2 on Scale 1 to 10","1984","Bavaria","general elemantary","26","","",""
"2 on Scale 1 to 10","1984","Bavaria","middle vocational","26","","",""
"2 on Scale 1 to 10","1984","Bavaria","vocational + Abi","","","",""
"2 on Scale 1 to 10","1984","Bavaria","higher vocational","3","","",""
"2 on Scale 1 to 10","1984","Bavaria","higher education","4","","",""
"2 on Scale 1 to 10","1984","Berlin","in school","","","",""
"2 on Scale 1 to 10","1984","Berlin","inadequately","3","","",""
"2 on Scale 1 to 10","1984","Berlin","general elemantary","8","","",""
"2 on Scale 1 to 10","1984","Berlin","middle vocational","9","","",""
"2 on Scale 1 to 10","1984","Berlin","vocational + Abi","","","",""
"2 on Scale 1 to 10","1984","Berlin","higher vocational","2","","",""
"2 on Scale 1 to 10","1984","Berlin","higher education","2","","",""
"2 on Scale 1 to 10","1984","Brandenburg","in school","","","",""
"2 on Scale 1 to 10","1984","Brandenburg","inadequately","","","",""
"2 on Scale 1 to 10","1984","Brandenburg","general elemantary","","","",""
"2 on Scale 1 to 10","1984","Brandenburg","middle vocational","","","",""
"2 on Scale 1 to 10","1984","Brandenburg","vocational + Abi","","","",""
"2 on Scale 1 to 10","1984","Brandenburg","higher vocational","","","",""
"2 on Scale 1 to 10","1984","Brandenburg","higher education","","","",""
"2 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","in school","","","",""
"2 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","inadequately","","","",""
"2 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","general elemantary","","","",""
"2 on Scale 1 to 10","1984","Mecklenburg-Western Pomerania","middle vocational","","","",""
