"plh0162","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","1-pers.-HH","Male","1","","","","0"
"0 Completely dissatisfied","1990","1-pers.-HH","Female","8","","","","0"
"0 Completely dissatisfied","1990","(Married) couple without C. ","Male","4","","","","0"
"0 Completely dissatisfied","1990","(Married) couple without C. ","Female","4","","","","0"
"0 Completely dissatisfied","1990","Single parent ","Male","1","","","","0"
"0 Completely dissatisfied","1990","Single parent ","Female","3","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE 16 ","Male","7","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE 16 ","Female","14","","","","0"
"0 Completely dissatisfied","1990","Couple + C. GT 16 ","Male","9","","","","0"
"0 Completely dissatisfied","1990","Couple + C. GT 16 ","Female","5","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE and GT 16","Male","4","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE and GT 16","Female","3","","","","0"
"1 on Scale 1 to 10","1990","1-pers.-HH","Male","","","","","1"
"1 on Scale 1 to 10","1990","(Married) couple without C. ","Female","2","","","","1"
"1 on Scale 1 to 10","1990","Single parent ","Female","2","","","","1"
"1 on Scale 1 to 10","1990","Single parent ","Male","1","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE 16 ","Female","2","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. GT 16 ","Male","2","","","","1"
"1 on Scale 1 to 10","1990","1-pers.-HH","Female","3","","","","1"
"1 on Scale 1 to 10","1990","(Married) couple without C. ","Male","2","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE 16 ","Male","4","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. GT 16 ","Female","3","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Male","1","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Female","","","","","1"
"10 Completely satisfied","1990","1-pers.-HH","Male","14","","","","10"
"10 Completely satisfied","1990","1-pers.-HH","Female","21","","","","10"
"10 Completely satisfied","1990","(Married) couple without C. ","Male","49","0.100599084083626","0.0735486049312931","0.127649563235959","10"
"10 Completely satisfied","1990","(Married) couple without C. ","Female","52","0.105569162319512","0.0781080912150412","0.133030233423983","10"
"10 Completely satisfied","1990","Single parent ","Male","6","","","","10"
"10 Completely satisfied","1990","Single parent ","Female","11","","","","10"
"10 Completely satisfied","1990","Couple + C. LE 16 ","Male","43","0.0604394492513229","0.043176492341111","0.0777024061615348","10"
"10 Completely satisfied","1990","Couple + C. LE 16 ","Female","51","0.0705779455803908","0.0521619722535592","0.0889939189072225","10"
"10 Completely satisfied","1990","Couple + C. GT 16 ","Male","25","","","","10"
"10 Completely satisfied","1990","Couple + C. GT 16 ","Female","34","0.0866451067225755","0.0584347738980337","0.114855439547117","10"
"10 Completely satisfied","1990","Couple + C. LE and GT 16","Male","11","","","","10"
"10 Completely satisfied","1990","Couple + C. LE and GT 16","Female","11","","","","10"
"2 on Scale 1 to 10","1990","1-pers.-HH","Female","9","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. LE 16 ","Male","24","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. LE 16 ","Female","15","","","","2"
"2 on Scale 1 to 10","1990","(Married) couple without C. ","Male","9","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Female","4","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. GT 16 ","Female","5","","","","2"
"2 on Scale 1 to 10","1990","(Married) couple without C. ","Female","9","","","","2"
"2 on Scale 1 to 10","1990","1-pers.-HH","Male","5","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Male","4","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. GT 16 ","Male","11","","","","2"
"2 on Scale 1 to 10","1990","Single parent ","Male","1","","","","2"
"2 on Scale 1 to 10","1990","Single parent ","Female","6","","","","2"
"3 on Scale 1 to 10","1990","Single parent ","Female","6","","","","3"
"3 on Scale 1 to 10","1990","1-pers.-HH","Male","8","","","","3"
"3 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Female","3","","","","3"
"3 on Scale 1 to 10","1990","1-pers.-HH","Female","19","","","","3"
"3 on Scale 1 to 10","1990","(Married) couple without C. ","Male","17","","","","3"
"3 on Scale 1 to 10","1990","Single parent ","Male","2","","","","3"
"3 on Scale 1 to 10","1990","Couple + C. LE 16 ","Male","33","0.0437752137179821","0.0289539004607874","0.0585965269751768","3"
"3 on Scale 1 to 10","1990","(Married) couple without C. ","Female","24","","","","3"
"3 on Scale 1 to 10","1990","Couple + C. LE 16 ","Female","26","","","","3"
"3 on Scale 1 to 10","1990","Couple + C. GT 16 ","Male","24","","","","3"
"3 on Scale 1 to 10","1990","Couple + C. GT 16 ","Female","9","","","","3"
"3 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Male","10","","","","3"
"4 on Scale 1 to 10","1990","1-pers.-HH","Male","5","","","","4"
"4 on Scale 1 to 10","1990","1-pers.-HH","Female","17","","","","4"
"4 on Scale 1 to 10","1990","(Married) couple without C. ","Female","16","","","","4"
"4 on Scale 1 to 10","1990","Couple + C. LE 16 ","Male","51","0.0667278128168318","0.0486498221780745","0.084805803455589","4"
"4 on Scale 1 to 10","1990","Single parent ","Male","7","","","","4"
"4 on Scale 1 to 10","1990","Single parent ","Female","12","","","","4"
"4 on Scale 1 to 10","1990","Couple + C. GT 16 ","Female","23","","","","4"
"4 on Scale 1 to 10","1990","(Married) couple without C. ","Male","19","","","","4"
"4 on Scale 1 to 10","1990","Couple + C. GT 16 ","Male","17","","","","4"
"4 on Scale 1 to 10","1990","Couple + C. LE 16 ","Female","31","0.0393708179784402","0.0253872244714068","0.0533544114854735","4"
"4 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Female","10","","","","4"
"4 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Male","7","","","","4"
"5 on Scale 1 to 10","1990","1-pers.-HH","Female","71","0.283538900808851","0.226516551868669","0.340561249749034","5"
"5 on Scale 1 to 10","1990","(Married) couple without C. ","Male","103","0.217236307177545","0.18015262684691","0.254319987508181","5"
"5 on Scale 1 to 10","1990","Couple + C. GT 16 ","Female","93","0.246524130180525","0.203304524383376","0.289743735977675","5"
"5 on Scale 1 to 10","1990","(Married) couple without C. ","Female","110","0.22071764341043","0.183654564015287","0.257780722805573","5"
"5 on Scale 1 to 10","1990","Single parent ","Female","27","","","","5"
"5 on Scale 1 to 10","1990","1-pers.-HH","Male","21","","","","5"
"5 on Scale 1 to 10","1990","Single parent ","Male","11","","","","5"
"5 on Scale 1 to 10","1990","Couple + C. LE 16 ","Male","152","0.220220772977124","0.190200991771861","0.250240554182387","5"
"5 on Scale 1 to 10","1990","Couple + C. LE 16 ","Female","160","0.220093745278357","0.190303180540863","0.249884310015852","5"
