"plh0162","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","no migration background","in school","","","","","0"
"0 Completely dissatisfied","1990","no migration background","inadequately","","","","","0"
"0 Completely dissatisfied","1990","no migration background","general elemantary","20","","","","0"
"0 Completely dissatisfied","1990","no migration background","middle vocational","38","0.0140734214513033","0.00942049486071524","0.0187263480418913","0"
"0 Completely dissatisfied","1990","no migration background","vocational + Abi","1","","","","0"
"0 Completely dissatisfied","1990","no migration background","higher vocational","5","","","","0"
"0 Completely dissatisfied","1990","no migration background","higher education","5","","","","0"
"0 Completely dissatisfied","1990","direct migration background","in school","","","","","0"
"0 Completely dissatisfied","1990","direct migration background","inadequately","","","","","0"
"0 Completely dissatisfied","1990","direct migration background","general elemantary","","","","","0"
"0 Completely dissatisfied","1990","direct migration background","middle vocational","","","","","0"
"0 Completely dissatisfied","1990","direct migration background","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1990","direct migration background","higher vocational","","","","","0"
"0 Completely dissatisfied","1990","direct migration background","higher education","","","","","0"
"0 Completely dissatisfied","1990","indirect migration background","in school","","","","","0"
"0 Completely dissatisfied","1990","indirect migration background","inadequately","","","","","0"
"0 Completely dissatisfied","1990","indirect migration background","general elemantary","","","","","0"
"0 Completely dissatisfied","1990","indirect migration background","middle vocational","","","","","0"
"0 Completely dissatisfied","1990","indirect migration background","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1990","indirect migration background","higher vocational","","","","","0"
"0 Completely dissatisfied","1990","indirect migration background","higher education","","","","","0"
"1 on Scale 1 to 10","1990","indirect migration background","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1990","indirect migration background","higher vocational","","","","","1"
"1 on Scale 1 to 10","1990","indirect migration background","higher education","","","","","1"
"1 on Scale 1 to 10","1990","indirect migration background","middle vocational","","","","","1"
"1 on Scale 1 to 10","1990","no migration background","general elemantary","6","","","","1"
"1 on Scale 1 to 10","1990","no migration background","middle vocational","13","","","","1"
"1 on Scale 1 to 10","1990","no migration background","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1990","direct migration background","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1990","direct migration background","higher vocational","","","","","1"
"1 on Scale 1 to 10","1990","direct migration background","higher education","","","","","1"
"1 on Scale 1 to 10","1990","indirect migration background","in school","","","","","1"
"1 on Scale 1 to 10","1990","indirect migration background","inadequately","","","","","1"
"1 on Scale 1 to 10","1990","indirect migration background","general elemantary","","","","","1"
"1 on Scale 1 to 10","1990","no migration background","in school","","","","","1"
"1 on Scale 1 to 10","1990","no migration background","inadequately","","","","","1"
"1 on Scale 1 to 10","1990","no migration background","higher vocational","2","","","","1"
"1 on Scale 1 to 10","1990","no migration background","higher education","3","","","","1"
"1 on Scale 1 to 10","1990","direct migration background","general elemantary","","","","","1"
"1 on Scale 1 to 10","1990","direct migration background","middle vocational","1","","","","1"
"1 on Scale 1 to 10","1990","direct migration background","in school","","","","","1"
"1 on Scale 1 to 10","1990","direct migration background","inadequately","","","","","1"
"10 Completely satisfied","1990","no migration background","higher vocational","22","","","","10"
"10 Completely satisfied","1990","no migration background","higher education","60","0.0604225766913593","0.045350316535516","0.0754948368472026","10"
"10 Completely satisfied","1990","no migration background","in school","7","","","","10"
"10 Completely satisfied","1990","direct migration background","in school","","","","","10"
"10 Completely satisfied","1990","direct migration background","inadequately","1","","","","10"
"10 Completely satisfied","1990","no migration background","inadequately","1","","","","10"
"10 Completely satisfied","1990","no migration background","middle vocational","206","0.0909945400034757","0.0796341045216915","0.10235497548526","10"
"10 Completely satisfied","1990","no migration background","vocational + Abi","4","","","","10"
"10 Completely satisfied","1990","direct migration background","general elemantary","1","","","","10"
"10 Completely satisfied","1990","direct migration background","middle vocational","8","","","","10"
"10 Completely satisfied","1990","direct migration background","vocational + Abi","","","","","10"
"10 Completely satisfied","1990","indirect migration background","vocational + Abi","","","","","10"
"10 Completely satisfied","1990","indirect migration background","higher vocational","","","","","10"
"10 Completely satisfied","1990","indirect migration background","higher education","","","","","10"
"10 Completely satisfied","1990","no migration background","general elemantary","39","0.0770675408103977","0.05366739687098","0.100467684749815","10"
"10 Completely satisfied","1990","indirect migration background","middle vocational","","","","","10"
"10 Completely satisfied","1990","direct migration background","higher vocational","1","","","","10"
"10 Completely satisfied","1990","direct migration background","higher education","2","","","","10"
"10 Completely satisfied","1990","indirect migration background","in school","","","","","10"
"10 Completely satisfied","1990","indirect migration background","inadequately","","","","","10"
"10 Completely satisfied","1990","indirect migration background","general elemantary","","","","","10"
"2 on Scale 1 to 10","1990","indirect migration background","higher vocational","","","","","2"
"2 on Scale 1 to 10","1990","indirect migration background","vocational + Abi","","","","","2"
"2 on Scale 1 to 10","1990","no migration background","inadequately","1","","","","2"
"2 on Scale 1 to 10","1990","indirect migration background","middle vocational","","","","","2"
