"plh0162","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","16-34 y.","1-pers.-HH","","","","","0"
"0 Completely dissatisfied","1990","16-34 y.","(Married) couple without C. ","","","","","0"
"0 Completely dissatisfied","1990","16-34 y.","Single parent ","2","","","","0"
"0 Completely dissatisfied","1990","16-34 y.","Couple + C. LE 16 ","18","","","","0"
"0 Completely dissatisfied","1990","16-34 y.","Couple + C. GT 16 ","7","","","","0"
"0 Completely dissatisfied","1990","16-34 y.","Couple + C. LE and GT 16","4","","","","0"
"0 Completely dissatisfied","1990","35-65 y.","1-pers.-HH","3","","","","0"
"0 Completely dissatisfied","1990","35-65 y.","(Married) couple without C. ","7","","","","0"
"0 Completely dissatisfied","1990","35-65 y.","Single parent ","2","","","","0"
"0 Completely dissatisfied","1990","35-65 y.","Couple + C. LE 16 ","3","","","","0"
"0 Completely dissatisfied","1990","35-65 y.","Couple + C. GT 16 ","6","","","","0"
"0 Completely dissatisfied","1990","35-65 y.","Couple + C. LE and GT 16","3","","","","0"
"0 Completely dissatisfied","1990","66 and older","1-pers.-HH","6","","","","0"
"0 Completely dissatisfied","1990","66 and older","(Married) couple without C. ","1","","","","0"
"0 Completely dissatisfied","1990","66 and older","Single parent ","","","","","0"
"0 Completely dissatisfied","1990","66 and older","Couple + C. LE 16 ","","","","","0"
"0 Completely dissatisfied","1990","66 and older","Couple + C. GT 16 ","1","","","","0"
"0 Completely dissatisfied","1990","66 and older","Couple + C. LE and GT 16","","","","","0"
"1 on Scale 1 to 10","1990","16-34 y.","Couple + C. GT 16 ","2","","","","1"
"1 on Scale 1 to 10","1990","16-34 y.","1-pers.-HH","","","","","1"
"1 on Scale 1 to 10","1990","16-34 y.","Single parent ","2","","","","1"
"1 on Scale 1 to 10","1990","16-34 y.","Couple + C. LE 16 ","5","","","","1"
"1 on Scale 1 to 10","1990","16-34 y.","(Married) couple without C. ","1","","","","1"
"1 on Scale 1 to 10","1990","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"1 on Scale 1 to 10","1990","35-65 y.","1-pers.-HH","","","","","1"
"1 on Scale 1 to 10","1990","35-65 y.","(Married) couple without C. ","3","","","","1"
"1 on Scale 1 to 10","1990","35-65 y.","Single parent ","1","","","","1"
"1 on Scale 1 to 10","1990","35-65 y.","Couple + C. LE 16 ","1","","","","1"
"1 on Scale 1 to 10","1990","35-65 y.","Couple + C. GT 16 ","2","","","","1"
"1 on Scale 1 to 10","1990","35-65 y.","Couple + C. LE and GT 16","1","","","","1"
"1 on Scale 1 to 10","1990","66 and older","1-pers.-HH","3","","","","1"
"1 on Scale 1 to 10","1990","66 and older","(Married) couple without C. ","","","","","1"
"1 on Scale 1 to 10","1990","66 and older","Single parent ","","","","","1"
"1 on Scale 1 to 10","1990","66 and older","Couple + C. LE 16 ","","","","","1"
"1 on Scale 1 to 10","1990","66 and older","Couple + C. GT 16 ","1","","","","1"
"1 on Scale 1 to 10","1990","66 and older","Couple + C. LE and GT 16","","","","","1"
"10 Completely satisfied","1990","16-34 y.","(Married) couple without C. ","7","","","","10"
"10 Completely satisfied","1990","16-34 y.","1-pers.-HH","7","","","","10"
"10 Completely satisfied","1990","16-34 y.","Couple + C. LE 16 ","57","0.0634275964259065","0.0476005925708242","0.0792546002809889","10"
