"plh0162","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1991","Full Time","Male","2","","","","0"
"0 Completely dissatisfied","1991","Full Time","Female","3","","","","0"
"0 Completely dissatisfied","1991","Part Time","Male","4","","","","0"
"0 Completely dissatisfied","1991","Part Time","Female","5","","","","0"
"0 Completely dissatisfied","1991","Not Working","Male","15","","","","0"
"0 Completely dissatisfied","1991","Not Working","Female","13","","","","0"
"1 on Scale 1 to 10","1991","Full Time","Male","10","","","","1"
"1 on Scale 1 to 10","1991","Part Time","Male","6","","","","1"
"1 on Scale 1 to 10","1991","Part Time","Female","6","","","","1"
"1 on Scale 1 to 10","1991","Full Time","Female","2","","","","1"
"1 on Scale 1 to 10","1991","Not Working","Male","8","","","","1"
"1 on Scale 1 to 10","1991","Not Working","Female","12","","","","1"
"10 Completely satisfied","1991","Full Time","Male","246","0.085002883992499","0.0751425073583368","0.0948632606266612","10"
"10 Completely satisfied","1991","Full Time","Female","152","0.113110670230603","0.0962153001306253","0.130006040330581","10"
"10 Completely satisfied","1991","Part Time","Female","116","0.0945120259093489","0.0781434578191885","0.110880593999509","10"
"10 Completely satisfied","1991","Part Time","Male","51","0.0967031265097786","0.071564801217379","0.121841451802178","10"
"10 Completely satisfied","1991","Not Working","Male","118","0.125753993035276","0.105583006710218","0.145924979360334","10"
"10 Completely satisfied","1991","Not Working","Female","238","0.113112558052121","0.099919394462528","0.126305721641714","10"
"2 on Scale 1 to 10","1991","Full Time","Male","21","","","","2"
"2 on Scale 1 to 10","1991","Full Time","Female","9","","","","2"
"2 on Scale 1 to 10","1991","Part Time","Male","8","","","","2"
"2 on Scale 1 to 10","1991","Part Time","Female","12","","","","2"
"2 on Scale 1 to 10","1991","Not Working","Male","12","","","","2"
"2 on Scale 1 to 10","1991","Not Working","Female","21","","","","2"
"3 on Scale 1 to 10","1991","Full Time","Male","51","0.0155257198772068","0.0111545783192974","0.0198968614351162","3"
"3 on Scale 1 to 10","1991","Full Time","Female","16","","","","3"
"3 on Scale 1 to 10","1991","Part Time","Male","19","","","","3"
"3 on Scale 1 to 10","1991","Part Time","Female","23","","","","3"
