"plh0162","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","in school","Urban Area","","","","","0"
"0 Completely dissatisfied","1990","in school","Rural Area","","","","","0"
"0 Completely dissatisfied","1990","inadequately","Urban Area","","","","","0"
"0 Completely dissatisfied","1990","inadequately","Rural Area","","","","","0"
"0 Completely dissatisfied","1990","general elemantary","Urban Area","9","","","","0"
"0 Completely dissatisfied","1990","general elemantary","Rural Area","11","","","","0"
"0 Completely dissatisfied","1990","middle vocational","Urban Area","10","","","","0"
"0 Completely dissatisfied","1990","middle vocational","Rural Area","28","","","","0"
"0 Completely dissatisfied","1990","vocational + Abi","Urban Area","1","","","","0"
"0 Completely dissatisfied","1990","vocational + Abi","Rural Area","","","","","0"
"0 Completely dissatisfied","1990","higher vocational","Urban Area","1","","","","0"
"0 Completely dissatisfied","1990","higher vocational","Rural Area","4","","","","0"
"0 Completely dissatisfied","1990","higher education","Urban Area","3","","","","0"
"0 Completely dissatisfied","1990","higher education","Rural Area","2","","","","0"
"1 on Scale 1 to 10","1990","higher vocational","Rural Area","2","","","","1"
"1 on Scale 1 to 10","1990","general elemantary","Urban Area","2","","","","1"
"1 on Scale 1 to 10","1990","inadequately","Urban Area","","","","","1"
"1 on Scale 1 to 10","1990","middle vocational","Urban Area","6","","","","1"
"1 on Scale 1 to 10","1990","in school","Rural Area","","","","","1"
"1 on Scale 1 to 10","1990","inadequately","Rural Area","","","","","1"
"1 on Scale 1 to 10","1990","higher education","Urban Area","","","","","1"
"1 on Scale 1 to 10","1990","higher vocational","Urban Area","","","","","1"
"1 on Scale 1 to 10","1990","in school","Urban Area","","","","","1"
"1 on Scale 1 to 10","1990","general elemantary","Rural Area","3","","","","1"
"1 on Scale 1 to 10","1990","higher education","Rural Area","3","","","","1"
"1 on Scale 1 to 10","1990","middle vocational","Rural Area","8","","","","1"
"1 on Scale 1 to 10","1990","vocational + Abi","Urban Area","","","","","1"
"1 on Scale 1 to 10","1990","vocational + Abi","Rural Area","","","","","1"
"10 Completely satisfied","1990","general elemantary","Rural Area","28","","","","10"
"10 Completely satisfied","1990","in school","Rural Area","5","","","","10"
"10 Completely satisfied","1990","middle vocational","Urban Area","58","0.081059298235968","0.0625363450398811","0.0995822514320549","10"
"10 Completely satisfied","1990","in school","Urban Area","2","","","","10"
"10 Completely satisfied","1990","inadequately","Urban Area","","","","","10"
"10 Completely satisfied","1990","general elemantary","Urban Area","11","","","","10"
"10 Completely satisfied","1990","vocational + Abi","Urban Area","1","","","","10"
"10 Completely satisfied","1990","vocational + Abi","Rural Area","3","","","","10"
"10 Completely satisfied","1990","higher education","Rural Area","42","0.0734205571490136","0.0520458464750239","0.0947952678230032","10"
"10 Completely satisfied","1990","middle vocational","Rural Area","145","0.0924641162874681","0.0784655468945843","0.106462685680352","10"
"10 Completely satisfied","1990","higher education","Urban Area","19","","","","10"
"10 Completely satisfied","1990","inadequately","Rural Area","2","","","","10"
"10 Completely satisfied","1990","higher vocational","Urban Area","11","","","","10"
"10 Completely satisfied","1990","higher vocational","Rural Area","12","","","","10"
"2 on Scale 1 to 10","1990","general elemantary","Rural Area","7","","","","2"
"2 on Scale 1 to 10","1990","in school","Urban Area","","","","","2"
"2 on Scale 1 to 10","1990","in school","Rural Area","","","","","2"
"2 on Scale 1 to 10","1990","general elemantary","Urban Area","9","","","","2"
"2 on Scale 1 to 10","1990","higher education","Rural Area","6","","","","2"
"2 on Scale 1 to 10","1990","inadequately","Urban Area","1","","","","2"
"2 on Scale 1 to 10","1990","inadequately","Rural Area","","","","","2"
"2 on Scale 1 to 10","1990","middle vocational","Urban Area","26","","","","2"
"2 on Scale 1 to 10","1990","middle vocational","Rural Area","38","0.0226048260308666","0.0154219095034277","0.0297877425583054","2"
"2 on Scale 1 to 10","1990","vocational + Abi","Urban Area","","","","","2"
"2 on Scale 1 to 10","1990","higher vocational","Urban Area","3","","","","2"
"2 on Scale 1 to 10","1990","higher vocational","Rural Area","3","","","","2"
"2 on Scale 1 to 10","1990","higher education","Urban Area","16","","","","2"
"2 on Scale 1 to 10","1990","vocational + Abi","Rural Area","","","","","2"
"3 on Scale 1 to 10","1990","in school","Rural Area","","","","","3"
"3 on Scale 1 to 10","1990","vocational + Abi","Rural Area","1","","","","3"
"3 on Scale 1 to 10","1990","inadequately","Urban Area","","","","","3"
"3 on Scale 1 to 10","1990","inadequately","Rural Area","","","","","3"
"3 on Scale 1 to 10","1990","middle vocational","Rural Area","71","0.0435421792220795","0.0336804486831985","0.0534039097609605","3"
"3 on Scale 1 to 10","1990","vocational + Abi","Urban Area","4","","","","3"
"3 on Scale 1 to 10","1990","higher vocational","Urban Area","2","","","","3"
"3 on Scale 1 to 10","1990","in school","Urban Area","","","","","3"
"3 on Scale 1 to 10","1990","general elemantary","Urban Area","9","","","","3"
"3 on Scale 1 to 10","1990","middle vocational","Urban Area","58","0.0715563924435382","0.0540632815393624","0.0890495033477141","3"
"3 on Scale 1 to 10","1990","general elemantary","Rural Area","17","","","","3"
"3 on Scale 1 to 10","1990","higher vocational","Rural Area","8","","","","3"
"3 on Scale 1 to 10","1990","higher education","Urban Area","13","","","","3"
"3 on Scale 1 to 10","1990","higher education","Rural Area","16","","","","3"
"4 on Scale 1 to 10","1990","general elemantary","Urban Area","12","","","","4"
"4 on Scale 1 to 10","1990","general elemantary","Rural Area","21","","","","4"
"4 on Scale 1 to 10","1990","higher vocational","Rural Area","7","","","","4"
"4 on Scale 1 to 10","1990","in school","Rural Area","","","","","4"
"4 on Scale 1 to 10","1990","inadequately","Urban Area","","","","","4"
"4 on Scale 1 to 10","1990","inadequately","Rural Area","","","","","4"
"4 on Scale 1 to 10","1990","higher vocational","Urban Area","4","","","","4"
"4 on Scale 1 to 10","1990","higher education","Urban Area","24","","","","4"
"4 on Scale 1 to 10","1990","middle vocational","Urban Area","52","0.0560348286002844","0.040425936623325","0.0716437205772439","4"
"4 on Scale 1 to 10","1990","in school","Urban Area","","","","","4"
"4 on Scale 1 to 10","1990","middle vocational","Rural Area","77","0.0461776697549582","0.0360358733140062","0.0563194661959102","4"
"4 on Scale 1 to 10","1990","vocational + Abi","Urban Area","1","","","","4"
"4 on Scale 1 to 10","1990","vocational + Abi","Rural Area","3","","","","4"
"4 on Scale 1 to 10","1990","higher education","Rural Area","21","","","","4"
"5 on Scale 1 to 10","1990","general elemantary","Rural Area","75","0.215240369982844","0.172183321042608","0.25829741892308","5"
"5 on Scale 1 to 10","1990","middle vocational","Urban Area","213","0.244641268471296","0.215466558152856","0.273815978789735","5"
"5 on Scale 1 to 10","1990","middle vocational","Rural Area","396","0.241916736389629","0.221222159488519","0.262611313290738","5"
"5 on Scale 1 to 10","1990","in school","Rural Area","2","","","","5"
"5 on Scale 1 to 10","1990","inadequately","Urban Area","4","","","","5"
"5 on Scale 1 to 10","1990","inadequately","Rural Area","1","","","","5"
"5 on Scale 1 to 10","1990","general elemantary","Urban Area","39","0.237369316349528","0.170816307957943","0.303922324741113","5"
"5 on Scale 1 to 10","1990","vocational + Abi","Urban Area","5","","","","5"
"5 on Scale 1 to 10","1990","vocational + Abi","Rural Area","4","","","","5"
"5 on Scale 1 to 10","1990","higher vocational","Rural Area","34","0.246454121651194","0.181288830147523","0.311619413154866","5"
"5 on Scale 1 to 10","1990","higher education","Urban Area","79","0.207163408898594","0.167693243474584","0.246633574322604","5"
"5 on Scale 1 to 10","1990","higher education","Rural Area","111","0.193349344049289","0.160985196401325","0.225713491697253","5"
"5 on Scale 1 to 10","1990","in school","Urban Area","1","","","","5"
"5 on Scale 1 to 10","1990","higher vocational","Urban Area","13","","","","5"
"6 on Scale 1 to 10","1990","higher vocational","Urban Area","15","","","","6"
"6 on Scale 1 to 10","1990","in school","Urban Area","1","","","","6"
"6 on Scale 1 to 10","1990","inadequately","Urban Area","","","","","6"
"6 on Scale 1 to 10","1990","middle vocational","Rural Area","225","0.136975262982106","0.12036035909236","0.153590166871853","6"
"6 on Scale 1 to 10","1990","vocational + Abi","Urban Area","8","","","","6"
"6 on Scale 1 to 10","1990","vocational + Abi","Rural Area","6","","","","6"
"6 on Scale 1 to 10","1990","higher vocational","Rural Area","25","","","","6"
"6 on Scale 1 to 10","1990","higher education","Urban Area","42","0.0981894748651561","0.0692086529665905","0.127170296763722","6"
"6 on Scale 1 to 10","1990","higher education","Rural Area","96","0.168020045612956","0.137380165825551","0.198659925400362","6"
"6 on Scale 1 to 10","1990","in school","Rural Area","1","","","","6"
"6 on Scale 1 to 10","1990","middle vocational","Urban Area","108","0.13559062954974","0.112355792162431","0.158825466937049","6"
"6 on Scale 1 to 10","1990","inadequately","Rural Area","1","","","","6"
"6 on Scale 1 to 10","1990","general elemantary","Urban Area","22","","","","6"
"6 on Scale 1 to 10","1990","general elemantary","Rural Area","48","0.152372424803853","0.114722007279846","0.19002284232786","6"
"7 on Scale 1 to 10","1990","higher vocational","Urban Area","13","","","","7"
"7 on Scale 1 to 10","1990","inadequately","Urban Area","","","","","7"
"7 on Scale 1 to 10","1990","in school","Rural Area","7","","","","7"
"7 on Scale 1 to 10","1990","in school","Urban Area","1","","","","7"
"7 on Scale 1 to 10","1990","inadequately","Rural Area","","","","","7"
"7 on Scale 1 to 10","1990","general elemantary","Urban Area","12","","","","7"
"7 on Scale 1 to 10","1990","middle vocational","Urban Area","124","0.148722711542509","0.124574262855134","0.172871160229885","7"
"7 on Scale 1 to 10","1990","vocational + Abi","Urban Area","5","","","","7"
"7 on Scale 1 to 10","1990","middle vocational","Rural Area","249","0.15142708801728","0.134104550628721","0.168749625405838","7"
"7 on Scale 1 to 10","1990","vocational + Abi","Rural Area","14","","","","7"
"7 on Scale 1 to 10","1990","higher education","Rural Area","112","0.193854496737442","0.161458247291803","0.226250746183081","7"
"7 on Scale 1 to 10","1990","general elemantary","Rural Area","47","0.124694088989008","0.0900828670016597","0.159305310976356","7"
"7 on Scale 1 to 10","1990","higher vocational","Rural Area","21","","","","7"
"7 on Scale 1 to 10","1990","higher education","Urban Area","74","0.173484259819653","0.136605510649554","0.210363008989752","7"
"8 on Scale 1 to 10","1990","general elemantary","Urban Area","26","","","","8"
"8 on Scale 1 to 10","1990","in school","Rural Area","6","","","","8"
"8 on Scale 1 to 10","1990","middle vocational","Rural Area","316","0.188032024897563","0.169149915842036","0.20691413395309","8"
