"plh0162","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","in school","Male","","","","","0"
"0 Completely dissatisfied","1990","in school","Female","","","","","0"
"0 Completely dissatisfied","1990","inadequately","Male","","","","","0"
"0 Completely dissatisfied","1990","inadequately","Female","","","","","0"
"0 Completely dissatisfied","1990","general elemantary","Male","4","","","","0"
"0 Completely dissatisfied","1990","general elemantary","Female","16","","","","0"
"0 Completely dissatisfied","1990","middle vocational","Male","18","","","","0"
"0 Completely dissatisfied","1990","middle vocational","Female","20","","","","0"
"0 Completely dissatisfied","1990","vocational + Abi","Male","1","","","","0"
"0 Completely dissatisfied","1990","vocational + Abi","Female","","","","","0"
"0 Completely dissatisfied","1990","higher vocational","Male","5","","","","0"
"0 Completely dissatisfied","1990","higher vocational","Female","","","","","0"
"0 Completely dissatisfied","1990","higher education","Male","1","","","","0"
"0 Completely dissatisfied","1990","higher education","Female","4","","","","0"
"1 on Scale 1 to 10","1990","higher vocational","Female","","","","","1"
"1 on Scale 1 to 10","1990","general elemantary","Male","","","","","1"
"1 on Scale 1 to 10","1990","inadequately","Male","","","","","1"
"1 on Scale 1 to 10","1990","middle vocational","Male","9","","","","1"
"1 on Scale 1 to 10","1990","in school","Female","","","","","1"
"1 on Scale 1 to 10","1990","inadequately","Female","","","","","1"
"1 on Scale 1 to 10","1990","higher education","Male","1","","","","1"
"1 on Scale 1 to 10","1990","higher vocational","Male","2","","","","1"
"1 on Scale 1 to 10","1990","in school","Male","","","","","1"
"1 on Scale 1 to 10","1990","general elemantary","Female","6","","","","1"
"1 on Scale 1 to 10","1990","higher education","Female","2","","","","1"
"1 on Scale 1 to 10","1990","middle vocational","Female","5","","","","1"
"1 on Scale 1 to 10","1990","vocational + Abi","Male","","","","","1"
"1 on Scale 1 to 10","1990","vocational + Abi","Female","","","","","1"
"10 Completely satisfied","1990","general elemantary","Female","30","0.0729691520925421","0.0468876168107401","0.099050687374344","10"
"10 Completely satisfied","1990","in school","Female","2","","","","10"
"10 Completely satisfied","1990","middle vocational","Male","98","0.0897517934564372","0.0737262055119044","0.10577738140097","10"
"10 Completely satisfied","1990","in school","Male","5","","","","10"
"10 Completely satisfied","1990","inadequately","Male","","","","","10"
"10 Completely satisfied","1990","general elemantary","Male","10","","","","10"
"10 Completely satisfied","1990","vocational + Abi","Male","1","","","","10"
"10 Completely satisfied","1990","vocational + Abi","Female","3","","","","10"
"10 Completely satisfied","1990","higher education","Female","37","0.06602031392944","0.0450763578294093","0.0869642700294706","10"
"10 Completely satisfied","1990","middle vocational","Female","116","0.0935248880899121","0.0777637241600539","0.10928605201977","10"
"10 Completely satisfied","1990","higher education","Male","25","","","","10"
"10 Completely satisfied","1990","inadequately","Female","2","","","","10"
"10 Completely satisfied","1990","higher vocational","Male","20","","","","10"
"10 Completely satisfied","1990","higher vocational","Female","3","","","","10"
