"plh0162","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","16-34 y.","Male","14","","","","0"
"0 Completely dissatisfied","1990","16-34 y.","Female","19","","","","0"
"0 Completely dissatisfied","1990","35-65 y.","Male","14","","","","0"
"0 Completely dissatisfied","1990","35-65 y.","Female","13","","","","0"
"0 Completely dissatisfied","1990","66 and older","Male","1","","","","0"
"0 Completely dissatisfied","1990","66 and older","Female","8","","","","0"
"1 on Scale 1 to 10","1990","16-34 y.","Male","7","","","","1"
"1 on Scale 1 to 10","1990","35-65 y.","Male","4","","","","1"
"1 on Scale 1 to 10","1990","35-65 y.","Female","4","","","","1"
"1 on Scale 1 to 10","1990","16-34 y.","Female","5","","","","1"
"1 on Scale 1 to 10","1990","66 and older","Male","1","","","","1"
"1 on Scale 1 to 10","1990","66 and older","Female","4","","","","1"
"10 Completely satisfied","1990","16-34 y.","Male","58","0.0765236254251358","0.058449460436497","0.0945977904137746","10"
"10 Completely satisfied","1990","16-34 y.","Female","62","0.0725794435476791","0.055259772701201","0.0898991143941572","10"
"10 Completely satisfied","1990","35-65 y.","Male","83","0.0789999269735701","0.0632935392789632","0.094706314668177","10"
"10 Completely satisfied","1990","35-65 y.","Female","96","0.0820927627992255","0.0663903686114298","0.0977951569870212","10"
"10 Completely satisfied","1990","66 and older","Male","18","","","","10"
"10 Completely satisfied","1990","66 and older","Female","35","0.109359226880863","0.0736242683032551","0.145094185458471","10"
"2 on Scale 1 to 10","1990","16-34 y.","Male","24","","","","2"
"2 on Scale 1 to 10","1990","16-34 y.","Female","23","","","","2"
"2 on Scale 1 to 10","1990","35-65 y.","Male","34","0.0288006439954403","0.0190622256215915","0.0385390623692892","2"
"2 on Scale 1 to 10","1990","35-65 y.","Female","16","","","","2"
"2 on Scale 1 to 10","1990","66 and older","Male","1","","","","2"
"2 on Scale 1 to 10","1990","66 and older","Female","14","","","","2"
"3 on Scale 1 to 10","1990","16-34 y.","Male","54","0.0611252922486635","0.0448375130492105","0.0774130714481166","3"
"3 on Scale 1 to 10","1990","16-34 y.","Female","31","0.0357750798114433","0.0233764429723386","0.048173716650548","3"
"3 on Scale 1 to 10","1990","35-65 y.","Male","39","0.0355363838327564","0.0247565348559741","0.0463162328095387","3"
"3 on Scale 1 to 10","1990","35-65 y.","Female","54","0.0539228405468405","0.0410028051835122","0.0668428759101687","3"
"3 on Scale 1 to 10","1990","66 and older","Male","6","","","","3"
"3 on Scale 1 to 10","1990","66 and older","Female","17","","","","3"
"4 on Scale 1 to 10","1990","16-34 y.","Male","56","0.0619863098253045","0.0455917387490304","0.0783808809015786","4"
"4 on Scale 1 to 10","1990","16-34 y.","Female","46","0.0525721197423885","0.0376735258363555","0.0674707136484216","4"
"4 on Scale 1 to 10","1990","35-65 y.","Male","50","0.0425471774506066","0.0307947601109202","0.054299594790293","4"
"4 on Scale 1 to 10","1990","35-65 y.","Female","56","0.0462065516007352","0.0341979347273541","0.0582151684741163","4"
"4 on Scale 1 to 10","1990","66 and older","Female","14","","","","4"
"4 on Scale 1 to 10","1990","66 and older","Male","5","","","","4"
"5 on Scale 1 to 10","1990","16-34 y.","Male","173","0.216335607363245","0.188340854376296","0.244330360350195","5"
"5 on Scale 1 to 10","1990","16-34 y.","Female","176","0.213358847055026","0.186010056998939","0.240707637111114","5"
"5 on Scale 1 to 10","1990","35-65 y.","Male","258","0.222402250245919","0.19818748727832","0.246617013213517","5"
"5 on Scale 1 to 10","1990","35-65 y.","Female","283","0.235416619658719","0.211148002590148","0.259685236727289","5"
"5 on Scale 1 to 10","1990","66 and older","Male","33","0.245059858285363","0.174064348358695","0.316055368212032","5"
"5 on Scale 1 to 10","1990","66 and older","Female","75","0.245488257932447","0.196209171922451","0.294767343942443","5"
"6 on Scale 1 to 10","1990","16-34 y.","Male","114","0.139612479823392","0.116048060033308","0.163176899613477","6"
"6 on Scale 1 to 10","1990","16-34 y.","Female","123","0.143204587375663","0.119820981121549","0.166588193629777","6"
"6 on Scale 1 to 10","1990","35-65 y.","Male","160","0.145408903308999","0.124882738220856","0.165935068397143","6"
"6 on Scale 1 to 10","1990","35-65 y.","Female","169","0.144910460574759","0.124774622608957","0.16504629854056","6"
"6 on Scale 1 to 10","1990","66 and older","Male","15","","","","6"
"6 on Scale 1 to 10","1990","66 and older","Female","29","","","","6"
"7 on Scale 1 to 10","1990","16-34 y.","Male","140","0.166334828481857","0.14101650143382","0.191653155529894","7"
