"plh0162","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1991","Not Employed","Full Time","","","","","0"
"0 Completely dissatisfied","1991","Not Employed","Part Time","","","","","0"
"0 Completely dissatisfied","1991","Not Employed","Not Working","28","","","","0"
"0 Completely dissatisfied","1991","Employed","Full Time","5","","","","0"
"0 Completely dissatisfied","1991","Employed","Part Time","9","","","","0"
"0 Completely dissatisfied","1991","Employed","Not Working","","","","","0"
"1 on Scale 1 to 10","1991","Not Employed","Full Time","","","","","1"
"1 on Scale 1 to 10","1991","Not Employed","Not Working","20","","","","1"
"1 on Scale 1 to 10","1991","Employed","Full Time","12","","","","1"
"1 on Scale 1 to 10","1991","Not Employed","Part Time","","","","","1"
"1 on Scale 1 to 10","1991","Employed","Part Time","12","","","","1"
"1 on Scale 1 to 10","1991","Employed","Not Working","","","","","1"
"10 Completely satisfied","1991","Not Employed","Full Time","","","","","10"
"10 Completely satisfied","1991","Not Employed","Part Time","","","","","10"
"10 Completely satisfied","1991","Employed","Full Time","398","0.0936363145999343","0.085050865343261","0.102221763856607","10"
"10 Completely satisfied","1991","Not Employed","Not Working","356","0.117141410382123","0.10608857707556","0.128194243688685","10"
"10 Completely satisfied","1991","Employed","Part Time","167","0.0951767666288659","0.0814589181731389","0.108894615084593","10"
"10 Completely satisfied","1991","Employed","Not Working","","","","","10"
"2 on Scale 1 to 10","1991","Not Employed","Full Time","","","","","2"
"2 on Scale 1 to 10","1991","Not Employed","Part Time","","","","","2"
"2 on Scale 1 to 10","1991","Not Employed","Not Working","33","0.00847394901839225","0.0053235336994088","0.0116243643373757","2"
"2 on Scale 1 to 10","1991","Employed","Full Time","30","0.00729444364188862","0.00478662610923523","0.00980226117454201","2"
"2 on Scale 1 to 10","1991","Employed","Part Time","20","","","","2"
"2 on Scale 1 to 10","1991","Employed","Not Working","","","","","2"
"3 on Scale 1 to 10","1991","Not Employed","Full Time","","","","","3"
"3 on Scale 1 to 10","1991","Not Employed","Part Time","","","","","3"
"3 on Scale 1 to 10","1991","Not Employed","Not Working","82","0.0222732006118006","0.0172012747512167","0.0273451264723845","3"
"3 on Scale 1 to 10","1991","Employed","Full Time","67","0.014001863138893","0.0105391175663947","0.0174646087113913","3"
