"plh0162","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","no migration background","West Germany","","","","","0"
"0 Completely dissatisfied","1990","no migration background","East Germany","69","0.0174880697184837","0.0135665167207996","0.0214096227161679","0"
"0 Completely dissatisfied","1990","direct migration background","West Germany","","","","","0"
"0 Completely dissatisfied","1990","direct migration background","East Germany","","","","","0"
"0 Completely dissatisfied","1990","indirect migration background","West Germany","","","","","0"
"0 Completely dissatisfied","1990","indirect migration background","East Germany","","","","","0"
"1 on Scale 1 to 10","1990","no migration background","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","direct migration background","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","direct migration background","East Germany","1","","","","1"
"1 on Scale 1 to 10","1990","no migration background","East Germany","24","","","","1"
"1 on Scale 1 to 10","1990","indirect migration background","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","indirect migration background","East Germany","","","","","1"
"10 Completely satisfied","1990","no migration background","West Germany","","","","","10"
"10 Completely satisfied","1990","no migration background","East Germany","339","0.083205983746072","0.0749431046290741","0.09146886286307","10"
"10 Completely satisfied","1990","direct migration background","West Germany","","","","","10"
"10 Completely satisfied","1990","direct migration background","East Germany","13","","","","10"
"10 Completely satisfied","1990","indirect migration background","West Germany","","","","","10"
"10 Completely satisfied","1990","indirect migration background","East Germany","","","","","10"
"2 on Scale 1 to 10","1990","no migration background","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","no migration background","East Germany","107","0.0262710184390218","0.0214860868039617","0.0310559500740818","2"
"2 on Scale 1 to 10","1990","direct migration background","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","direct migration background","East Germany","5","","","","2"
"2 on Scale 1 to 10","1990","indirect migration background","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","indirect migration background","East Germany","","","","","2"
"3 on Scale 1 to 10","1990","no migration background","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","no migration background","East Germany","192","0.0460676299159673","0.0397960788615316","0.052339180970403","3"
"3 on Scale 1 to 10","1990","direct migration background","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","direct migration background","East Germany","9","","","","3"
"3 on Scale 1 to 10","1990","indirect migration background","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","indirect migration background","East Germany","","","","","3"
"4 on Scale 1 to 10","1990","no migration background","West Germany","","","","","4"
