"plh0162","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","no migration background","Urban Area","24","","","","0"
"0 Completely dissatisfied","1990","no migration background","Rural Area","45","0.0177982595635247","0.0128285317341534","0.022767987392896","0"
"0 Completely dissatisfied","1990","direct migration background","Urban Area","","","","","0"
"0 Completely dissatisfied","1990","direct migration background","Rural Area","","","","","0"
"0 Completely dissatisfied","1990","indirect migration background","Urban Area","","","","","0"
"0 Completely dissatisfied","1990","indirect migration background","Rural Area","","","","","0"
"1 on Scale 1 to 10","1990","no migration background","Urban Area","8","","","","1"
"1 on Scale 1 to 10","1990","direct migration background","Urban Area","","","","","1"
"1 on Scale 1 to 10","1990","direct migration background","Rural Area","1","","","","1"
"1 on Scale 1 to 10","1990","no migration background","Rural Area","15","","","","1"
"1 on Scale 1 to 10","1990","indirect migration background","Urban Area","","","","","1"
"1 on Scale 1 to 10","1990","indirect migration background","Rural Area","","","","","1"
"10 Completely satisfied","1990","no migration background","Urban Area","100","0.0738711978712836","0.0605768856881386","0.0871655100544287","10"
"10 Completely satisfied","1990","no migration background","Rural Area","226","0.0857743517156975","0.0752487020736705","0.0963000013577245","10"
"10 Completely satisfied","1990","direct migration background","Urban Area","2","","","","10"
"10 Completely satisfied","1990","direct migration background","Rural Area","11","","","","10"
"10 Completely satisfied","1990","indirect migration background","Urban Area","","","","","10"
"10 Completely satisfied","1990","indirect migration background","Rural Area","","","","","10"
"2 on Scale 1 to 10","1990","no migration background","Urban Area","53","0.0387689999547306","0.0289571976242586","0.0485808022852027","2"
"2 on Scale 1 to 10","1990","no migration background","Rural Area","51","0.0187129850289043","0.0136195232884425","0.023806446769366","2"
"2 on Scale 1 to 10","1990","direct migration background","Urban Area","2","","","","2"
"2 on Scale 1 to 10","1990","direct migration background","Rural Area","3","","","","2"
"2 on Scale 1 to 10","1990","indirect migration background","Urban Area","","","","","2"
"2 on Scale 1 to 10","1990","indirect migration background","Rural Area","","","","","2"
"3 on Scale 1 to 10","1990","no migration background","Urban Area","83","0.0606995768093692","0.0485632378530368","0.0728359157657015","3"
"3 on Scale 1 to 10","1990","no migration background","Rural Area","108","0.0385282920647939","0.0312939070107896","0.0457626771187982","3"
"3 on Scale 1 to 10","1990","direct migration background","Urban Area","3","","","","3"
"3 on Scale 1 to 10","1990","direct migration background","Rural Area","6","","","","3"
"3 on Scale 1 to 10","1990","indirect migration background","Urban Area","","","","","3"
"3 on Scale 1 to 10","1990","indirect migration background","Rural Area","","","","","3"
"4 on Scale 1 to 10","1990","no migration background","Urban Area","89","0.0535923441428021","0.0421455702065328","0.0650391180790713","4"
"4 on Scale 1 to 10","1990","no migration background","Rural Area","126","0.0449229093307601","0.0371372277412279","0.0527085909202924","4"
"4 on Scale 1 to 10","1990","direct migration background","Urban Area","4","","","","4"
"4 on Scale 1 to 10","1990","direct migration background","Rural Area","4","","","","4"
"4 on Scale 1 to 10","1990","indirect migration background","Rural Area","","","","","4"
"4 on Scale 1 to 10","1990","indirect migration background","Urban Area","","","","","4"
"5 on Scale 1 to 10","1990","no migration background","Urban Area","339","0.22582247426789","0.204570637703124","0.247074310832656","5"
"5 on Scale 1 to 10","1990","no migration background","Rural Area","601","0.225347021362133","0.2096425617944","0.241051480929865","5"
"5 on Scale 1 to 10","1990","direct migration background","Urban Area","16","","","","5"
"5 on Scale 1 to 10","1990","direct migration background","Rural Area","22","","","","5"
"5 on Scale 1 to 10","1990","indirect migration background","Urban Area","","","","","5"
"5 on Scale 1 to 10","1990","indirect migration background","Rural Area","","","","","5"
"6 on Scale 1 to 10","1990","no migration background","Urban Area","190","0.13045454911711","0.11333594437342","0.147573153860801","6"
"6 on Scale 1 to 10","1990","no migration background","Rural Area","392","0.145572143135802","0.132315904158987","0.158828382112617","6"
"6 on Scale 1 to 10","1990","direct migration background","Urban Area","6","","","","6"
"6 on Scale 1 to 10","1990","direct migration background","Rural Area","11","","","","6"
"6 on Scale 1 to 10","1990","indirect migration background","Urban Area","","","","","6"
"6 on Scale 1 to 10","1990","indirect migration background","Rural Area","","","","","6"
"7 on Scale 1 to 10","1990","no migration background","Urban Area","224","0.147246573385098","0.129236024774354","0.165257121995843","7"
"7 on Scale 1 to 10","1990","no migration background","Rural Area","442","0.158617190299566","0.144885770935962","0.172348609663171","7"
"7 on Scale 1 to 10","1990","direct migration background","Urban Area","6","","","","7"
"7 on Scale 1 to 10","1990","direct migration background","Rural Area","8","","","","7"
"7 on Scale 1 to 10","1990","indirect migration background","Urban Area","","","","","7"
"7 on Scale 1 to 10","1990","indirect migration background","Rural Area","1","","","","7"
"8 on Scale 1 to 10","1990","no migration background","Rural Area","548","0.200213957458438","0.185172927626093","0.215254987290782","8"
"8 on Scale 1 to 10","1990","direct migration background","Rural Area","22","","","","8"
"8 on Scale 1 to 10","1990","no migration background","Urban Area","299","0.196474553558771","0.176279473486896","0.216669633630647","8"
"8 on Scale 1 to 10","1990","direct migration background","Urban Area","7","","","","8"
"8 on Scale 1 to 10","1990","indirect migration background","Urban Area","","","","","8"
"8 on Scale 1 to 10","1990","indirect migration background","Rural Area","","","","","8"
"9 on Scale 1 to 10","1990","no migration background","Urban Area","78","0.0477485172785158","0.0369105363964881","0.0585864981605436","9"
"9 on Scale 1 to 10","1990","no migration background","Rural Area","165","0.0587865784096115","0.0499450644958904","0.0676280923233326","9"
"9 on Scale 1 to 10","1990","direct migration background","Urban Area","2","","","","9"
"9 on Scale 1 to 10","1990","direct migration background","Rural Area","4","","","","9"
"9 on Scale 1 to 10","1990","indirect migration background","Urban Area","","","","","9"
"9 on Scale 1 to 10","1990","indirect migration background","Rural Area","","","","","9"
"0 Completely dissatisfied","1991","no migration background","Urban Area","43","0.00633932236924281","0.00438937236682959","0.00828927237165604","0"
"0 Completely dissatisfied","1991","no migration background","Rural Area","70","0.0127000829506763","0.0093095426677872","0.0160906232335655","0"
"0 Completely dissatisfied","1991","direct migration background","Urban Area","19","","","","0"
"0 Completely dissatisfied","1991","direct migration background","Rural Area","2","","","","0"
"0 Completely dissatisfied","1991","indirect migration background","Urban Area","","","","","0"
"0 Completely dissatisfied","1991","indirect migration background","Rural Area","","","","","0"
"1 on Scale 1 to 10","1991","direct migration background","Urban Area","17","","","","1"
"1 on Scale 1 to 10","1991","no migration background","Urban Area","26","","","","1"
"1 on Scale 1 to 10","1991","no migration background","Rural Area","37","0.00912014003509335","0.00624173216425222","0.0119985479059345","1"
"1 on Scale 1 to 10","1991","direct migration background","Rural Area","2","","","","1"
"1 on Scale 1 to 10","1991","indirect migration background","Urban Area","","","","","1"
"1 on Scale 1 to 10","1991","indirect migration background","Rural Area","1","","","","1"
"10 Completely satisfied","1991","no migration background","Urban Area","587","0.0987840189709738","0.091453397520999","0.106114640420949","10"
"10 Completely satisfied","1991","no migration background","Rural Area","252","0.0724664946868725","0.0646164069621655","0.0803165824115795","10"
"10 Completely satisfied","1991","direct migration background","Rural Area","32","0.0692345637542902","0.0443574667782843","0.094111660730296","10"
"10 Completely satisfied","1991","direct migration background","Urban Area","164","0.0957556266719551","0.0835426727532454","0.107968580590665","10"
"10 Completely satisfied","1991","indirect migration background","Urban Area","25","","","","10"
"10 Completely satisfied","1991","indirect migration background","Rural Area","8","","","","10"
"2 on Scale 1 to 10","1991","no migration background","Urban Area","73","0.010180467185656","0.00771417305355967","0.0126467613177523","2"
"2 on Scale 1 to 10","1991","direct migration background","Urban Area","32","0.0155818105460319","0.0104414399086969","0.0207221811833669","2"
