"year","education","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","college entrance qualification","Ostdeutschland, neue Bundeslaender","5.79","6","1126","5","5","6","7","5.73","5.85","6","6"
"2005","college entrance qualification","Westdeutschland, alte Bundeslaender","5.79","6","4067","4","5","7","7","5.76","5.82","6","6"
"2005","lower secondary degree","Ostdeutschland, neue Bundeslaender","5.61","6","1382","4","5","7","7","5.54","5.68","6","6"
"2005","lower secondary degree","Westdeutschland, alte Bundeslaender","5.73","6","5666","4","5","7","7","5.7","5.76","6","6"
"2005","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","5.19","5","167","3","4","6","7","5","5.38","5","6"
"2005","no degree/no degree yet","Westdeutschland, alte Bundeslaender","5.41","6","727","4","5","6","7","5.32","5.5","5","6"
"2005","Other degree","Ostdeutschland, neue Bundeslaender","5.75","6","49","4","5","7","7","5.37","6.13","5","6"
"2005","Other degree","Westdeutschland, alte Bundeslaender","5.67","6","1052","4","5","7","7","5.59","5.75","6","6"
"2005","secondary school degree","Ostdeutschland, neue Bundeslaender","5.86","6","2217","4","5","7","7","5.82","5.9","6","6"
"2005","secondary school degree","Westdeutschland, alte Bundeslaender","5.9","6","3787","5","5","7","7","5.87","5.93","6","6"
"2006","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2006","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2006","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2007","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2007","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2008","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2008","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2009","college entrance qualification","Ostdeutschland, neue Bundeslaender","5.71","6","1082","4","5","6","7","5.65","5.77","6","6"
"2009","college entrance qualification","Westdeutschland, alte Bundeslaender","5.72","6","3806","4","5","6","7","5.69","5.75","6","6"
"2009","lower secondary degree","Ostdeutschland, neue Bundeslaender","5.52","6","1196","4","5","6","7","5.45","5.59","6","6"
"2009","lower secondary degree","Westdeutschland, alte Bundeslaender","5.71","6","4688","4","5","7","7","5.68","5.74","6","6"
"2009","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","4.88","5","74","3","4","6","7","4.57","5.19","5","6"
"2009","no degree/no degree yet","Westdeutschland, alte Bundeslaender","5.43","6","407","4","5","7","7","5.31","5.55","6","6"
"2009","Other degree","Ostdeutschland, neue Bundeslaender","5.88","6","46","4","5","7","7","5.5","6.26","6","6"
"2009","Other degree","Westdeutschland, alte Bundeslaender","5.55","6","753","4","5","7","7","5.45","5.65","6","6"
"2009","secondary school degree","Ostdeutschland, neue Bundeslaender","5.77","6","2004","4","5","6","7","5.72","5.82","6","6"
"2009","secondary school degree","Westdeutschland, alte Bundeslaender","5.84","6","3393","4","5","7","7","5.8","5.88","6","6"
"2010","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2010","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2010","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2010","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2010","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2010","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2010","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2010","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2010","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2010","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2011","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2011","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2012","college entrance qualification","Ostdeutschland, neue Bundeslaender","5.84","6","364","5","5","6","7","5.74","5.94","6","6"
