"year","education","migback","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","college entrance qualification","direct migration background","5.97","6","266","5.84","6.1","5","5","7","7"
"2005","college entrance qualification","indirect migration background","5.63","6","197","5.48","5.78","4","5","6","7"
"2005","college entrance qualification","no migration background","5.78","6","4730","5.75","5.81","4","5","6","7"
"2005","lower secondary degree","direct migration background","5.67","6","593","5.57","5.77","4","5","7","7"
"2005","lower secondary degree","indirect migration background","5.7","6","252","5.55","5.85","4","5","7","7"
"2005","lower secondary degree","no migration background","5.72","6","6203","5.69","5.75","4","5","7","7"
"2005","no degree/no degree yet","direct migration background","5.48","6","212","5.3","5.66","4","5","6","7"
"2005","no degree/no degree yet","indirect migration background","5.36","6","98","5.11","5.61","4","5","6","7"
"2005","no degree/no degree yet","no migration background","5.33","5","584","5.23","5.43","4","5","6","7"
"2005","Other degree","direct migration background","5.68","6","975","5.6","5.76","4","5","7","7"
"2005","Other degree","indirect migration background","","","","","","","","",""
"2005","Other degree","no migration background","5.67","6","108","5.44","5.9","4","5","7","7"
"2005","secondary school degree","direct migration background","5.99","6","239","5.86","6.12","5","6","7","7"
"2005","secondary school degree","indirect migration background","5.85","6","203","5.71","5.99","4","5","7","7"
"2005","secondary school degree","no migration background","5.89","6","5562","5.86","5.92","5","5","7","7"
"2006","college entrance qualification","direct migration background","","","","","","","","",""
"2006","college entrance qualification","indirect migration background","","","","","","","","",""
"2006","college entrance qualification","no migration background","","","","","","","","",""
"2006","lower secondary degree","direct migration background","","","","","","","","",""
"2006","lower secondary degree","indirect migration background","","","","","","","","",""
"2006","lower secondary degree","no migration background","","","","","","","","",""
"2006","no degree/no degree yet","direct migration background","","","","","","","","",""
"2006","no degree/no degree yet","indirect migration background","","","","","","","","",""
"2006","no degree/no degree yet","no migration background","","","","","","","","",""
"2006","Other degree","direct migration background","","","","","","","","",""
"2006","Other degree","indirect migration background","","","","","","","","",""
"2006","Other degree","no migration background","","","","","","","","",""
"2006","secondary school degree","direct migration background","","","","","","","","",""
"2006","secondary school degree","indirect migration background","","","","","","","","",""
"2006","secondary school degree","no migration background","","","","","","","","",""
"2007","college entrance qualification","direct migration background","","","","","","","","",""
"2007","college entrance qualification","indirect migration background","","","","","","","","",""
"2007","college entrance qualification","no migration background","","","","","","","","",""
"2007","lower secondary degree","direct migration background","","","","","","","","",""
"2007","lower secondary degree","indirect migration background","","","","","","","","",""
"2007","lower secondary degree","no migration background","","","","","","","","",""
"2007","no degree/no degree yet","direct migration background","","","","","","","","",""
"2007","no degree/no degree yet","indirect migration background","","","","","","","","",""
"2007","no degree/no degree yet","no migration background","","","","","","","","",""
"2007","Other degree","direct migration background","","","","","","","","",""
"2007","Other degree","indirect migration background","","","","","","","","",""
