"year","age_gr","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","16-34 y.","general elemantary","5.66","6","832","4","5","6","7","5.58","5.74","6","6"
"2005","16-34 y.","higher education","5.8","6","522","5","5","6","7","5.71","5.89","6","6"
"2005","16-34 y.","higher vocational","5.98","6","206","5","5","7","7","5.86","6.1","6","6"
"2005","16-34 y.","in school","5.3","5","647","4","5","6","7","5.21","5.39","5","6"
"2005","16-34 y.","inadequately","5.35","6","59","4","5","6","7","5.01","5.69","5","6"
"2005","16-34 y.","middle vocational","5.76","6","2331","4","5","6","7","5.72","5.8","6","6"
"2005","16-34 y.","vocational + Abi","5.91","6","439","5","5","6","7","5.82","6","6","6"
"2005","35-65 y.","general elemantary","5.56","6","817","4","5","7","7","5.47","5.65","6","6"
"2005","35-65 y.","higher education","5.86","6","2985","5","5","7","7","5.82","5.9","6","6"
"2005","35-65 y.","higher vocational","5.92","6","1095","4","5","7","7","5.86","5.98","6","6"
"2005","35-65 y.","in school","","","","","","","","","","",""
"2005","35-65 y.","inadequately","5.56","6","123","3","5","7","7","5.31","5.81","5","6"
"2005","35-65 y.","middle vocational","5.89","6","5949","4","5","7","7","5.86","5.92","6","6"
"2005","35-65 y.","vocational + Abi","5.77","6","592","4","5","7","7","5.69","5.85","6","6"
"2005","66 and older","general elemantary","5.32","6","730","4","4","6","7","5.22","5.42","5","6"
"2005","66 and older","higher education","5.89","6","658","4","5","7","7","5.8","5.98","6","6"
"2005","66 and older","higher vocational","5.67","6","255","4","5","7","7","5.51","5.83","6","6"
"2005","66 and older","in school","","","","","","","","","","",""
"2005","66 and older","inadequately","5.5","5","49","4","5","7","7","5.02","5.98","5","6"
"2005","66 and older","middle vocational","5.65","6","1936","4","5","7","7","5.59","5.71","6","6"
"2005","66 and older","vocational + Abi","5.71","6","100","4","5","7","7","5.49","5.93","6","6"
"2006","16-34 y.","general elemantary","","","","","","","","","","",""
