"year","pgcasmin","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","(0) in school","Female","5.46","6","341","5.33","5.59","4","5","6","7"
"2005","(0) in school","Male","5.13","5","310","5","5.26","4","5","6","7"
"2005","(1a) inadequately completed","Female","5.43","6","139","5.18","5.68","3","5","7","7"
"2005","(1a) inadequately completed","Male","5.57","6","102","5.31","5.83","4","5","7","7"
"2005","(1b) general elementary school","Female","5.41","6","1267","5.34","5.48","4","5","7","7"
"2005","(1b) general elementary school","Male","5.46","6","571","5.35","5.57","4","5","6","7"
"2005","(1c) basic vocational qualification","Female","5.79","6","2620","5.74","5.84","4","5","7","7"
"2005","(1c) basic vocational qualification","Male","5.8","6","3065","5.76","5.84","4","5","7","7"
"2005","(2a) intermediate vocational","Female","5.89","6","2731","5.85","5.93","4","5","7","7"
"2005","(2a) intermediate vocational","Male","5.9","6","2057","5.86","5.94","5","5","7","7"
"2005","(2b) intermediate general qualification","Female","5.78","6","352","5.66","5.9","4","5","7","7"
"2005","(2b) intermediate general qualification","Male","5.86","6","225","5.73","5.99","5","5","7","7"
"2005","(2c_gen) general maturity certificate","Female","5.59","6","432","5.49","5.69","4","5","6","7"
"2005","(2c_gen) general maturity certificate","Male","5.46","6","364","5.35","5.57","4","5","6","7"
"2005","(2c_voc) vocational maturity certificate","Female","5.87","6","844","5.8","5.94","4","5","7","7"
"2005","(2c_voc) vocational maturity certificate","Male","5.76","6","669","5.68","5.84","4","5","6","7"
"2005","(3a) lower tertiary education","Female","5.93","6","765","5.86","6","5","5","7","7"
"2005","(3a) lower tertiary education","Male","5.85","6","880","5.78","5.92","5","5","7","7"
"2005","(3b) higher tertiary education","Female","5.76","6","1092","5.7","5.82","4","5","7","7"
"2005","(3b) higher tertiary education","Male","5.9","6","1428","5.85","5.95","5","5","7","7"
"2006","(0) in school","Female","","","","","","","","",""
"2006","(0) in school","Male","","","","","","","","",""
"2006","(1a) inadequately completed","Female","","","","","","","","",""
"2006","(1a) inadequately completed","Male","","","","","","","","",""
"2006","(1b) general elementary school","Female","","","","","","","","",""
"2006","(1b) general elementary school","Male","","","","","","","","",""
"2006","(1c) basic vocational qualification","Female","","","","","","","","",""
"2006","(1c) basic vocational qualification","Male","","","","","","","","",""
"2006","(2a) intermediate vocational","Female","","","","","","","","",""
"2006","(2a) intermediate vocational","Male","","","","","","","","",""
"2006","(2b) intermediate general qualification","Female","","","","","","","","",""
"2006","(2b) intermediate general qualification","Male","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","Female","","","","","","","","",""
"2006","(2c_gen) general maturity certificate","Male","","","","","","","","",""
"2006","(2c_voc) vocational maturity certificate","Female","","","","","","","","",""
"2006","(2c_voc) vocational maturity certificate","Male","","","","","","","","",""
"2006","(3a) lower tertiary education","Female","","","","","","","","",""
"2006","(3a) lower tertiary education","Male","","","","","","","","",""
"2006","(3b) higher tertiary education","Female","","","","","","","","",""
"2006","(3b) higher tertiary education","Male","","","","","","","","",""
"2007","(0) in school","Female","","","","","","","","",""
"2007","(0) in school","Male","","","","","","","","",""
"2007","(1a) inadequately completed","Female","","","","","","","","",""
"2007","(1a) inadequately completed","Male","","","","","","","","",""
"2007","(1b) general elementary school","Female","","","","","","","","",""
"2007","(1b) general elementary school","Male","","","","","","","","",""
"2007","(1c) basic vocational qualification","Female","","","","","","","","",""
"2007","(1c) basic vocational qualification","Male","","","","","","","","",""
"2007","(2a) intermediate vocational","Female","","","","","","","","",""
"2007","(2a) intermediate vocational","Male","","","","","","","","",""
"2007","(2b) intermediate general qualification","Female","","","","","","","","",""
"2007","(2b) intermediate general qualification","Male","","","","","","","","",""
"2007","(2c_gen) general maturity certificate","Female","","","","","","","","",""
"2007","(2c_gen) general maturity certificate","Male","","","","","","","","",""
"2007","(2c_voc) vocational maturity certificate","Female","","","","","","","","",""
"2007","(2c_voc) vocational maturity certificate","Male","","","","","","","","",""
"2007","(3a) lower tertiary education","Female","","","","","","","","",""
"2007","(3a) lower tertiary education","Male","","","","","","","","",""
"2007","(3b) higher tertiary education","Female","","","","","","","","",""
"2007","(3b) higher tertiary education","Male","","","","","","","","",""
"2008","(0) in school","Female","","","","","","","","",""
"2008","(0) in school","Male","","","","","","","","",""
"2008","(1a) inadequately completed","Female","","","","","","","","",""
"2008","(1a) inadequately completed","Male","","","","","","","","",""
"2008","(1b) general elementary school","Female","","","","","","","","",""
"2008","(1b) general elementary school","Male","","","","","","","","",""
