"plb0219","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"No, never","2005","(0) in school","West Germany","27","","",""
"No, never","2005","(0) in school","East Germany","1","","",""
"No, never","2005","(1a) inadequately completed","West Germany","46","0.756188638006934","0.65180475294832","0.860572523065548"
"No, never","2005","(1a) inadequately completed","East Germany","4","","",""
"No, never","2005","(1b) general elementary school","West Germany","391","0.706814178559454","0.668095106648495","0.745533250470414"
"No, never","2005","(1b) general elementary school","East Germany","28","","",""
"No, never","2005","(1c) basic vocational qualification","West Germany","1476","0.64912813963984","0.629262400320113","0.668993878959567"
"No, never","2005","(1c) basic vocational qualification","East Germany","99","0.610065798434305","0.53861524792147","0.68151634894714"
"No, never","2005","(2b) intermediate general qualification","West Germany","182","0.730936197561954","0.675177537748625","0.786694857375283"
"No, never","2005","(2b) intermediate general qualification","East Germany","53","0.707051051268622","0.60605087127027","0.808051231266975"
"No, never","2005","(2a) intermediate vocational","West Germany","1318","0.626730598056638","0.605705838091156","0.647755358022119"
"No, never","2005","(2a) intermediate vocational","East Germany","631","0.539350227274221","0.509745912397611","0.568954542150831"
"No, never","2005","(2c_gen) general maturity certificate","West Germany","193","0.643276955787256","0.58870533969898","0.697848571875532"
"No, never","2005","(2c_gen) general maturity certificate","East Germany","45","0.559851902497894","0.443563858743264","0.676139946252524"
"No, never","2005","(2c_voc) vocational maturity certificate","West Germany","567","0.658145687622689","0.626717045630479","0.689574329614899"
"No, never","2005","(2c_voc) vocational maturity certificate","East Germany","86","0.662383786791886","0.581710896012204","0.743056677571568"
"No, never","2005","(3a) lower tertiary education","West Germany","404","0.545931248404229","0.5090216527453","0.582840844063157"
"No, never","2005","(3a) lower tertiary education","East Germany","226","0.635381147853891","0.585934811200246","0.684827484507535"
"No, never","2005","(3b) higher tertiary education","West Germany","694","0.475111284604876","0.448638774390077","0.501583794819675"
"No, never","2005","(3b) higher tertiary education","East Germany","205","0.456578931487965","0.407946975461207","0.505210887514723"
"Yes, every week","2005","(0) in school","West Germany","7","","",""
"Yes, every week","2005","(0) in school","East Germany","1","","",""
"Yes, every week","2005","(1a) inadequately completed","West Germany","5","","",""
"Yes, every week","2005","(1a) inadequately completed","East Germany","","","",""
"Yes, every week","2005","(1b) general elementary school","West Germany","27","","",""
"Yes, every week","2005","(1b) general elementary school","East Germany","2","","",""
"Yes, every week","2005","(1c) basic vocational qualification","West Germany","119","0.0627259030106384","0.0526328625798299","0.0728189434414468"
"Yes, every week","2005","(1c) basic vocational qualification","East Germany","17","","",""
"Yes, every week","2005","(2b) intermediate general qualification","West Germany","17","","",""
"Yes, every week","2005","(2b) intermediate general qualification","East Germany","2","","",""
"Yes, every week","2005","(2a) intermediate vocational","West Germany","74","0.0427154081854089","0.0339253405566698","0.0515054758141481"
"Yes, every week","2005","(2a) intermediate vocational","East Germany","54","0.0537325464845557","0.0403401032524272","0.0671249897166842"
"Yes, every week","2005","(2c_gen) general maturity certificate","West Germany","28","","",""
"Yes, every week","2005","(2c_gen) general maturity certificate","East Germany","1","","",""
"Yes, every week","2005","(2c_voc) vocational maturity certificate","West Germany","29","","",""
"Yes, every week","2005","(2c_voc) vocational maturity certificate","East Germany","4","","",""
"Yes, every week","2005","(3a) lower tertiary education","West Germany","38","0.0472248961498304","0.0314999122613046","0.0629498800383563"
"Yes, every week","2005","(3a) lower tertiary education","East Germany","23","","",""
"Yes, every week","2005","(3b) higher tertiary education","West Germany","162","0.120184743864462","0.102946848146742","0.137422639582183"
"Yes, every week","2005","(3b) higher tertiary education","East Germany","30","0.0612126660384999","0.0378081413201963","0.0846171907568036"
"Yes, every 2 weeks","2005","(0) in school","West Germany","2","","",""
"Yes, every 2 weeks","2005","(0) in school","East Germany","2","","",""
"Yes, every 2 weeks","2005","(1a) inadequately completed","West Germany","5","","",""
"Yes, every 2 weeks","2005","(1a) inadequately completed","East Germany","","","",""
"Yes, every 2 weeks","2005","(1b) general elementary school","West Germany","40","0.0821781713689958","0.0588189556034166","0.105537387134575"
"Yes, every 2 weeks","2005","(1b) general elementary school","East Germany","3","","",""
"Yes, every 2 weeks","2005","(1c) basic vocational qualification","West Germany","177","0.0840888834142088","0.072536776426441","0.0956409904019765"
"Yes, every 2 weeks","2005","(1c) basic vocational qualification","East Germany","26","","",""
"Yes, every 2 weeks","2005","(2b) intermediate general qualification","West Germany","20","","",""
"Yes, every 2 weeks","2005","(2b) intermediate general qualification","East Germany","10","","",""
"Yes, every 2 weeks","2005","(2a) intermediate vocational","West Germany","183","0.0956351217252401","0.0828513221510865","0.108418921299394"
"Yes, every 2 weeks","2005","(2a) intermediate vocational","East Germany","129","0.137812195276446","0.117339316523959","0.158285074028933"
"Yes, every 2 weeks","2005","(2c_gen) general maturity certificate","West Germany","23","","",""
"Yes, every 2 weeks","2005","(2c_gen) general maturity certificate","East Germany","7","","",""
"Yes, every 2 weeks","2005","(2c_voc) vocational maturity certificate","West Germany","61","0.0837595148080994","0.0654040291470988","0.1021150004691"
