"plb0219","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Not Employed","lower secondary degree","30","0.777273850248768","0.646690315353211","0.907857385144325"
"No, never","2005","Not Employed","secondary school degree","39","0.740628041579762","0.620339408645312","0.860916674514212"
"No, never","2005","Not Employed","college entrance qualification","38","0.737419056992812","0.615449381291502","0.859388732694123"
"No, never","2005","Not Employed","Other degree","7","","",""
"No, never","2005","Not Employed","no degree/no degree yet","4","","",""
"No, never","2005","Employed","lower secondary degree","1756","0.64635143622005","0.628220031361226","0.664482841078874"
"No, never","2005","Employed","secondary school degree","2401","0.609855512235314","0.594354714429435","0.625356310041193"
"No, never","2005","Employed","college entrance qualification","1937","0.555300468403839","0.538684759717971","0.571916177089707"
"No, never","2005","Employed","Other degree","386","0.696686314333011","0.658021776877214","0.735350851788807"
"No, never","2005","Employed","no degree/no degree yet","74","0.694400121197617","0.609837750831557","0.778962491563676"
"Yes, every week","2005","Not Employed","lower secondary degree","2","","",""
"Yes, every week","2005","Not Employed","secondary school degree","3","","",""
"Yes, every week","2005","Not Employed","college entrance qualification","3","","",""
"Yes, every week","2005","Not Employed","Other degree","1","","",""
"Yes, every week","2005","Not Employed","no degree/no degree yet","1","","",""
"Yes, every week","2005","Employed","lower secondary degree","149","0.0669329263647616","0.0574555640091809","0.0764102887203422"
"Yes, every week","2005","Employed","secondary school degree","169","0.0475217867375882","0.0407609298550724","0.054282643620104"
"Yes, every week","2005","Employed","college entrance qualification","268","0.0746749637099333","0.065885625423996","0.0834643019958706"
"Yes, every week","2005","Employed","Other degree","31","0.0501693788157459","0.0318086201887484","0.0685301374427433"
"Yes, every week","2005","Employed","no degree/no degree yet","12","","",""
"Yes, every 2 weeks","2005","Not Employed","lower secondary degree","3","","",""
"Yes, every 2 weeks","2005","Not Employed","secondary school degree","4","","",""
"Yes, every 2 weeks","2005","Not Employed","college entrance qualification","2","","",""
"Yes, every 2 weeks","2005","Not Employed","Other degree","","","",""
"Yes, every 2 weeks","2005","Not Employed","no degree/no degree yet","","","",""
"Yes, every 2 weeks","2005","Employed","lower secondary degree","228","0.0865679858094921","0.0759037947367712","0.0972321768822129"
"Yes, every 2 weeks","2005","Employed","secondary school degree","366","0.10386348057382","0.0941685129965309","0.113558448151108"
"Yes, every 2 weeks","2005","Employed","college entrance qualification","244","0.0827570497054954","0.0735447893264324","0.0919693100845584"
"Yes, every 2 weeks","2005","Employed","Other degree","45","0.0937823487075336","0.0692620934256897","0.118302603989377"
