"plb0219","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Urban Area","West Germany","4218","0.629798042790834","0.618130264815609","0.64146582076606"
"No, never","2005","Urban Area","East Germany","509","0.556148379118411","0.523322149885001","0.588974608351822"
"No, never","2005","Rural Area","West Germany","1193","0.605597537939713","0.583872436155289","0.627322639724136"
"No, never","2005","Rural Area","East Germany","897","0.573707068100699","0.548886464690088","0.59852767151131"
"Yes, every week","2005","Urban Area","West Germany","373","0.0563281732922611","0.0507570665934509","0.0618992799910713"
"Yes, every week","2005","Urban Area","East Germany","43","0.0373772541935902","0.0248447311538202","0.0499097772333601"
"Yes, every week","2005","Rural Area","West Germany","138","0.0812719763950179","0.0691251212293861","0.0934188315606496"
"Yes, every week","2005","Rural Area","East Germany","93","0.0666786995205089","0.0541581809015587","0.079199218139459"
"Yes, every 2 weeks","2005","Urban Area","West Germany","517","0.0888617939987843","0.0819860798155451","0.0957375081820235"
"Yes, every 2 weeks","2005","Urban Area","East Germany","93","0.131281721080181","0.108969214290979","0.153594227869383"
"Yes, every 2 weeks","2005","Rural Area","West Germany","139","0.0764442763448197","0.0646328050264875","0.0882557476631518"
"Yes, every 2 weeks","2005","Rural Area","East Germany","170","0.121318009821538","0.104931303505665","0.137704716137412"
"Yes, every 3-4 weeks","2005","Urban Area","West Germany","324","0.0537280140600822","0.0482795193516624","0.0591765087685019"
"Yes, every 3-4 weeks","2005","Urban Area","East Germany","48","0.0578718487204658","0.0424443533952245","0.0732993440457071"
"Yes, every 3-4 weeks","2005","Rural Area","West Germany","113","0.0611559893996979","0.0505043567774752","0.0718076220219206"
"Yes, every 3-4 weeks","2005","Rural Area","East Germany","85","0.066090150701046","0.0536210819916531","0.0785592194104389"
"Rarely","2005","Urban Area","West Germany","1147","0.171283975858038","0.162180035923264","0.180387915792812"
"Rarely","2005","Urban Area","East Germany","187","0.217320796887352","0.190071876724794","0.244569717049909"
"Rarely","2005","Rural Area","West Germany","361","0.175530219920752","0.158619453921774","0.192440985919729"
"Rarely","2005","Rural Area","East Germany","280","0.172206071856208","0.153256538590885","0.191155605121531"
"No, never","2006","Urban Area","West Germany","","","",""
"No, never","2006","Urban Area","East Germany","","","",""
"No, never","2006","Rural Area","West Germany","","","",""
"No, never","2006","Rural Area","East Germany","","","",""
"Yes, every week","2006","Urban Area","West Germany","","","",""
"Yes, every week","2006","Urban Area","East Germany","","","",""
"Yes, every week","2006","Rural Area","West Germany","","","",""
"Yes, every week","2006","Rural Area","East Germany","","","",""
"Yes, every 2 weeks","2006","Urban Area","West Germany","","","",""
"Yes, every 2 weeks","2006","Urban Area","East Germany","","","",""
"Yes, every 2 weeks","2006","Rural Area","West Germany","","","",""
"Yes, every 2 weeks","2006","Rural Area","East Germany","","","",""
"Yes, every 3-4 weeks","2006","Urban Area","West Germany","","","",""
"Yes, every 3-4 weeks","2006","Urban Area","East Germany","","","",""
"Yes, every 3-4 weeks","2006","Rural Area","West Germany","","","",""
"Yes, every 3-4 weeks","2006","Rural Area","East Germany","","","",""
"Rarely","2006","Urban Area","West Germany","","","",""
"Rarely","2006","Urban Area","East Germany","","","",""
"Rarely","2006","Rural Area","West Germany","","","",""
"Rarely","2006","Rural Area","East Germany","","","",""
"No, never","2007","Urban Area","West Germany","4114","0.623160107269357","0.611427183081523","0.634893031457191"
"No, never","2007","Urban Area","East Germany","503","0.557226180819974","0.524463874798796","0.589988486841152"
"No, never","2007","Rural Area","West Germany","1224","0.590679968218739","0.569358282934816","0.612001653502663"
"No, never","2007","Rural Area","East Germany","942","0.552194540599774","0.528016998141607","0.576372083057941"
"Yes, every week","2007","Urban Area","West Germany","417","0.059868306936059","0.0541242221449875","0.0656123917271305"
"Yes, every week","2007","Urban Area","East Germany","51","0.0540106923932052","0.0391016165011841","0.0689197682852263"
"Yes, every week","2007","Rural Area","West Germany","155","0.0702575252387857","0.0591749250090791","0.0813401254684923"
"Yes, every week","2007","Rural Area","East Germany","104","0.0660036836210784","0.0539317155804866","0.0780756516616703"
"Yes, every 2 weeks","2007","Urban Area","West Germany","497","0.084883544691366","0.0781355001117332","0.0916315892709988"
"Yes, every 2 weeks","2007","Urban Area","East Germany","100","0.113103780240491","0.0922135752621746","0.133993985218807"
"Yes, every 2 weeks","2007","Rural Area","West Germany","168","0.0851398987826161","0.073037880177192","0.0972419173880403"
"Yes, every 2 weeks","2007","Rural Area","East Germany","182","0.135212866553263","0.118586971756128","0.151838761350397"
"Yes, every 3-4 weeks","2007","Urban Area","West Germany","339","0.052808386446346","0.047393387480071","0.0582233854126211"
"Yes, every 3-4 weeks","2007","Urban Area","East Germany","46","0.0586894046144596","0.0431864646694659","0.0741923445594533"
"Yes, every 3-4 weeks","2007","Rural Area","West Germany","116","0.0610516622206161","0.050669602976641","0.0714337214645912"
"Yes, every 3-4 weeks","2007","Rural Area","East Germany","93","0.062236798060988","0.0504907540873962","0.0739828420345799"
"Rarely","2007","Urban Area","West Germany","1186","0.179279654656872","0.169992319674204","0.18856698963954"
"Rarely","2007","Urban Area","East Germany","183","0.21696994193187","0.189783226436654","0.244156657427086"
"Rarely","2007","Rural Area","West Germany","380","0.192870945539243","0.175762174946083","0.209979716132402"
"Rarely","2007","Rural Area","East Germany","304","0.184352111164897","0.165498401094047","0.203205821235747"
"No, never","2008","Urban Area","West Germany","","","",""
"No, never","2008","Urban Area","East Germany","","","",""
"No, never","2008","Rural Area","West Germany","","","",""
"No, never","2008","Rural Area","East Germany","","","",""
"Yes, every week","2008","Urban Area","West Germany","","","",""
"Yes, every week","2008","Urban Area","East Germany","","","",""
"Yes, every week","2008","Rural Area","West Germany","","","",""
"Yes, every week","2008","Rural Area","East Germany","","","",""
"Yes, every 2 weeks","2008","Urban Area","West Germany","","","",""
"Yes, every 2 weeks","2008","Urban Area","East Germany","","","",""
"Yes, every 2 weeks","2008","Rural Area","West Germany","","","",""
"Yes, every 2 weeks","2008","Rural Area","East Germany","","","",""
"Yes, every 3-4 weeks","2008","Urban Area","West Germany","","","",""
"Yes, every 3-4 weeks","2008","Urban Area","East Germany","","","",""
"Yes, every 3-4 weeks","2008","Rural Area","West Germany","","","",""
"Yes, every 3-4 weeks","2008","Rural Area","East Germany","","","",""
"Rarely","2008","Urban Area","West Germany","","","",""
"Rarely","2008","Urban Area","East Germany","","","",""
"Rarely","2008","Rural Area","West Germany","","","",""
"Rarely","2008","Rural Area","East Germany","","","",""
"No, never","2009","Urban Area","West Germany","3485","0.602294859976259","0.589603704651285","0.614986015301233"
"No, never","2009","Urban Area","East Germany","441","0.526105592906207","0.491440195665679","0.560770990146735"
"No, never","2009","Rural Area","West Germany","1094","0.584554892402903","0.561976551788741","0.607133233017065"
"No, never","2009","Rural Area","East Germany","855","0.551776951393027","0.526559472701605","0.57699443008445"
"Yes, every week","2009","Urban Area","West Germany","391","0.0718973528224874","0.0651989627443223","0.0785957429006526"
"Yes, every week","2009","Urban Area","East Germany","58","0.0721354409693982","0.0541742318574986","0.0900966500812979"
"Yes, every week","2009","Rural Area","West Germany","128","0.0691705296039338","0.0575448551116127","0.0807962040962549"
"Yes, every week","2009","Rural Area","East Germany","114","0.0705650977869164","0.0575790422853901","0.0835511532884428"
"Yes, every 2 weeks","2009","Urban Area","West Germany","461","0.0776367922741378","0.0706977304619428","0.0845758540863328"
"Yes, every 2 weeks","2009","Urban Area","East Germany","77","0.10792029112948","0.0863789709963785","0.129461611262581"
"Yes, every 2 weeks","2009","Rural Area","West Germany","164","0.0905562212893068","0.0774079208131606","0.103704521765453"
"Yes, every 2 weeks","2009","Rural Area","East Germany","148","0.104694153042957","0.0891695781570954","0.120218727928819"
"Yes, every 3-4 weeks","2009","Urban Area","West Germany","303","0.0579969541969586","0.0519359480321767","0.0640579603617406"
"Yes, every 3-4 weeks","2009","Urban Area","East Germany","46","0.0635549173041219","0.0466179883394301","0.0804918462688138"
"Yes, every 3-4 weeks","2009","Rural Area","West Germany","100","0.0501859245308672","0.0401828659691574","0.060188983092577"
"Yes, every 3-4 weeks","2009","Rural Area","East Germany","102","0.0930450173504909","0.0783146960986151","0.107775338602367"
"Rarely","2009","Urban Area","West Germany","1073","0.190174040730157","0.179997798335121","0.200350283125193"
