"plb0219","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"No, never","2005","(0) in school","Male","14","","",""
"No, never","2005","(0) in school","Female","14","","",""
"No, never","2005","(1a) inadequately completed","Male","26","","",""
"No, never","2005","(1a) inadequately completed","Female","24","","",""
"No, never","2005","(1b) general elementary school","Male","187","0.663201515567828","0.606298802541476","0.72010422859418"
"No, never","2005","(1b) general elementary school","Female","232","0.757321155319768","0.709130003895632","0.805512306743904"
"No, never","2005","(1c) basic vocational qualification","Male","913","0.627578208779173","0.602822193126714","0.652334224431632"
"No, never","2005","(1c) basic vocational qualification","Female","662","0.678171853862585","0.648162603765365","0.708181103959805"
"No, never","2005","(2b) intermediate general qualification","Male","107","0.761163043194892","0.691034707831979","0.831291378557806"
"No, never","2005","(2b) intermediate general qualification","Female","128","0.697203960931621","0.629894425467225","0.764513496396017"
"No, never","2005","(2a) intermediate vocational","Male","800","0.52385048058282","0.498517077361868","0.549183883803773"
"No, never","2005","(2a) intermediate vocational","Female","1149","0.683511118771021","0.660925106004529","0.706097131537514"
"No, never","2005","(2c_gen) general maturity certificate","Male","117","0.634289788068155","0.565806643464956","0.702772932671354"
"No, never","2005","(2c_gen) general maturity certificate","Female","121","0.629938889403844","0.558607991440235","0.701269787367454"
"No, never","2005","(2c_voc) vocational maturity certificate","Male","266","0.585390016404511","0.540992359155636","0.629787673653387"
"No, never","2005","(2c_voc) vocational maturity certificate","Female","387","0.731266930005704","0.693667956689088","0.76886590332232"
"No, never","2005","(3a) lower tertiary education","Male","304","0.494456043041","0.453303197725565","0.535608888356436"
"No, never","2005","(3a) lower tertiary education","Female","326","0.674813690300151","0.633588248176999","0.716039132423303"
"No, never","2005","(3b) higher tertiary education","Male","474","0.396493322646078","0.366777914144111","0.426208731148046"
"No, never","2005","(3b) higher tertiary education","Female","425","0.5843533725347","0.548577994236419","0.62012875083298"
"Yes, every week","2005","(0) in school","Male","4","","",""
"Yes, every week","2005","(0) in school","Female","4","","",""
"Yes, every week","2005","(1a) inadequately completed","Male","4","","",""
"Yes, every week","2005","(1a) inadequately completed","Female","1","","",""
"Yes, every week","2005","(1b) general elementary school","Male","21","","",""
"Yes, every week","2005","(1b) general elementary school","Female","8","","",""
"Yes, every week","2005","(1c) basic vocational qualification","Male","90","0.0641843546479032","0.0516344906641954","0.0767342186316111"
"Yes, every week","2005","(1c) basic vocational qualification","Female","46","0.062482972909392","0.0469360775671597","0.0780298682516243"
"Yes, every week","2005","(2b) intermediate general qualification","Male","8","","",""
"Yes, every week","2005","(2b) intermediate general qualification","Female","11","","",""
"Yes, every week","2005","(2a) intermediate vocational","Male","76","0.0498042087413483","0.0387695791167373","0.0608388383659594"
"Yes, every week","2005","(2a) intermediate vocational","Female","52","0.0417505305331947","0.0320374309382727","0.0514636301281167"
"Yes, every week","2005","(2c_gen) general maturity certificate","Male","18","","",""
"Yes, every week","2005","(2c_gen) general maturity certificate","Female","11","","",""
"Yes, every week","2005","(2c_voc) vocational maturity certificate","Male","17","","",""
"Yes, every week","2005","(2c_voc) vocational maturity certificate","Female","16","","",""
"Yes, every week","2005","(3a) lower tertiary education","Male","32","0.0459891816341431","0.0287482372025219","0.0632301260657644"
"Yes, every week","2005","(3a) lower tertiary education","Female","29","","",""
"Yes, every week","2005","(3b) higher tertiary education","Male","119","0.118134235398083","0.0985272035120418","0.137741267284125"
"Yes, every week","2005","(3b) higher tertiary education","Female","73","0.0993810853457109","0.0776637405538723","0.12109843013755"
"Yes, every 2 weeks","2005","(0) in school","Male","1","","",""
"Yes, every 2 weeks","2005","(0) in school","Female","3","","",""
"Yes, every 2 weeks","2005","(1a) inadequately completed","Male","2","","",""
"Yes, every 2 weeks","2005","(1a) inadequately completed","Female","3","","",""
"Yes, every 2 weeks","2005","(1b) general elementary school","Male","14","","",""
"Yes, every 2 weeks","2005","(1b) general elementary school","Female","29","","",""
"Yes, every 2 weeks","2005","(1c) basic vocational qualification","Male","103","0.0664228271364114","0.0536712744704985","0.0791743798023243"
"Yes, every 2 weeks","2005","(1c) basic vocational qualification","Female","100","0.117399233354637","0.0967222093879762","0.138076257321297"
"Yes, every 2 weeks","2005","(2b) intermediate general qualification","Male","9","","",""
"Yes, every 2 weeks","2005","(2b) intermediate general qualification","Female","21","","",""
"Yes, every 2 weeks","2005","(2a) intermediate vocational","Male","135","0.0978275399064941","0.0827582240416276","0.112896855771361"
"Yes, every 2 weeks","2005","(2a) intermediate vocational","Female","177","0.118208250744812","0.102530113581258","0.133886387908367"
"Yes, every 2 weeks","2005","(2c_gen) general maturity certificate","Male","8","","",""
