"plb0219","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"No, never","2005","no migration background","West Germany","4310","0.610691823763192","0.599228422256036","0.622155225270349"
"No, never","2005","no migration background","East Germany","1381","0.566374300840742","0.546409810028377","0.586338791653108"
"No, never","2005","direct migration background","West Germany","802","0.691299849323783","0.664436474168802","0.718163224478763"
"No, never","2005","direct migration background","East Germany","13","","",""
"No, never","2005","indirect migration background","West Germany","299","0.645709228503406","0.600865079258659","0.690553377748152"
"No, never","2005","indirect migration background","East Germany","12","","",""
"Yes, every week","2005","no migration background","West Germany","428","0.0647378207734805","0.0589528467534959","0.070522794793465"
"Yes, every week","2005","no migration background","East Germany","134","0.0559148328593316","0.0466589454154508","0.0651707203032124"
"Yes, every week","2005","direct migration background","West Germany","56","0.0485766087907262","0.0360751862597172","0.0610780313217351"
"Yes, every week","2005","direct migration background","East Germany","1","","",""
"Yes, every week","2005","indirect migration background","West Germany","27","","",""
"Yes, every week","2005","indirect migration background","East Germany","1","","",""
"Yes, every 2 weeks","2005","no migration background","West Germany","532","0.085852006520975","0.0792657420037914","0.0924382710381586"
"Yes, every 2 weeks","2005","no migration background","East Germany","260","0.125527100593607","0.112179878460389","0.138874322726825"
"Yes, every 2 weeks","2005","direct migration background","West Germany","87","0.0843420953442117","0.0681818577046494","0.100502332983774"
"Yes, every 2 weeks","2005","direct migration background","East Germany","1","","",""
"Yes, every 2 weeks","2005","indirect migration background","West Germany","37","0.0918980276365329","0.0648130939121888","0.118982961360877"
"Yes, every 2 weeks","2005","indirect migration background","East Germany","2","","",""
"Yes, every 3-4 weeks","2005","no migration background","West Germany","354","0.0538519496255989","0.0485451101191093","0.0591587891320884"
"Yes, every 3-4 weeks","2005","no migration background","East Germany","133","0.0642705123019328","0.0543911252434427","0.0741498993604228"
"Yes, every 3-4 weeks","2005","direct migration background","West Germany","60","0.0543867332688102","0.0411992418352528","0.0675742247023675"
"Yes, every 3-4 weeks","2005","direct migration background","East Germany","","","",""
"Yes, every 3-4 weeks","2005","indirect migration background","West Germany","23","","",""
"Yes, every 3-4 weeks","2005","indirect migration background","East Germany","","","",""
"Rarely","2005","no migration background","West Germany","1326","0.184866399316753","0.17574000817956","0.193992790453947"
"Rarely","2005","no migration background","East Germany","459","0.187913253404386","0.172176002126184","0.203650504682589"
"Rarely","2005","direct migration background","West Germany","131","0.121394713272469","0.102403368493923","0.140386058051016"
"Rarely","2005","direct migration background","East Germany","6","","",""
"Rarely","2005","indirect migration background","West Germany","51","0.114166087405796","0.0843499018468948","0.143982272964698"
"Rarely","2005","indirect migration background","East Germany","2","","",""
"No, never","2006","no migration background","West Germany","","","",""
"No, never","2006","no migration background","East Germany","","","",""
"No, never","2006","direct migration background","West Germany","","","",""
"No, never","2006","direct migration background","East Germany","","","",""
"No, never","2006","indirect migration background","West Germany","","","",""
"No, never","2006","indirect migration background","East Germany","","","",""
"Yes, every week","2006","no migration background","West Germany","","","",""
"Yes, every week","2006","no migration background","East Germany","","","",""
"Yes, every week","2006","direct migration background","West Germany","","","",""
"Yes, every week","2006","direct migration background","East Germany","","","",""
"Yes, every week","2006","indirect migration background","West Germany","","","",""
"Yes, every week","2006","indirect migration background","East Germany","","","",""
"Yes, every 2 weeks","2006","no migration background","West Germany","","","",""
"Yes, every 2 weeks","2006","no migration background","East Germany","","","",""
"Yes, every 2 weeks","2006","direct migration background","West Germany","","","",""
"Yes, every 2 weeks","2006","direct migration background","East Germany","","","",""
"Yes, every 2 weeks","2006","indirect migration background","West Germany","","","",""
"Yes, every 2 weeks","2006","indirect migration background","East Germany","","","",""
"Yes, every 3-4 weeks","2006","no migration background","West Germany","","","",""
"Yes, every 3-4 weeks","2006","no migration background","East Germany","","","",""
"Yes, every 3-4 weeks","2006","direct migration background","West Germany","","","",""
"Yes, every 3-4 weeks","2006","direct migration background","East Germany","","","",""
"Yes, every 3-4 weeks","2006","indirect migration background","West Germany","","","",""
"Yes, every 3-4 weeks","2006","indirect migration background","East Germany","","","",""
"Rarely","2006","no migration background","West Germany","","","",""
"Rarely","2006","no migration background","East Germany","","","",""
"Rarely","2006","direct migration background","West Germany","","","",""
"Rarely","2006","direct migration background","East Germany","","","",""
"Rarely","2006","indirect migration background","West Germany","","","",""
"Rarely","2006","indirect migration background","East Germany","","","",""
"No, never","2007","no migration background","West Germany","4311","0.597357464206409","0.585955441358397","0.60875948705442"
"No, never","2007","no migration background","East Germany","1408","0.549492702335943","0.529835388838819","0.569150015833067"
"No, never","2007","direct migration background","West Germany","707","0.677639371069637","0.649165387592782","0.706113354546492"
"No, never","2007","direct migration background","East Germany","17","","",""
"No, never","2007","indirect migration background","West Germany","320","0.712988099491358","0.671376802045257","0.754599396937459"
"No, never","2007","indirect migration background","East Germany","20","","",""
"Yes, every week","2007","no migration background","West Germany","504","0.0679397972590822","0.0620893503991575","0.073790244119007"
"Yes, every week","2007","no migration background","East Germany","152","0.0626312653443774","0.0530583744527295","0.0722041562360253"
"Yes, every week","2007","direct migration background","West Germany","46","0.0392775747331014","0.0274430938618906","0.0511120556043123"
"Yes, every week","2007","direct migration background","East Germany","2","","",""
"Yes, every week","2007","indirect migration background","West Germany","22","","",""
"Yes, every week","2007","indirect migration background","East Germany","1","","",""
"Yes, every 2 weeks","2007","no migration background","West Germany","548","0.0856633996242583","0.0791567767068397","0.0921700225416769"
"Yes, every 2 weeks","2007","no migration background","East Germany","281","0.130033610487324","0.116745252117937","0.143321968856711"
"Yes, every 2 weeks","2007","direct migration background","West Germany","88","0.0972195097744019","0.079170818676803","0.115268200872001"
"Yes, every 2 weeks","2007","direct migration background","East Germany","1","","",""
"Yes, every 2 weeks","2007","indirect migration background","West Germany","29","","",""
"Yes, every 2 weeks","2007","indirect migration background","East Germany","","","",""
"Yes, every 3-4 weeks","2007","no migration background","West Germany","366","0.0544946417989995","0.0492173169095356","0.0597719666884633"
"Yes, every 3-4 weeks","2007","no migration background","East Germany","137","0.0613512212216962","0.0518701927695656","0.0708322496738268"
"Yes, every 3-4 weeks","2007","direct migration background","West Germany","66","0.0522581348590804","0.0387000014965734","0.0658162682215874"
"Yes, every 3-4 weeks","2007","direct migration background","East Germany","","","",""
"Yes, every 3-4 weeks","2007","indirect migration background","West Germany","23","","",""
"Yes, every 3-4 weeks","2007","indirect migration background","East Germany","2","","",""
"Rarely","2007","no migration background","West Germany","1378","0.194544697111251","0.185341571396605","0.203747822825897"
"Rarely","2007","no migration background","East Germany","483","0.196491200610659","0.180792664514656","0.212189736706663"
"Rarely","2007","direct migration background","West Germany","128","0.133605409563779","0.112877867580876","0.154332951546682"
"Rarely","2007","direct migration background","East Germany","1","","",""
"Rarely","2007","indirect migration background","West Germany","60","0.13459410808958","0.103200364062979","0.16598785211618"
"Rarely","2007","indirect migration background","East Germany","3","","",""
"No, never","2008","no migration background","West Germany","","","",""
"No, never","2008","no migration background","East Germany","","","",""
"No, never","2008","direct migration background","West Germany","","","",""
"No, never","2008","direct migration background","East Germany","","","",""
"No, never","2008","indirect migration background","West Germany","","","",""
"No, never","2008","indirect migration background","East Germany","","","",""
"Yes, every week","2008","no migration background","West Germany","","","",""
"Yes, every week","2008","no migration background","East Germany","","","",""
"Yes, every week","2008","direct migration background","West Germany","","","",""
"Yes, every week","2008","direct migration background","East Germany","","","",""
"Yes, every week","2008","indirect migration background","West Germany","","","",""
"Yes, every week","2008","indirect migration background","East Germany","","","",""
"Yes, every 2 weeks","2008","no migration background","West Germany","","","",""
"Yes, every 2 weeks","2008","no migration background","East Germany","","","",""
"Yes, every 2 weeks","2008","direct migration background","West Germany","","","",""
"Yes, every 2 weeks","2008","direct migration background","East Germany","","","",""
"Yes, every 2 weeks","2008","indirect migration background","West Germany","","","",""
