"plb0219","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"No, never","2005","1-pers.-HH","in school","","","",""
"No, never","2005","1-pers.-HH","inadequately","7","","",""
"No, never","2005","1-pers.-HH","general elemantary","50","0.569387966739782","0.464736314674487","0.674039618805078"
"No, never","2005","1-pers.-HH","middle vocational","376","0.581633340681341","0.542990939523063","0.620275741839619"
"No, never","2005","1-pers.-HH","vocational + Abi","69","0.62458610939192","0.53196611057601","0.71720610820783"
"No, never","2005","1-pers.-HH","higher vocational","56","0.631767161127513","0.536756951637332","0.726777370617694"
"No, never","2005","1-pers.-HH","higher education","171","0.516391490125863","0.464407403222333","0.568375577029393"
"No, never","2005","(Married) couple without C. ","in school","2","","",""
"No, never","2005","(Married) couple without C. ","inadequately","7","","",""
"No, never","2005","(Married) couple without C. ","general elemantary","115","0.774258808369225","0.707354983719423","0.841162633019027"
"No, never","2005","(Married) couple without C. ","middle vocational","972","0.67595155416533","0.651574612320749","0.70032849600991"
"No, never","2005","(Married) couple without C. ","vocational + Abi","150","0.721102030875274","0.66143433611497","0.780769725635578"
"No, never","2005","(Married) couple without C. ","higher vocational","147","0.550139293486712","0.489435811773357","0.610842775200067"
"No, never","2005","(Married) couple without C. ","higher education","501","0.518015224322184","0.485478643343492","0.550551805300877"
"No, never","2005","Single parent ","in school","3","","",""
"No, never","2005","Single parent ","inadequately","4","","",""
"No, never","2005","Single parent ","general elemantary","57","0.700761065184855","0.602834058411578","0.798688071958132"
"No, never","2005","Single parent ","middle vocational","211","0.662151449229021","0.609243783573961","0.71505911488408"
"No, never","2005","Single parent ","vocational + Abi","19","","",""
"No, never","2005","Single parent ","higher vocational","13","","",""
"No, never","2005","Single parent ","higher education","50","0.505976895865954","0.402106434424339","0.609847357307569"
"No, never","2005","Couple + C. LE 16 ","in school","1","","",""
"No, never","2005","Couple + C. LE 16 ","inadequately","5","","",""
"No, never","2005","Couple + C. LE 16 ","general elemantary","99","0.658852210934822","0.57887863948695","0.738825782382695"
