"plb0219","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","Not Employed","Urban Area","71","0.709649191270364","0.616894143494543","0.802404239046185","1"
"No, never","2005","Not Employed","Rural Area","57","0.798982839595528","0.70828378669612","0.889681892494936","1"
"No, never","2005","Employed","Urban Area","4656","0.622594678864146","0.611525651325454","0.633663706402838","1"
"No, never","2005","Employed","Rural Area","2033","0.590573884751099","0.574030778403489","0.607116991098709","1"
"Rarely","2005","Employed","Rural Area","634","0.176358443961189","0.163536336085517","0.189180551836861","5"
"Rarely","2005","Not Employed","Urban Area","6","","","","5"
"Rarely","2005","Not Employed","Rural Area","7","","","","5"
"Rarely","2005","Employed","Urban Area","1328","0.175799643286462","0.167107474520635","0.184491812052289","5"
"Yes, every 2 weeks","2005","Not Employed","Urban Area","4","","","","3"
"Yes, every 2 weeks","2005","Not Employed","Rural Area","5","","","","3"
"Yes, every 2 weeks","2005","Employed","Urban Area","606","0.0930276306435627","0.0863946952934217","0.0996605659937037","3"
"Yes, every 2 weeks","2005","Employed","Rural Area","304","0.0919673464097272","0.0822452542621671","0.101689438557287","3"
"Yes, every 3-4 weeks","2005","Not Employed","Urban Area","4","","","","4"
"Yes, every 3-4 weeks","2005","Not Employed","Rural Area","2","","","","4"
"Yes, every 3-4 weeks","2005","Employed","Urban Area","368","0.0541767197572936","0.0490076295775792","0.059345809937008","4"
"Yes, every 3-4 weeks","2005","Employed","Rural Area","196","0.0639543615910219","0.0557229225171194","0.0721858006649244","4"
"Yes, every week","2005","Not Employed","Urban Area","7","","","","2"
"Yes, every week","2005","Not Employed","Rural Area","4","","","","2"
"Yes, every week","2005","Employed","Urban Area","409","0.0544013274485355","0.0492221483241867","0.0595805065728843","2"
"Yes, every week","2005","Employed","Rural Area","227","0.0771459632869627","0.068169292805117","0.0861226337688084","2"
"No, never","2006","Not Employed","Urban Area","","","","","1"
"No, never","2006","Not Employed","Rural Area","","","","","1"
"No, never","2006","Employed","Urban Area","","","","","1"
"No, never","2006","Employed","Rural Area","","","","","1"
"Rarely","2006","Not Employed","Urban Area","","","","","5"
