"plb0219","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Not Employed","(0) in school","4","","",""
"No, never","2005","Not Employed","(1a) inadequately completed","","","",""
"No, never","2005","Not Employed","(1b) general elementary school","17","","",""
"No, never","2005","Not Employed","(1c) basic vocational qualification","19","","",""
"No, never","2005","Not Employed","(2b) intermediate general qualification","7","","",""
"No, never","2005","Not Employed","(2a) intermediate vocational","28","","",""
"No, never","2005","Not Employed","(2c_gen) general maturity certificate","11","","",""
"No, never","2005","Not Employed","(2c_voc) vocational maturity certificate","11","","",""
"No, never","2005","Not Employed","(3a) lower tertiary education","10","","",""
"No, never","2005","Not Employed","(3b) higher tertiary education","11","","",""
"No, never","2005","Employed","(0) in school","24","","",""
"No, never","2005","Employed","(1a) inadequately completed","50","0.759916849876892","0.659856285390221","0.859977414363563"
"No, never","2005","Employed","(1b) general elementary school","402","0.710124964421045","0.672138348164623","0.748111580677467"
"No, never","2005","Employed","(1c) basic vocational qualification","1556","0.645823655430499","0.626572842937723","0.665074467923276"
"No, never","2005","Employed","(2b) intermediate general qualification","228","0.731895877183352","0.682505169610636","0.781286584756067"
"No, never","2005","Employed","(2a) intermediate vocational","1921","0.599632210574492","0.582347909673499","0.616916511475486"
"No, never","2005","Employed","(2c_gen) general maturity certificate","227","0.623940776585527","0.573337741453176","0.674543811717879"
"No, never","2005","Employed","(2c_voc) vocational maturity certificate","642","0.658092808063528","0.628604314343822","0.687581301783234"
"No, never","2005","Employed","(3a) lower tertiary education","620","0.565400537348598","0.535460205722234","0.595340868974963"
"No, never","2005","Employed","(3b) higher tertiary education","888","0.471538713003239","0.448157325265884","0.494920100740594"
"Yes, every week","2005","Not Employed","(0) in school","","","",""
"Yes, every week","2005","Not Employed","(1a) inadequately completed","1","","",""
"Yes, every week","2005","Not Employed","(1b) general elementary school","1","","",""
"Yes, every week","2005","Not Employed","(1c) basic vocational qualification","1","","",""
"Yes, every week","2005","Not Employed","(2b) intermediate general qualification","","","",""
"Yes, every week","2005","Not Employed","(2a) intermediate vocational","3","","",""
"Yes, every week","2005","Not Employed","(2c_gen) general maturity certificate","2","","",""
"Yes, every week","2005","Not Employed","(2c_voc) vocational maturity certificate","2","","",""
"Yes, every week","2005","Not Employed","(3a) lower tertiary education","","","",""
"Yes, every week","2005","Not Employed","(3b) higher tertiary education","","","",""
"Yes, every week","2005","Employed","(0) in school","8","","",""
"Yes, every week","2005","Employed","(1a) inadequately completed","4","","",""
"Yes, every week","2005","Employed","(1b) general elementary school","28","","",""
"Yes, every week","2005","Employed","(1c) basic vocational qualification","135","0.0634924737193134","0.053677275516238","0.0733076719223887"
"Yes, every week","2005","Employed","(2b) intermediate general qualification","19","","",""
"Yes, every week","2005","Employed","(2a) intermediate vocational","125","0.0456342281839933","0.0382724528656475","0.0529960035023392"
"Yes, every week","2005","Employed","(2c_gen) general maturity certificate","27","","",""
"Yes, every week","2005","Employed","(2c_voc) vocational maturity certificate","31","0.0236103156645507","0.0141715025607548","0.0330491287683466"
"Yes, every week","2005","Employed","(3a) lower tertiary education","61","0.0533642395278907","0.0397889056036057","0.0669395734521757"
"Yes, every week","2005","Employed","(3b) higher tertiary education","192","0.111882223038019","0.097117651682701","0.126646794393337"
"Yes, every 2 weeks","2005","Not Employed","(0) in school","","","",""
"Yes, every 2 weeks","2005","Not Employed","(1a) inadequately completed","","","",""
"Yes, every 2 weeks","2005","Not Employed","(1b) general elementary school","","","",""
"Yes, every 2 weeks","2005","Not Employed","(1c) basic vocational qualification","3","","",""
"Yes, every 2 weeks","2005","Not Employed","(2b) intermediate general qualification","2","","",""
"Yes, every 2 weeks","2005","Not Employed","(2a) intermediate vocational","2","","",""
"Yes, every 2 weeks","2005","Not Employed","(2c_gen) general maturity certificate","","","",""
"Yes, every 2 weeks","2005","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes, every 2 weeks","2005","Not Employed","(3a) lower tertiary education","","","",""
"Yes, every 2 weeks","2005","Not Employed","(3b) higher tertiary education","2","","",""
"Yes, every 2 weeks","2005","Employed","(0) in school","4","","",""
"Yes, every 2 weeks","2005","Employed","(1a) inadequately completed","5","","",""
"Yes, every 2 weeks","2005","Employed","(1b) general elementary school","43","0.0844840634112459","0.0611989604302942","0.107769166392198"
"Yes, every 2 weeks","2005","Employed","(1c) basic vocational qualification","200","0.0864603679657185","0.0751479732484257","0.0977727626830112"
"Yes, every 2 weeks","2005","Employed","(2b) intermediate general qualification","28","","",""
"Yes, every 2 weeks","2005","Employed","(2a) intermediate vocational","310","0.108246893757572","0.0972869124604102","0.119206875054734"
"Yes, every 2 weeks","2005","Employed","(2c_gen) general maturity certificate","30","0.10469436206174","0.0727110035364997","0.13667772058698"
"Yes, every 2 weeks","2005","Employed","(2c_voc) vocational maturity certificate","76","0.0838863551228168","0.0666527857395417","0.101119924506092"
"Yes, every 2 weeks","2005","Employed","(3a) lower tertiary education","67","0.0766105756154982","0.06054594602523","0.0926752052057665"
"Yes, every 2 weeks","2005","Employed","(3b) higher tertiary education","129","0.083418309116956","0.0704667724889442","0.0963698457449677"
"Yes, every 3-4 weeks","2005","Not Employed","(0) in school","1","","",""
"Yes, every 3-4 weeks","2005","Not Employed","(1a) inadequately completed","","","",""
"Yes, every 3-4 weeks","2005","Not Employed","(1b) general elementary school","2","","",""
"Yes, every 3-4 weeks","2005","Not Employed","(1c) basic vocational qualification","","","",""
"Yes, every 3-4 weeks","2005","Not Employed","(2b) intermediate general qualification","1","","",""
"Yes, every 3-4 weeks","2005","Not Employed","(2a) intermediate vocational","","","",""
"Yes, every 3-4 weeks","2005","Not Employed","(2c_gen) general maturity certificate","","","",""
"Yes, every 3-4 weeks","2005","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes, every 3-4 weeks","2005","Not Employed","(3a) lower tertiary education","","","",""
"Yes, every 3-4 weeks","2005","Not Employed","(3b) higher tertiary education","2","","",""
"Yes, every 3-4 weeks","2005","Employed","(0) in school","2","","",""
"Yes, every 3-4 weeks","2005","Employed","(1a) inadequately completed","3","","",""
"Yes, every 3-4 weeks","2005","Employed","(1b) general elementary school","24","","",""
"Yes, every 3-4 weeks","2005","Employed","(1c) basic vocational qualification","110","0.0538748700409428","0.0447872592042564","0.0629624808776292"
"Yes, every 3-4 weeks","2005","Employed","(2b) intermediate general qualification","11","","",""
"Yes, every 3-4 weeks","2005","Employed","(2a) intermediate vocational","163","0.0633859594440578","0.0547907464651752","0.0719811724229403"
"Yes, every 3-4 weeks","2005","Employed","(2c_gen) general maturity certificate","24","","",""
"Yes, every 3-4 weeks","2005","Employed","(2c_voc) vocational maturity certificate","50","0.0468020384886066","0.0336716118980595","0.0599324650791537"
"Yes, every 3-4 weeks","2005","Employed","(3a) lower tertiary education","46","0.0530202924215071","0.0394863195644565","0.0665542652785577"
"Yes, every 3-4 weeks","2005","Employed","(3b) higher tertiary education","119","0.07064465645449","0.0586431551435305","0.0826461577654495"
"Rarely","2005","Not Employed","(0) in school","","","",""
"Rarely","2005","Not Employed","(1a) inadequately completed","","","",""
"Rarely","2005","Not Employed","(1b) general elementary school","1","","",""
"Rarely","2005","Not Employed","(1c) basic vocational qualification","2","","",""
"Rarely","2005","Not Employed","(2b) intermediate general qualification","2","","",""
"Rarely","2005","Not Employed","(2a) intermediate vocational","2","","",""
"Rarely","2005","Not Employed","(2c_gen) general maturity certificate","1","","",""
"Rarely","2005","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Rarely","2005","Not Employed","(3a) lower tertiary education","","","",""
"Rarely","2005","Not Employed","(3b) higher tertiary education","4","","",""
"Rarely","2005","Employed","(0) in school","5","","",""
"Rarely","2005","Employed","(1a) inadequately completed","8","","",""
"Rarely","2005","Employed","(1b) general elementary school","51","0.0878477884812666","0.0641473224434071","0.111548254519126"
"Rarely","2005","Employed","(1c) basic vocational qualification","370","0.150348632843526","0.135962222750243","0.164735042936809"
"Rarely","2005","Employed","(2b) intermediate general qualification","23","","",""
"Rarely","2005","Employed","(2a) intermediate vocational","568","0.183100708039884","0.169457734150842","0.196743681928926"
"Rarely","2005","Employed","(2c_gen) general maturity certificate","44","0.13203795123571","0.0966727188725474","0.167403183598872"
"Rarely","2005","Employed","(2c_voc) vocational maturity certificate","195","0.187608482660498","0.163338815278525","0.211878150042471"
"Rarely","2005","Employed","(3a) lower tertiary education","259","0.251604355086506","0.22539486279155","0.277813847381461"
"Rarely","2005","Employed","(3b) higher tertiary education","423","0.262516098387296","0.241906987271428","0.283125209503164"
"No, never","2006","Not Employed","(0) in school","","","",""
"No, never","2006","Not Employed","(1a) inadequately completed","","","",""
"No, never","2006","Not Employed","(1b) general elementary school","","","",""
"No, never","2006","Not Employed","(1c) basic vocational qualification","","","",""
"No, never","2006","Not Employed","(2b) intermediate general qualification","","","",""
"No, never","2006","Not Employed","(2a) intermediate vocational","","","",""
"No, never","2006","Not Employed","(2c_gen) general maturity certificate","","","",""
"No, never","2006","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"No, never","2006","Not Employed","(3a) lower tertiary education","","","",""
"No, never","2006","Not Employed","(3b) higher tertiary education","","","",""
"No, never","2006","Employed","(0) in school","","","",""
"No, never","2006","Employed","(1a) inadequately completed","","","",""
"No, never","2006","Employed","(1b) general elementary school","","","",""
"No, never","2006","Employed","(1c) basic vocational qualification","","","",""
"No, never","2006","Employed","(2b) intermediate general qualification","","","",""
"No, never","2006","Employed","(2a) intermediate vocational","","","",""
"No, never","2006","Employed","(2c_gen) general maturity certificate","","","",""
"No, never","2006","Employed","(2c_voc) vocational maturity certificate","","","",""
"No, never","2006","Employed","(3a) lower tertiary education","","","",""
"No, never","2006","Employed","(3b) higher tertiary education","","","",""
"Yes, every week","2006","Not Employed","(0) in school","","","",""
"Yes, every week","2006","Not Employed","(1a) inadequately completed","","","",""
"Yes, every week","2006","Not Employed","(1b) general elementary school","","","",""
"Yes, every week","2006","Not Employed","(1c) basic vocational qualification","","","",""
"Yes, every week","2006","Not Employed","(2b) intermediate general qualification","","","",""
"Yes, every week","2006","Not Employed","(2a) intermediate vocational","","","",""
"Yes, every week","2006","Not Employed","(2c_gen) general maturity certificate","","","",""
"Yes, every week","2006","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes, every week","2006","Not Employed","(3a) lower tertiary education","","","",""
"Yes, every week","2006","Not Employed","(3b) higher tertiary education","","","",""
"Yes, every week","2006","Employed","(0) in school","","","",""
"Yes, every week","2006","Employed","(1a) inadequately completed","","","",""
"Yes, every week","2006","Employed","(1b) general elementary school","","","",""
"Yes, every week","2006","Employed","(1c) basic vocational qualification","","","",""
"Yes, every week","2006","Employed","(2b) intermediate general qualification","","","",""
"Yes, every week","2006","Employed","(2a) intermediate vocational","","","",""
"Yes, every week","2006","Employed","(2c_gen) general maturity certificate","","","",""
"Yes, every week","2006","Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes, every week","2006","Employed","(3a) lower tertiary education","","","",""
"Yes, every week","2006","Employed","(3b) higher tertiary education","","","",""
"Yes, every 2 weeks","2006","Not Employed","(0) in school","","","",""
"Yes, every 2 weeks","2006","Not Employed","(1a) inadequately completed","","","",""
"Yes, every 2 weeks","2006","Not Employed","(1b) general elementary school","","","",""
"Yes, every 2 weeks","2006","Not Employed","(1c) basic vocational qualification","","","",""
"Yes, every 2 weeks","2006","Not Employed","(2b) intermediate general qualification","","","",""
"Yes, every 2 weeks","2006","Not Employed","(2a) intermediate vocational","","","",""
"Yes, every 2 weeks","2006","Not Employed","(2c_gen) general maturity certificate","","","",""
"Yes, every 2 weeks","2006","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes, every 2 weeks","2006","Not Employed","(3a) lower tertiary education","","","",""
"Yes, every 2 weeks","2006","Not Employed","(3b) higher tertiary education","","","",""
"Yes, every 2 weeks","2006","Employed","(0) in school","","","",""
"Yes, every 2 weeks","2006","Employed","(1a) inadequately completed","","","",""
"Yes, every 2 weeks","2006","Employed","(1b) general elementary school","","","",""
"Yes, every 2 weeks","2006","Employed","(1c) basic vocational qualification","","","",""
"Yes, every 2 weeks","2006","Employed","(2b) intermediate general qualification","","","",""
"Yes, every 2 weeks","2006","Employed","(2a) intermediate vocational","","","",""
"Yes, every 2 weeks","2006","Employed","(2c_gen) general maturity certificate","","","",""
"Yes, every 2 weeks","2006","Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes, every 2 weeks","2006","Employed","(3a) lower tertiary education","","","",""
"Yes, every 2 weeks","2006","Employed","(3b) higher tertiary education","","","",""
"Yes, every 3-4 weeks","2006","Not Employed","(0) in school","","","",""
"Yes, every 3-4 weeks","2006","Not Employed","(1a) inadequately completed","","","",""
"Yes, every 3-4 weeks","2006","Not Employed","(1b) general elementary school","","","",""
"Yes, every 3-4 weeks","2006","Not Employed","(1c) basic vocational qualification","","","",""
"Yes, every 3-4 weeks","2006","Not Employed","(2b) intermediate general qualification","","","",""
"Yes, every 3-4 weeks","2006","Not Employed","(2a) intermediate vocational","","","",""
"Yes, every 3-4 weeks","2006","Not Employed","(2c_gen) general maturity certificate","","","",""
