"plb0219","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"No, never","2005","16-34 y.","Not Employed","79","0.762651805901789","0.679677520381354","0.845626091422224"
"No, never","2005","16-34 y.","Employed","1907","0.634001992617425","0.61655392937497","0.65145005585988"
"No, never","2005","35-65 y.","Not Employed","46","0.717591625657322","0.606429899348553","0.828753351966091"
"No, never","2005","35-65 y.","Employed","4692","0.602853434576812","0.591929308925842","0.613777560227781"
"No, never","2005","66 and older","Not Employed","3","","",""
"No, never","2005","66 and older","Employed","90","0.670967219294564","0.588925821001484","0.753008617587643"
"Yes, every week","2005","16-34 y.","Not Employed","3","","",""
"Yes, every week","2005","16-34 y.","Employed","167","0.0596648153814442","0.0510852942425579","0.0682443365203305"
"Yes, every week","2005","35-65 y.","Not Employed","8","","",""
"Yes, every week","2005","35-65 y.","Employed","455","0.058767379132419","0.0535166204629752","0.0640181378018627"
"Yes, every week","2005","66 and older","Not Employed","","","",""
"Yes, every week","2005","66 and older","Employed","14","","",""
"Yes, every 2 weeks","2005","16-34 y.","Not Employed","7","","",""
"Yes, every 2 weeks","2005","16-34 y.","Employed","277","0.0997051706409739","0.0888530709840081","0.11055727029794"
"Yes, every 2 weeks","2005","35-65 y.","Not Employed","2","","",""
"Yes, every 2 weeks","2005","35-65 y.","Employed","628","0.0909944860719912","0.0845735816015442","0.0974153905424383"
"Yes, every 2 weeks","2005","66 and older","Not Employed","","","",""
"Yes, every 2 weeks","2005","66 and older","Employed","5","","",""
"Yes, every 3-4 weeks","2005","16-34 y.","Not Employed","4","","",""
"Yes, every 3-4 weeks","2005","16-34 y.","Employed","155","0.0593836439642441","0.0508230826970226","0.0679442052314655"
"Yes, every 3-4 weeks","2005","35-65 y.","Not Employed","2","","",""
"Yes, every 3-4 weeks","2005","35-65 y.","Employed","409","0.0572358468773199","0.0520497455417833","0.0624219482128566"
"Yes, every 3-4 weeks","2005","66 and older","Not Employed","","","",""
"Yes, every 3-4 weeks","2005","66 and older","Employed","","","",""
"Rarely","2005","16-34 y.","Not Employed","8","","",""
"Rarely","2005","16-34 y.","Employed","422","0.147244377395913","0.134409426525259","0.160079328266567"
"Rarely","2005","35-65 y.","Not Employed","5","","",""
