"plb0219","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"No, never","2005","(0) in school","in school","28","","",""
"No, never","2005","(0) in school","inadequately","","","",""
"No, never","2005","(0) in school","general elemantary","","","",""
"No, never","2005","(0) in school","middle vocational","","","",""
"No, never","2005","(0) in school","vocational + Abi","","","",""
"No, never","2005","(0) in school","higher vocational","","","",""
"No, never","2005","(0) in school","higher education","","","",""
"No, never","2005","(1a) inadequately completed","in school","","","",""
"No, never","2005","(1a) inadequately completed","inadequately","37","0.740633260396962","0.621507642502809","0.859758878291115"
"No, never","2005","(1a) inadequately completed","general elemantary","","","",""
"No, never","2005","(1a) inadequately completed","middle vocational","12","","",""
"No, never","2005","(1a) inadequately completed","vocational + Abi","","","",""
"No, never","2005","(1a) inadequately completed","higher vocational","1","","",""
"No, never","2005","(1a) inadequately completed","higher education","","","",""
"No, never","2005","(1b) general elementary school","in school","","","",""
"No, never","2005","(1b) general elementary school","inadequately","16","","",""
"No, never","2005","(1b) general elementary school","general elemantary","403","0.702939106911585","0.66485295290558","0.74102526091759"
"No, never","2005","(1b) general elementary school","middle vocational","","","",""
"No, never","2005","(1b) general elementary school","vocational + Abi","","","",""
"No, never","2005","(1b) general elementary school","higher vocational","","","",""
"No, never","2005","(1b) general elementary school","higher education","","","",""
"No, never","2005","(1c) basic vocational qualification","in school","","","",""
"No, never","2005","(1c) basic vocational qualification","inadequately","","","",""
"No, never","2005","(1c) basic vocational qualification","general elemantary","","","",""
"No, never","2005","(1c) basic vocational qualification","middle vocational","1466","0.659095305005094","0.639178978118768","0.67901163189142"
"No, never","2005","(1c) basic vocational qualification","vocational + Abi","","","",""
"No, never","2005","(1c) basic vocational qualification","higher vocational","109","0.526145852393642","0.460165873942133","0.592125830845151"
"No, never","2005","(1c) basic vocational qualification","higher education","","","",""
"No, never","2005","(2b) intermediate general qualification","in school","","","",""
"No, never","2005","(2b) intermediate general qualification","inadequately","","","",""
"No, never","2005","(2b) intermediate general qualification","general elemantary","235","0.726948707402843","0.678210497104551","0.775686917701136"
"No, never","2005","(2b) intermediate general qualification","middle vocational","","","",""
"No, never","2005","(2b) intermediate general qualification","vocational + Abi","","","",""
"No, never","2005","(2b) intermediate general qualification","higher vocational","","","",""
"No, never","2005","(2b) intermediate general qualification","higher education","","","",""
"No, never","2005","(2a) intermediate vocational","in school","","","",""
"No, never","2005","(2a) intermediate vocational","inadequately","","","",""
"No, never","2005","(2a) intermediate vocational","general elemantary","","","",""
"No, never","2005","(2a) intermediate vocational","middle vocational","1687","0.614138141675939","0.595582912331135","0.632693371020742"
"No, never","2005","(2a) intermediate vocational","vocational + Abi","","","",""
"No, never","2005","(2a) intermediate vocational","higher vocational","262","0.52879513318271","0.484046193307248","0.573544073058173"
"No, never","2005","(2a) intermediate vocational","higher education","","","",""
"No, never","2005","(2c_gen) general maturity certificate","in school","","","",""
"No, never","2005","(2c_gen) general maturity certificate","inadequately","","","",""
"No, never","2005","(2c_gen) general maturity certificate","general elemantary","","","",""
"No, never","2005","(2c_gen) general maturity certificate","middle vocational","238","0.632337534082676","0.582939839934994","0.681735228230358"
"No, never","2005","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"No, never","2005","(2c_gen) general maturity certificate","higher vocational","","","",""
"No, never","2005","(2c_gen) general maturity certificate","higher education","","","",""
"No, never","2005","(2c_voc) vocational maturity certificate","in school","","","",""
"No, never","2005","(2c_voc) vocational maturity certificate","inadequately","","","",""
"No, never","2005","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"No, never","2005","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"No, never","2005","(2c_voc) vocational maturity certificate","vocational + Abi","503","0.690468777239254","0.657272131133033","0.723665423345476"
"No, never","2005","(2c_voc) vocational maturity certificate","higher vocational","150","0.563528354425366","0.50347554221595","0.623581166634782"
"No, never","2005","(2c_voc) vocational maturity certificate","higher education","","","",""
"No, never","2005","(3a) lower tertiary education","in school","","","",""
"No, never","2005","(3a) lower tertiary education","inadequately","","","",""
"No, never","2005","(3a) lower tertiary education","general elemantary","","","",""
"No, never","2005","(3a) lower tertiary education","middle vocational","","","",""
"No, never","2005","(3a) lower tertiary education","vocational + Abi","","","",""
"No, never","2005","(3a) lower tertiary education","higher vocational","","","",""
"No, never","2005","(3a) lower tertiary education","higher education","630","0.568090516784544","0.538313128881036","0.597867904688052"
"No, never","2005","(3b) higher tertiary education","in school","","","",""
"No, never","2005","(3b) higher tertiary education","inadequately","","","",""
"No, never","2005","(3b) higher tertiary education","general elemantary","","","",""
"No, never","2005","(3b) higher tertiary education","middle vocational","","","",""
"No, never","2005","(3b) higher tertiary education","vocational + Abi","","","",""
"No, never","2005","(3b) higher tertiary education","higher vocational","","","",""
"No, never","2005","(3b) higher tertiary education","higher education","899","0.472095216376097","0.448838196905521","0.495352235846674"
"Yes, every week","2005","(0) in school","in school","8","","",""
"Yes, every week","2005","(0) in school","inadequately","","","",""
