"plb0219","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"No, never","2005","lower secondary degree","1-pers.-HH","185","0.571149520690389","0.515515665281687","0.62678337609909"
"No, never","2005","lower secondary degree","(Married) couple without C. ","520","0.703397379874932","0.670773285284188","0.736021474465677"
"No, never","2005","lower secondary degree","Single parent ","97","0.60614257287059","0.529956346750658","0.682328798990522"
"No, never","2005","lower secondary degree","Couple + C. LE 16 ","411","0.628328508297062","0.590888915913684","0.66576810068044"
"No, never","2005","lower secondary degree","Couple + C. GT 16 ","364","0.689425827609866","0.649881730696549","0.728969924523184"
"No, never","2005","lower secondary degree","Couple + C. LE and GT 16","163","0.648979753249379","0.590050698046033","0.707908808452725"
"No, never","2005","secondary school degree","1-pers.-HH","250","0.587351374834292","0.54054631313526","0.634156436533324"
"No, never","2005","secondary school degree","(Married) couple without C. ","657","0.639658297086868","0.609812293908256","0.669504300265481"
"No, never","2005","secondary school degree","Single parent ","148","0.703993541888534","0.642974723722654","0.765012360054415"
"No, never","2005","secondary school degree","Couple + C. LE 16 ","571","0.588613083191633","0.557238903455847","0.619987262927419"
"No, never","2005","secondary school degree","Couple + C. GT 16 ","538","0.618706413789647","0.58552306342942","0.651889764149874"
"No, never","2005","secondary school degree","Couple + C. LE and GT 16","228","0.600717881636966","0.550949693339482","0.65048606993445"
"No, never","2005","college entrance qualification","1-pers.-HH","264","0.553117914150658","0.509756070725823","0.596479757575494"
"No, never","2005","college entrance qualification","(Married) couple without C. ","603","0.547855832459175","0.51772306216293","0.577988602755421"
"No, never","2005","college entrance qualification","Single parent ","82","0.598797417204572","0.51486412417662","0.682730710232524"
"No, never","2005","college entrance qualification","Couple + C. LE 16 ","500","0.549685957299496","0.517127266318581","0.582244648280412"
"No, never","2005","college entrance qualification","Couple + C. GT 16 ","347","0.620769036567572","0.581618384195209","0.659919688939934"
"No, never","2005","college entrance qualification","Couple + C. LE and GT 16","141","0.528738097011228","0.466104890503962","0.591371303518494"
