"plb0219","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"No, never","2005","in school","West Germany","27","","",""
"No, never","2005","in school","East Germany","1","","",""
"No, never","2005","inadequately","West Germany","49","0.782646437177888","0.681599235259888","0.883693639095888"
"No, never","2005","inadequately","East Germany","4","","",""
"No, never","2005","general elemantary","West Germany","561","0.709186210267406","0.676941517407089","0.741430903127723"
"No, never","2005","general elemantary","East Germany","77","0.72851496925639","0.646152138658785","0.810877799853996"
"No, never","2005","middle vocational","West Germany","2753","0.651381790587519","0.636786458572915","0.665977122602122"
"No, never","2005","middle vocational","East Germany","684","0.565568522058386","0.536994430513552","0.594142613603221"
"No, never","2005","vocational + Abi","West Germany","438","0.691440549424748","0.655738803630432","0.727142295219064"
"No, never","2005","vocational + Abi","East Germany","65","0.680733135086476","0.590261305233929","0.771204964939024"
"No, never","2005","higher vocational","West Germany","405","0.549091067528849","0.513312718791031","0.584869416266666"
"No, never","2005","higher vocational","East Germany","120","0.476781099458637","0.411227448131977","0.542334750785297"
"No, never","2005","higher education","West Germany","1098","0.502040183152821","0.480480155111508","0.523600211194134"
"No, never","2005","higher education","East Germany","431","0.54770795234451","0.512484298190882","0.582931606498137"
"Yes, every week","2005","in school","West Germany","7","","",""
"Yes, every week","2005","in school","East Germany","1","","",""
"Yes, every week","2005","inadequately","West Germany","3","","",""
"Yes, every week","2005","inadequately","East Germany","","","",""
"Yes, every week","2005","general elemantary","West Germany","44","0.0778973262921901","0.0588680828673136","0.0969265697170666"
"Yes, every week","2005","general elemantary","East Germany","4","","",""
"Yes, every week","2005","middle vocational","West Germany","198","0.0558766323032899","0.048841850638257","0.0629114139683229"
"Yes, every week","2005","middle vocational","East Germany","62","0.057642710493744","0.0442073548125156","0.0710780661749724"
"Yes, every week","2005","vocational + Abi","West Germany","20","","",""
"Yes, every week","2005","vocational + Abi","East Germany","3","","",""
"Yes, every week","2005","higher vocational","West Germany","35","0.0472167385956906","0.0319657240104471","0.062467753180934"
"Yes, every week","2005","higher vocational","East Germany","11","","",""
"Yes, every week","2005","higher education","West Germany","200","0.092442166323088","0.07995237608811","0.104931956558066"
"Yes, every week","2005","higher education","East Germany","53","0.066034840565599","0.0484595580977714","0.0836101230334267"
"Yes, every 2 weeks","2005","in school","West Germany","2","","",""
"Yes, every 2 weeks","2005","in school","East Germany","2","","",""
"Yes, every 2 weeks","2005","inadequately","West Germany","4","","",""
"Yes, every 2 weeks","2005","inadequately","East Germany","","","",""
"Yes, every 2 weeks","2005","general elemantary","West Germany","60","0.0878366476488757","0.0677390202026795","0.107934275095072"
"Yes, every 2 weeks","2005","general elemantary","East Germany","13","","",""
"Yes, every 2 weeks","2005","middle vocational","West Germany","325","0.0813777997627643","0.0730036142393894","0.0897519852861392"
"Yes, every 2 weeks","2005","middle vocational","East Germany","137","0.136077201571948","0.116312087454588","0.155842315689309"
"Yes, every 2 weeks","2005","vocational + Abi","West Germany","41","0.0763891592325858","0.0558584959432867","0.0969198225218849"
"Yes, every 2 weeks","2005","vocational + Abi","East Germany","12","","",""
"Yes, every 2 weeks","2005","higher vocational","West Germany","82","0.130295536033972","0.106090579773239","0.154500492294705"
"Yes, every 2 weeks","2005","higher vocational","East Germany","28","","",""
"Yes, every 2 weeks","2005","higher education","West Germany","131","0.0742573977671138","0.062951685704124","0.0855631098301035"
"Yes, every 2 weeks","2005","higher education","East Germany","67","0.104096393750158","0.0824841979437357","0.125708589556581"
"Yes, every 3-4 weeks","2005","in school","West Germany","2","","",""
"Yes, every 3-4 weeks","2005","in school","East Germany","1","","",""
"Yes, every 3-4 weeks","2005","inadequately","West Germany","3","","",""
"Yes, every 3-4 weeks","2005","inadequately","East Germany","","","",""
"Yes, every 3-4 weeks","2005","general elemantary","West Germany","33","0.0415780168623826","0.0274043939535972","0.0557516397711681"
"Yes, every 3-4 weeks","2005","general elemantary","East Germany","5","","",""
"Yes, every 3-4 weeks","2005","middle vocational","West Germany","186","0.0542871823326413","0.0473473428384755","0.0612270218268072"
"Yes, every 3-4 weeks","2005","middle vocational","East Germany","59","0.0623156140110356","0.0483809675232591","0.0762502604988121"
"Yes, every 3-4 weeks","2005","vocational + Abi","West Germany","33","0.048935436174977","0.0322606859752171","0.0656101863747368"
"Yes, every 3-4 weeks","2005","vocational + Abi","East Germany","3","","",""
"Yes, every 3-4 weeks","2005","higher vocational","West Germany","53","0.0655043874119047","0.0477143233380339","0.0832944514857755"
"Yes, every 3-4 weeks","2005","higher vocational","East Germany","16","","",""
"Yes, every 3-4 weeks","2005","higher education","West Germany","119","0.0632203096059991","0.0527265774524586","0.0737140417595396"
"Yes, every 3-4 weeks","2005","higher education","East Germany","48","0.0629590598963901","0.0457697354347367","0.0801483843580435"
"Rarely","2005","in school","West Germany","4","","",""
"Rarely","2005","in school","East Germany","1","","",""
"Rarely","2005","inadequately","West Germany","5","","",""
"Rarely","2005","inadequately","East Germany","","","",""
"Rarely","2005","general elemantary","West Germany","64","0.0835017989291457","0.0638598612073548","0.103143736650937"
"Rarely","2005","general elemantary","East Germany","13","","",""
"Rarely","2005","middle vocational","West Germany","633","0.157076595013786","0.145931829545255","0.168221360482316"
"Rarely","2005","middle vocational","East Germany","214","0.178395951864886","0.156326428348893","0.200465475380879"
"Rarely","2005","vocational + Abi","West Germany","111","0.157911444812188","0.129725779503798","0.186097110120578"
"Rarely","2005","vocational + Abi","East Germany","19","","",""
"Rarely","2005","higher vocational","West Germany","168","0.207892270429584","0.178713634789971","0.237070906069196"
"Rarely","2005","higher vocational","East Germany","48","0.235921188910717","0.180196428267018","0.291645949554416"
"Rarely","2005","higher education","West Germany","518","0.268039943150978","0.248940250350684","0.287139635951272"
"Rarely","2005","higher education","East Germany","168","0.219201753443343","0.189923724508837","0.248479782377849"
"No, never","2006","in school","West Germany","","","",""
"No, never","2006","in school","East Germany","","","",""
"No, never","2006","inadequately","West Germany","","","",""
"No, never","2006","inadequately","East Germany","","","",""
"No, never","2006","general elemantary","West Germany","","","",""
"No, never","2006","general elemantary","East Germany","","","",""
"No, never","2006","middle vocational","West Germany","","","",""
"No, never","2006","middle vocational","East Germany","","","",""
"No, never","2006","vocational + Abi","West Germany","","","",""
"No, never","2006","vocational + Abi","East Germany","","","",""
"No, never","2006","higher vocational","West Germany","","","",""
"No, never","2006","higher vocational","East Germany","","","",""
"No, never","2006","higher education","West Germany","","","",""
"No, never","2006","higher education","East Germany","","","",""
"Yes, every week","2006","in school","West Germany","","","",""
"Yes, every week","2006","in school","East Germany","","","",""
"Yes, every week","2006","inadequately","West Germany","","","",""
"Yes, every week","2006","inadequately","East Germany","","","",""
"Yes, every week","2006","general elemantary","West Germany","","","",""
"Yes, every week","2006","general elemantary","East Germany","","","",""
"Yes, every week","2006","middle vocational","West Germany","","","",""
"Yes, every week","2006","middle vocational","East Germany","","","",""
