"plb0219","year","education","migback","n","percent","lower_confidence","upper_confidence"
"No, never","2005","lower secondary degree","no migration background","1461","0.644211150898395","0.624477470277314","0.663944831519476"
"No, never","2005","lower secondary degree","direct migration background","218","0.686708013399713","0.634045611884185","0.739370414915241"
"No, never","2005","lower secondary degree","indirect migration background","107","0.645905292905697","0.569626509693883","0.722184076117511"
"No, never","2005","secondary school degree","no migration background","2247","0.602647470776897","0.586619977975616","0.618674963578179"
"No, never","2005","secondary school degree","direct migration background","97","0.747406752153793","0.673563358492412","0.821250145815173"
"No, never","2005","secondary school degree","indirect migration background","96","0.664223625606633","0.586272792371034","0.742174458842231"
"No, never","2005","college entrance qualification","no migration background","1801","0.553986461899537","0.536780065317322","0.571192858481751"
"No, never","2005","college entrance qualification","direct migration background","98","0.605591727587259","0.529864671399527","0.68131878377499"
"No, never","2005","college entrance qualification","indirect migration background","76","0.576992786302083","0.48860005643801","0.665385516166156"
"No, never","2005","Other degree","no migration background","37","0.839411206100635","0.729672745726902","0.949149666474367"
"No, never","2005","Other degree","direct migration background","354","0.685537788470419","0.644921880701247","0.726153696239592"
"No, never","2005","Other degree","indirect migration background","2","","",""
"No, never","2005","no degree/no degree yet","no migration background","39","0.577289048863505","0.459877168389286","0.694700929337724"
"No, never","2005","no degree/no degree yet","direct migration background","33","0.790491113239905","0.671588457547995","0.909393768931816"
"No, never","2005","no degree/no degree yet","indirect migration background","6","","",""
"Yes, every week","2005","lower secondary degree","no migration background","129","0.0671744473537161","0.0568563391484438","0.0774925555589885"
"Yes, every week","2005","lower secondary degree","direct migration background","13","","",""
"Yes, every week","2005","lower secondary degree","indirect migration background","9","","",""
"Yes, every week","2005","secondary school degree","no migration background","160","0.0486559435913501","0.0416092938554676","0.0557025933272327"
"Yes, every week","2005","secondary school degree","direct migration background","3","","",""
"Yes, every week","2005","secondary school degree","indirect migration background","9","","",""
"Yes, every week","2005","college entrance qualification","no migration background","254","0.0766112517561739","0.0674045324987144","0.0858179710136334"
"Yes, every week","2005","college entrance qualification","direct migration background","10","","",""
"Yes, every week","2005","college entrance qualification","indirect migration background","7","","",""
"Yes, every week","2005","Other degree","no migration background","1","","",""
"Yes, every week","2005","Other degree","direct migration background","29","","",""
"Yes, every week","2005","Other degree","indirect migration background","2","","",""
"Yes, every week","2005","no degree/no degree yet","no migration background","10","","",""
"Yes, every week","2005","no degree/no degree yet","direct migration background","2","","",""
"Yes, every week","2005","no degree/no degree yet","indirect migration background","1","","",""
