"plb0219","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No, never","2005","16-34 y.","(0) in school","28","","",""
"No, never","2005","16-34 y.","(1a) inadequately completed","13","","",""
"No, never","2005","16-34 y.","(1b) general elementary school","157","0.739215672824438","0.680526878481093","0.797904467167782"
"No, never","2005","16-34 y.","(1c) basic vocational qualification","258","0.578144377362789","0.53010635186221","0.626182402863368"
"No, never","2005","16-34 y.","(2b) intermediate general qualification","200","0.760541965194543","0.708966100834152","0.812117829554934"
"No, never","2005","16-34 y.","(2a) intermediate vocational","530","0.614878541008283","0.581832524328384","0.647924557688182"
"No, never","2005","16-34 y.","(2c_gen) general maturity certificate","189","0.651089075895159","0.59575366375882","0.706424488031497"
"No, never","2005","16-34 y.","(2c_voc) vocational maturity certificate","244","0.701435401340437","0.654487665215866","0.748383137465008"
"No, never","2005","16-34 y.","(3a) lower tertiary education","108","0.643779722488262","0.570710567592912","0.716848877383612"
"No, never","2005","16-34 y.","(3b) higher tertiary education","133","0.466010219872742","0.405374908759036","0.526645530986449"
"No, never","2005","35-65 y.","(0) in school","","","",""
"No, never","2005","35-65 y.","(1a) inadequately completed","35","0.777415993444442","0.663250011548145","0.891581975340738"
"No, never","2005","35-65 y.","(1b) general elementary school","251","0.689947920184339","0.640929363754569","0.738966476614108"
"No, never","2005","35-65 y.","(1c) basic vocational qualification","1287","0.661595773993513","0.640589142273139","0.682602405713887"
"No, never","2005","35-65 y.","(2b) intermediate general qualification","35","0.577088323772993","0.449948947708702","0.704227699837284"
"No, never","2005","35-65 y.","(2a) intermediate vocational","1408","0.596648411856114","0.57648989757633","0.616806926135897"
"No, never","2005","35-65 y.","(2c_gen) general maturity certificate","49","0.562731080834215","0.454704572851105","0.670757588817325"
"No, never","2005","35-65 y.","(2c_voc) vocational maturity certificate","407","0.629939759720445","0.592533539400753","0.667345980040137"
"No, never","2005","35-65 y.","(3a) lower tertiary education","509","0.550310127809182","0.517386430487878","0.583233825130486"
"No, never","2005","35-65 y.","(3b) higher tertiary education","742","0.466397371213099","0.440921224292796","0.491873518133402"
"No, never","2005","66 and older","(0) in school","","","",""
"No, never","2005","66 and older","(1a) inadequately completed","2","","",""
"No, never","2005","66 and older","(1b) general elementary school","11","","",""
"No, never","2005","66 and older","(1c) basic vocational qualification","30","0.6540402549835","0.508436965596267","0.799643544370733"
"No, never","2005","66 and older","(2b) intermediate general qualification","","","",""
"No, never","2005","66 and older","(2a) intermediate vocational","11","","",""
"No, never","2005","66 and older","(2c_gen) general maturity certificate","","","",""
"No, never","2005","66 and older","(2c_voc) vocational maturity certificate","2","","",""
"No, never","2005","66 and older","(3a) lower tertiary education","13","","",""
"No, never","2005","66 and older","(3b) higher tertiary education","24","","",""
"Yes, every week","2005","16-34 y.","(0) in school","8","","",""
"Yes, every week","2005","16-34 y.","(1a) inadequately completed","3","","",""
"Yes, every week","2005","16-34 y.","(1b) general elementary school","9","","",""
"Yes, every week","2005","16-34 y.","(1c) basic vocational qualification","30","0.108560661197778","0.078300780474835","0.138820541920722"
"Yes, every week","2005","16-34 y.","(2b) intermediate general qualification","15","","",""
"Yes, every week","2005","16-34 y.","(2a) intermediate vocational","33","0.035891607048406","0.0232592330729879","0.0485239810238241"
"Yes, every week","2005","16-34 y.","(2c_gen) general maturity certificate","22","","",""
"Yes, every week","2005","16-34 y.","(2c_voc) vocational maturity certificate","11","","",""
"Yes, every week","2005","16-34 y.","(3a) lower tertiary education","8","","",""
"Yes, every week","2005","16-34 y.","(3b) higher tertiary education","25","","",""
"Yes, every week","2005","35-65 y.","(0) in school","","","",""
"Yes, every week","2005","35-65 y.","(1a) inadequately completed","2","","",""
"Yes, every week","2005","35-65 y.","(1b) general elementary school","19","","",""
"Yes, every week","2005","35-65 y.","(1c) basic vocational qualification","101","0.0493256275111275","0.0397118432009109","0.0589394118213442"
"Yes, every week","2005","35-65 y.","(2b) intermediate general qualification","4","","",""
"Yes, every week","2005","35-65 y.","(2a) intermediate vocational","94","0.0479391344000594","0.0391603407368482","0.0567179280632705"
"Yes, every week","2005","35-65 y.","(2c_gen) general maturity certificate","7","","",""
"Yes, every week","2005","35-65 y.","(2c_voc) vocational maturity certificate","22","","",""
