"plb0219","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"No, never","2005","lower secondary degree","in school","","","",""
"No, never","2005","lower secondary degree","inadequately","","","",""
"No, never","2005","lower secondary degree","general elemantary","309","0.694503633906","0.650865467699956","0.738141800112043"
"No, never","2005","lower secondary degree","middle vocational","1346","0.651136703952238","0.630336917787816","0.671936490116661"
"No, never","2005","lower secondary degree","vocational + Abi","7","","",""
"No, never","2005","lower secondary degree","higher vocational","104","0.543300207095254","0.475605959400814","0.610994454789695"
"No, never","2005","lower secondary degree","higher education","20","","",""
"No, never","2005","secondary school degree","in school","","","",""
"No, never","2005","secondary school degree","inadequately","","","",""
"No, never","2005","secondary school degree","general elemantary","235","0.726948707402843","0.678210497104551","0.775686917701136"
"No, never","2005","secondary school degree","middle vocational","1682","0.612974744797979","0.594391594496686","0.631557895099273"
"No, never","2005","secondary school degree","vocational + Abi","11","","",""
"No, never","2005","secondary school degree","higher vocational","263","0.52885725788138","0.484201963224309","0.57351255253845"
"No, never","2005","secondary school degree","higher education","249","0.581920196792131","0.533522694123501","0.630317699460762"
"No, never","2005","college entrance qualification","in school","","","",""
"No, never","2005","college entrance qualification","inadequately","","","",""
"No, never","2005","college entrance qualification","general elemantary","","","",""
"No, never","2005","college entrance qualification","middle vocational","220","0.638105425992446","0.58641426295624","0.689796589028652"
"No, never","2005","college entrance qualification","vocational + Abi","435","0.684604204253407","0.648826841948037","0.720381566558777"
"No, never","2005","college entrance qualification","higher vocational","139","0.583506365583824","0.521266799973877","0.645745931193771"
"No, never","2005","college entrance qualification","higher education","1181","0.493798619523688","0.473208892625438","0.514388346421939"
"No, never","2005","Other degree","in school","","","",""
"No, never","2005","Other degree","inadequately","16","","",""
"No, never","2005","Other degree","general elemantary","94","0.734943506134288","0.657570532640744","0.812316479627831"
"No, never","2005","Other degree","middle vocational","143","0.736205764874152","0.674822815342664","0.797588714405639"
"No, never","2005","Other degree","vocational + Abi","50","0.715729488392921","0.609299526520688","0.822159450265154"
"No, never","2005","Other degree","higher vocational","15","","",""
"No, never","2005","Other degree","higher education","75","0.626254723031099","0.537053207524362","0.715456238537835"
"No, never","2005","no degree/no degree yet","in school","28","","",""
"No, never","2005","no degree/no degree yet","inadequately","37","0.740633260396962","0.621507642502809","0.859758878291115"
"No, never","2005","no degree/no degree yet","general elemantary","","","",""
"No, never","2005","no degree/no degree yet","middle vocational","12","","",""
"No, never","2005","no degree/no degree yet","vocational + Abi","","","",""
"No, never","2005","no degree/no degree yet","higher vocational","1","","",""
"No, never","2005","no degree/no degree yet","higher education","","","",""
"Yes, every week","2005","lower secondary degree","in school","","","",""
"Yes, every week","2005","lower secondary degree","inadequately","","","",""
"Yes, every week","2005","lower secondary degree","general elemantary","22","","",""
"Yes, every week","2005","lower secondary degree","middle vocational","115","0.0665668717416841","0.0556884517713598","0.0774452917120083"
"Yes, every week","2005","lower secondary degree","vocational + Abi","","","",""
"Yes, every week","2005","lower secondary degree","higher vocational","11","","",""
"Yes, every week","2005","lower secondary degree","higher education","3","","",""
