"plb0219","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"No, never","2005","16-34 y.","lower secondary degree","387","0.628145960381093","0.588914872518159","0.667377048244026"
"No, never","2005","16-34 y.","secondary school degree","747","0.649596768861944","0.621643086440822","0.677550451283067"
"No, never","2005","16-34 y.","college entrance qualification","625","0.620644754297329","0.590555602980665","0.650733905613993"
"No, never","2005","16-34 y.","Other degree","57","0.70597745399765","0.60854712236597","0.80340778562933"
"No, never","2005","16-34 y.","no degree/no degree yet","41","0.593153819806128","0.474638386023672","0.711669253588585"
"No, never","2005","35-65 y.","lower secondary degree","1360","0.653157205624805","0.632677946559356","0.673636464690253"
"No, never","2005","35-65 y.","secondary school degree","1680","0.593943769988487","0.575481329027852","0.612406210949122"
"No, never","2005","35-65 y.","college entrance qualification","1315","0.520440036241254","0.500597123763637","0.540282948718871"
"No, never","2005","35-65 y.","Other degree","332","0.690497467927772","0.648388873613266","0.732606062242278"
"No, never","2005","35-65 y.","no degree/no degree yet","35","0.774586989847647","0.661015059454006","0.888158920241287"
"No, never","2005","66 and older","lower secondary degree","39","0.677342353229894","0.550278647716789","0.804406058742999"
"No, never","2005","66 and older","secondary school degree","13","","",""
"No, never","2005","66 and older","college entrance qualification","35","0.690528696959393","0.564883041344639","0.816174352574147"
"No, never","2005","66 and older","Other degree","4","","",""
"No, never","2005","66 and older","no degree/no degree yet","2","","",""
"Yes, every week","2005","16-34 y.","lower secondary degree","37","0.0910590087329836","0.0677059851669738","0.114412032298993"
"Yes, every week","2005","16-34 y.","secondary school degree","49","0.0425120697414198","0.030691025939461","0.0543331135433786"
"Yes, every week","2005","16-34 y.","college entrance qualification","62","0.0525150601210722","0.0386827907373376","0.0663473295048069"
"Yes, every week","2005","16-34 y.","Other degree","4","","",""
"Yes, every week","2005","16-34 y.","no degree/no degree yet","11","","",""
"Yes, every week","2005","35-65 y.","lower secondary degree","107","0.0540671286329905","0.0443366130557661","0.0637976442102149"
"Yes, every week","2005","35-65 y.","secondary school degree","120","0.047534771243135","0.0395354408626656","0.0555341016236045"
"Yes, every week","2005","35-65 y.","college entrance qualification","206","0.0856060949483193","0.074493445546958","0.0967187443496806"
"Yes, every week","2005","35-65 y.","Other degree","27","","",""
"Yes, every week","2005","35-65 y.","no degree/no degree yet","2","","",""
"Yes, every week","2005","66 and older","lower secondary degree","7","","",""
"Yes, every week","2005","66 and older","secondary school degree","3","","",""
"Yes, every week","2005","66 and older","college entrance qualification","3","","",""
"Yes, every week","2005","66 and older","Other degree","1","","",""
"Yes, every week","2005","66 and older","no degree/no degree yet","","","",""
"Yes, every 2 weeks","2005","16-34 y.","lower secondary degree","42","0.050040568411882","0.0323424351771829","0.0677387016465811"
"Yes, every 2 weeks","2005","16-34 y.","secondary school degree","118","0.118375890972676","0.0994478177590956","0.137303964186257"
"Yes, every 2 weeks","2005","16-34 y.","college entrance qualification","94","0.107185014765931","0.0880021653137378","0.126367864218124"
"Yes, every 2 weeks","2005","16-34 y.","Other degree","8","","",""
"Yes, every 2 weeks","2005","16-34 y.","no degree/no degree yet","5","","",""
"Yes, every 2 weeks","2005","35-65 y.","lower secondary degree","188","0.0980659232118575","0.0852695912218332","0.110862255201882"
"Yes, every 2 weeks","2005","35-65 y.","secondary school degree","251","0.0974759618868793","0.0863252776300118","0.108626646143747"
"Yes, every 2 weeks","2005","35-65 y.","college entrance qualification","149","0.0695133690178557","0.0594118230191822","0.0796149150165292"
