"plb0219","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"No, never","2005","in school","Male","14","","",""
"No, never","2005","in school","Female","14","","",""
"No, never","2005","inadequately","Male","31","0.808129094552671","0.686100101055185","0.930158088050156"
"No, never","2005","inadequately","Female","22","","",""
"No, never","2005","general elemantary","Male","282","0.683798526017487","0.637942589403541","0.729654462631433"
"No, never","2005","general elemantary","Female","356","0.73533880176694","0.69583224199014","0.774845361543741"
"No, never","2005","middle vocational","Male","1627","0.588824410794015","0.570440815907426","0.607208005680603"
"No, never","2005","middle vocational","Female","1810","0.696132305126261","0.678099922135757","0.714164688116765"
"No, never","2005","vocational + Abi","Male","194","0.615637400322713","0.563233072714524","0.668041727930902"
"No, never","2005","vocational + Abi","Female","309","0.756612718989317","0.715276221169761","0.797949216808873"
"No, never","2005","higher vocational","Male","300","0.534856501953478","0.494087856159147","0.57562514774781"
"No, never","2005","higher vocational","Female","225","0.539727046657534","0.490323909157632","0.589130184157437"
"No, never","2005","higher education","Male","778","0.436012187385866","0.411774608093918","0.460249766677814"
"No, never","2005","higher education","Female","751","0.621373669893975","0.594211661697914","0.648535678090035"
"Yes, every week","2005","in school","Male","4","","",""
"Yes, every week","2005","in school","Female","4","","",""
"Yes, every week","2005","inadequately","Male","2","","",""
"Yes, every week","2005","inadequately","Female","1","","",""
"Yes, every week","2005","general elemantary","Male","29","","",""
"Yes, every week","2005","general elemantary","Female","19","","",""
"Yes, every week","2005","middle vocational","Male","163","0.0613736542985663","0.0524063638312845","0.0703409447658482"
"Yes, every week","2005","middle vocational","Female","97","0.0498519951645681","0.0413189928106293","0.0583849975185069"
"Yes, every week","2005","vocational + Abi","Male","12","","",""
"Yes, every week","2005","vocational + Abi","Female","11","","",""
"Yes, every week","2005","higher vocational","Male","28","","",""
"Yes, every week","2005","higher vocational","Female","18","","",""
"Yes, every week","2005","higher education","Male","151","0.089030402737576","0.0751108212006378","0.102949984274514"
"Yes, every week","2005","higher education","Female","102","0.0845923639949502","0.0690092986077471","0.100175429382153"
"Yes, every 2 weeks","2005","in school","Male","1","","",""
"Yes, every 2 weeks","2005","in school","Female","3","","",""
"Yes, every 2 weeks","2005","inadequately","Male","1","","",""
"Yes, every 2 weeks","2005","inadequately","Female","3","","",""
"Yes, every 2 weeks","2005","general elemantary","Male","23","","",""
"Yes, every 2 weeks","2005","general elemantary","Female","50","0.116487208125139","0.0877578532780335","0.145216562972244"
"Yes, every 2 weeks","2005","middle vocational","Male","212","0.0744809937756353","0.0646716652806343","0.0842903222706363"
"Yes, every 2 weeks","2005","middle vocational","Female","250","0.109559327631296","0.097313387368389","0.121805267894202"
"Yes, every 2 weeks","2005","vocational + Abi","Male","25","","",""
"Yes, every 2 weeks","2005","vocational + Abi","Female","28","","",""
"Yes, every 2 weeks","2005","higher vocational","Male","49","0.102752239929341","0.0779342839973889","0.127570195861292"
"Yes, every 2 weeks","2005","higher vocational","Female","61","0.190021207753869","0.151134822606636","0.228907592901103"
"Yes, every 2 weeks","2005","higher education","Male","112","0.0810231171458796","0.0676860039886871","0.0943602303030721"
"Yes, every 2 weeks","2005","higher education","Female","86","0.0788477534578767","0.0637559751694688","0.0939395317462847"
"Yes, every 3-4 weeks","2005","in school","Male","1","","",""
"Yes, every 3-4 weeks","2005","in school","Female","2","","",""
"Yes, every 3-4 weeks","2005","inadequately","Male","3","","",""
"Yes, every 3-4 weeks","2005","inadequately","Female","","","",""
"Yes, every 3-4 weeks","2005","general elemantary","Male","19","","",""
"Yes, every 3-4 weeks","2005","general elemantary","Female","19","","",""
"Yes, every 3-4 weeks","2005","middle vocational","Male","152","0.0584232408561372","0.0496604072799168","0.0671860744323576"
"Yes, every 3-4 weeks","2005","middle vocational","Female","93","0.0521816822670532","0.0434622832993371","0.0609010812347693"
"Yes, every 3-4 weeks","2005","vocational + Abi","Male","20","","",""
"Yes, every 3-4 weeks","2005","vocational + Abi","Female","16","","",""
"Yes, every 3-4 weeks","2005","higher vocational","Male","37","0.0641347256919325","0.0441099594115033","0.0841594919723618"
"Yes, every 3-4 weeks","2005","higher vocational","Female","32","0.0848305581744449","0.057212914006102","0.112448202342788"
"Yes, every 3-4 weeks","2005","higher education","Male","115","0.0815255823562019","0.0681508359621524","0.0949003287502515"
"Yes, every 3-4 weeks","2005","higher education","Female","52","0.0361781757971013","0.025721304637931","0.0466350469562716"
"Rarely","2005","in school","Male","2","","",""
"Rarely","2005","in school","Female","3","","",""
"Rarely","2005","inadequately","Male","3","","",""
"Rarely","2005","inadequately","Female","2","","",""
"Rarely","2005","general elemantary","Male","42","0.0996509897601862","0.0701119891870288","0.129189990333344"
"Rarely","2005","general elemantary","Female","35","0.0739136407939186","0.0504838519040745","0.0973434296837627"
"Rarely","2005","middle vocational","Male","598","0.216897700275646","0.201499832016975","0.232295568534318"
"Rarely","2005","middle vocational","Female","249","0.0922746898108219","0.0809276263833171","0.103621753238327"
"Rarely","2005","vocational + Abi","Male","80","0.228914064853701","0.183653317218996","0.274174812488407"
"Rarely","2005","vocational + Abi","Female","50","0.0966443694150131","0.0681823587699804","0.125106380060046"
"Rarely","2005","higher vocational","Male","161","0.25986721359717","0.224020880585056","0.295713546609283"
"Rarely","2005","higher vocational","Female","55","0.129325768023378","0.0960651671172905","0.162586368929466"
"Rarely","2005","higher education","Male","452","0.312408710374476","0.289755392502031","0.335062028246922"
"Rarely","2005","higher education","Female","234","0.179008036856097","0.157540324655909","0.200475749056285"
"No, never","2006","in school","Male","","","",""
"No, never","2006","in school","Female","","","",""
"No, never","2006","inadequately","Male","","","",""
"No, never","2006","inadequately","Female","","","",""
"No, never","2006","general elemantary","Male","","","",""
"No, never","2006","general elemantary","Female","","","",""
"No, never","2006","middle vocational","Male","","","",""
"No, never","2006","middle vocational","Female","","","",""
"No, never","2006","vocational + Abi","Male","","","",""
"No, never","2006","vocational + Abi","Female","","","",""
"No, never","2006","higher vocational","Male","","","",""
"No, never","2006","higher vocational","Female","","","",""
"No, never","2006","higher education","Male","","","",""
"No, never","2006","higher education","Female","","","",""
"Yes, every week","2006","in school","Male","","","",""
"Yes, every week","2006","in school","Female","","","",""
"Yes, every week","2006","inadequately","Male","","","",""
"Yes, every week","2006","inadequately","Female","","","",""
"Yes, every week","2006","general elemantary","Male","","","",""
"Yes, every week","2006","general elemantary","Female","","","",""
"Yes, every week","2006","middle vocational","Male","","","",""
"Yes, every week","2006","middle vocational","Female","","","",""
"Yes, every week","2006","vocational + Abi","Male","","","",""
"Yes, every week","2006","vocational + Abi","Female","","","",""
"Yes, every week","2006","higher vocational","Male","","","",""
"Yes, every week","2006","higher vocational","Female","","","",""
"Yes, every week","2006","higher education","Male","","","",""
"Yes, every week","2006","higher education","Female","","","",""
"Yes, every 2 weeks","2006","in school","Male","","","",""
"Yes, every 2 weeks","2006","in school","Female","","","",""
"Yes, every 2 weeks","2006","inadequately","Male","","","",""
"Yes, every 2 weeks","2006","inadequately","Female","","","",""
"Yes, every 2 weeks","2006","general elemantary","Male","","","",""
"Yes, every 2 weeks","2006","general elemantary","Female","","","",""
"Yes, every 2 weeks","2006","middle vocational","Male","","","",""
"Yes, every 2 weeks","2006","middle vocational","Female","","","",""
"Yes, every 2 weeks","2006","vocational + Abi","Male","","","",""
"Yes, every 2 weeks","2006","vocational + Abi","Female","","","",""
"Yes, every 2 weeks","2006","higher vocational","Male","","","",""
"Yes, every 2 weeks","2006","higher vocational","Female","","","",""
"Yes, every 2 weeks","2006","higher education","Male","","","",""
"Yes, every 2 weeks","2006","higher education","Female","","","",""
"Yes, every 3-4 weeks","2006","in school","Male","","","",""
"Yes, every 3-4 weeks","2006","in school","Female","","","",""
"Yes, every 3-4 weeks","2006","inadequately","Male","","","",""
"Yes, every 3-4 weeks","2006","inadequately","Female","","","",""
"Yes, every 3-4 weeks","2006","general elemantary","Male","","","",""
