"plb0219","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","Not Employed","in school","4","","","","1"
"No, never","2005","Not Employed","inadequately","3","","","","1"
"No, never","2005","Not Employed","general elemantary","21","","","","1"
"No, never","2005","Not Employed","middle vocational","53","0.785547051826746","0.687992902389973","0.88310120126352","1"
"No, never","2005","Not Employed","vocational + Abi","8","","","","1"
"No, never","2005","Not Employed","higher vocational","8","","","","1"
"No, never","2005","Not Employed","higher education","21","","","","1"
"No, never","2005","Employed","in school","24","","","","1"
"No, never","2005","Employed","inadequately","50","0.788157088535413","0.688821521797031","0.887492655273794","1"
"No, never","2005","Employed","general elemantary","617","0.712059510632938","0.68151125735933","0.742607763906547","1"
"No, never","2005","Employed","middle vocational","3384","0.635338958841537","0.622234927778801","0.648442989904272","1"
"No, never","2005","Employed","vocational + Abi","495","0.690384626139566","0.656983124005727","0.723786128273404","1"
"No, never","2005","Employed","higher vocational","517","0.535260447084487","0.503627926493794","0.566892967675181","1"
"No, never","2005","Employed","higher education","1508","0.5097480235135","0.49124483650214","0.52825121052486","1"
"Rarely","2005","Not Employed","higher education","4","","","","5"
"Rarely","2005","Not Employed","in school","","","","","5"
"Rarely","2005","Employed","higher vocational","215","0.213180732696419","0.187205594095189","0.239155871297649","5"
"Rarely","2005","Employed","higher education","682","0.258074141384052","0.241877999006818","0.274270283761286","5"
"Rarely","2005","Not Employed","inadequately","","","","","5"
"Rarely","2005","Not Employed","general elemantary","3","","","","5"
"Rarely","2005","Not Employed","middle vocational","4","","","","5"
"Rarely","2005","Not Employed","vocational + Abi","","","","","5"
"Rarely","2005","Not Employed","higher vocational","1","","","","5"
"Rarely","2005","Employed","in school","5","","","","5"
"Rarely","2005","Employed","inadequately","5","","","","5"
"Rarely","2005","Employed","general elemantary","74","0.0860742648868045","0.0671521801835377","0.104996349590071","5"
"Rarely","2005","Employed","middle vocational","843","0.161713827859165","0.151690147333326","0.171737508385004","5"
"Rarely","2005","Employed","vocational + Abi","130","0.160300606127942","0.133794942272241","0.186806269983642","5"
"Yes, every 2 weeks","2005","Not Employed","higher education","2","","","","3"
"Yes, every 2 weeks","2005","Employed","in school","4","","","","3"
"Yes, every 2 weeks","2005","Employed","general elemantary","71","0.0882114605548485","0.0690783122098358","0.107344608899861","3"
"Yes, every 2 weeks","2005","Employed","higher vocational","110","0.135572788770032","0.11386093602427","0.157284641515795","3"
"Yes, every 2 weeks","2005","Employed","higher education","196","0.0806470141304958","0.0705685494497513","0.0907254788112403","3"
"Yes, every 2 weeks","2005","Employed","inadequately","4","","","","3"
"Yes, every 2 weeks","2005","Not Employed","in school","","","","","3"
"Yes, every 2 weeks","2005","Not Employed","inadequately","","","","","3"
"Yes, every 2 weeks","2005","Not Employed","general elemantary","2","","","","3"
"Yes, every 2 weeks","2005","Not Employed","middle vocational","5","","","","3"
"Yes, every 2 weeks","2005","Not Employed","vocational + Abi","","","","","3"
"Yes, every 2 weeks","2005","Not Employed","higher vocational","","","","","3"
"Yes, every 2 weeks","2005","Employed","middle vocational","457","0.0907451210179562","0.0829250274629057","0.0985652145730068","3"
"Yes, every 2 weeks","2005","Employed","vocational + Abi","53","0.0770265444475607","0.0577635412428819","0.0962895476522395","3"
"Yes, every 3-4 weeks","2005","Employed","higher vocational","69","0.0723053358016812","0.0558792491965764","0.088731422406786","4"
"Yes, every 3-4 weeks","2005","Employed","higher education","165","0.0634701230104742","0.0544460089752222","0.0724942370457262","4"
"Yes, every 3-4 weeks","2005","Not Employed","in school","1","","","","4"
"Yes, every 3-4 weeks","2005","Not Employed","higher education","2","","","","4"
"Yes, every 3-4 weeks","2005","Employed","in school","2","","","","4"
"Yes, every 3-4 weeks","2005","Employed","inadequately","3","","","","4"
"Yes, every 3-4 weeks","2005","Employed","general elemantary","35","0.0391076351539508","0.0260295242348629","0.0521857460730387","4"
"Yes, every 3-4 weeks","2005","Employed","middle vocational","245","0.0563480157021874","0.0500702843189297","0.062625747085445","4"
"Yes, every 3-4 weeks","2005","Employed","vocational + Abi","36","0.0469692549003316","0.0316841129984323","0.0622543968022308","4"
"Yes, every 3-4 weeks","2005","Not Employed","inadequately","","","","","4"
"Yes, every 3-4 weeks","2005","Not Employed","middle vocational","","","","","4"
"Yes, every 3-4 weeks","2005","Not Employed","general elemantary","3","","","","4"
"Yes, every 3-4 weeks","2005","Not Employed","vocational + Abi","","","","","4"
"Yes, every 3-4 weeks","2005","Not Employed","higher vocational","","","","","4"
"Yes, every week","2005","Not Employed","in school","","","","","2"
"Yes, every week","2005","Not Employed","inadequately","","","","","2"
"Yes, every week","2005","Not Employed","general elemantary","1","","","","2"
"Yes, every week","2005","Not Employed","middle vocational","6","","","","2"
"Yes, every week","2005","Not Employed","vocational + Abi","1","","","","2"
"Yes, every week","2005","Not Employed","higher education","","","","","2"
"Yes, every week","2005","Employed","in school","8","","","","2"
"Yes, every week","2005","Employed","inadequately","3","","","","2"
"Yes, every week","2005","Employed","general elemantary","47","0.0745471287714578","0.0568268935786762","0.0922673639642394","2"
"Yes, every week","2005","Employed","middle vocational","254","0.0558540765791547","0.049602285077112","0.0621058680811974","2"
"Yes, every week","2005","Employed","higher vocational","44","0.0436806956473803","0.0307180801312658","0.0566433111634947","2"
"Yes, every week","2005","Employed","higher education","253","0.0880606979614787","0.0775717214100622","0.0985496745128951","2"
"Yes, every week","2005","Employed","vocational + Abi","22","","","","2"
"Yes, every week","2005","Not Employed","higher vocational","2","","","","2"
"No, never","2006","Not Employed","in school","","","","","1"
"No, never","2006","Not Employed","inadequately","","","","","1"
"No, never","2006","Not Employed","general elemantary","","","","","1"
"No, never","2006","Not Employed","middle vocational","","","","","1"
"No, never","2006","Not Employed","vocational + Abi","","","","","1"
"No, never","2006","Not Employed","higher vocational","","","","","1"
"No, never","2006","Not Employed","higher education","","","","","1"
"No, never","2006","Employed","in school","","","","","1"
"No, never","2006","Employed","inadequately","","","","","1"
"No, never","2006","Employed","general elemantary","","","","","1"
"No, never","2006","Employed","middle vocational","","","","","1"
"No, never","2006","Employed","vocational + Abi","","","","","1"
"No, never","2006","Employed","higher vocational","","","","","1"
"No, never","2006","Employed","higher education","","","","","1"
"Rarely","2006","Not Employed","higher education","","","","","5"
"Rarely","2006","Not Employed","in school","","","","","5"
"Rarely","2006","Not Employed","vocational + Abi","","","","","5"
"Rarely","2006","Not Employed","higher vocational","","","","","5"
"Rarely","2006","Employed","in school","","","","","5"
"Rarely","2006","Employed","inadequately","","","","","5"
"Rarely","2006","Employed","general elemantary","","","","","5"
"Rarely","2006","Employed","middle vocational","","","","","5"
"Rarely","2006","Employed","higher vocational","","","","","5"
"Rarely","2006","Employed","higher education","","","","","5"
"Rarely","2006","Employed","vocational + Abi","","","","","5"
"Rarely","2006","Not Employed","inadequately","","","","","5"
"Rarely","2006","Not Employed","general elemantary","","","","","5"
"Rarely","2006","Not Employed","middle vocational","","","","","5"
"Yes, every 2 weeks","2006","Employed","in school","","","","","3"
"Yes, every 2 weeks","2006","Not Employed","higher education","","","","","3"
"Yes, every 2 weeks","2006","Employed","inadequately","","","","","3"
"Yes, every 2 weeks","2006","Employed","general elemantary","","","","","3"
"Yes, every 2 weeks","2006","Not Employed","in school","","","","","3"
"Yes, every 2 weeks","2006","Not Employed","inadequately","","","","","3"
"Yes, every 2 weeks","2006","Not Employed","vocational + Abi","","","","","3"
"Yes, every 2 weeks","2006","Not Employed","higher vocational","","","","","3"
"Yes, every 2 weeks","2006","Employed","vocational + Abi","","","","","3"
"Yes, every 2 weeks","2006","Employed","higher vocational","","","","","3"
"Yes, every 2 weeks","2006","Employed","higher education","","","","","3"
"Yes, every 2 weeks","2006","Not Employed","general elemantary","","","","","3"
"Yes, every 2 weeks","2006","Not Employed","middle vocational","","","","","3"
"Yes, every 2 weeks","2006","Employed","middle vocational","","","","","3"
"Yes, every 3-4 weeks","2006","Employed","vocational + Abi","","","","","4"
"Yes, every 3-4 weeks","2006","Employed","higher vocational","","","","","4"
"Yes, every 3-4 weeks","2006","Not Employed","inadequately","","","","","4"
"Yes, every 3-4 weeks","2006","Not Employed","in school","","","","","4"
"Yes, every 3-4 weeks","2006","Not Employed","higher education","","","","","4"
