"plb0219","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No, never","2005","no migration background","(0) in school","21","","",""
"No, never","2005","no migration background","(1a) inadequately completed","18","","",""
"No, never","2005","no migration background","(1b) general elementary school","217","0.668354126328932","0.615944886557998","0.720763366099865"
"No, never","2005","no migration background","(1c) basic vocational qualification","1255","0.647246009958096","0.625994287448223","0.668497732467968"
"No, never","2005","no migration background","(2b) intermediate general qualification","186","0.717284610650343","0.662013463027833","0.772555758272852"
"No, never","2005","no migration background","(2a) intermediate vocational","1822","0.59519041146832","0.577444363280461","0.61293645965618"
"No, never","2005","no migration background","(2c_gen) general maturity certificate","178","0.632701897219727","0.575517746116684","0.689886048322771"
"No, never","2005","no migration background","(2c_voc) vocational maturity certificate","525","0.660257676654857","0.627600851087876","0.692914502221837"
"No, never","2005","no migration background","(3a) lower tertiary education","595","0.567364988618764","0.536795047286288","0.597934929951239"
"No, never","2005","no migration background","(3b) higher tertiary education","772","0.45094313610568","0.426290664170659","0.475595608040701"
"No, never","2005","direct migration background","(0) in school","4","","",""
"No, never","2005","direct migration background","(1a) inadequately completed","29","","",""
"No, never","2005","direct migration background","(1b) general elementary school","157","0.761179759375654","0.702528241823928","0.81983127692738"
"No, never","2005","direct migration background","(1c) basic vocational qualification","257","0.676515454158677","0.62805670413936","0.724974204177994"
"No, never","2005","direct migration background","(2b) intermediate general qualification","16","","",""
"No, never","2005","direct migration background","(2a) intermediate vocational","67","0.753259186582585","0.663692645613743","0.842825727551427"
"No, never","2005","direct migration background","(2c_gen) general maturity certificate","34","0.601054895754191","0.47044837796182","0.731661413546561"
"No, never","2005","direct migration background","(2c_voc) vocational maturity certificate","104","0.661455599382444","0.58858560267048","0.734325596094409"
"No, never","2005","direct migration background","(3a) lower tertiary education","28","","",""
"No, never","2005","direct migration background","(3b) higher tertiary education","104","0.601771095681763","0.527301996853452","0.676240194510074"
"No, never","2005","indirect migration background","(0) in school","3","","",""
"No, never","2005","indirect migration background","(1a) inadequately completed","3","","",""
"No, never","2005","indirect migration background","(1b) general elementary school","45","0.852717720043302","0.759899770359881","0.945535669726723"
"No, never","2005","indirect migration background","(1c) basic vocational qualification","63","0.534752799619466","0.434975696154628","0.634529903084304"
"No, never","2005","indirect migration background","(2b) intermediate general qualification","33","0.725008413150332","0.591550266356975","0.858466559943689"
"No, never","2005","indirect migration background","(2a) intermediate vocational","60","0.618601955779362","0.520409292527477","0.716794619031247"
"No, never","2005","indirect migration background","(2c_gen) general maturity certificate","26","","",""
"No, never","2005","indirect migration background","(2c_voc) vocational maturity certificate","24","","",""
"No, never","2005","indirect migration background","(3a) lower tertiary education","7","","",""
"No, never","2005","indirect migration background","(3b) higher tertiary education","23","","",""
"Yes, every week","2005","no migration background","(0) in school","7","","",""
"Yes, every week","2005","no migration background","(1a) inadequately completed","3","","",""
"Yes, every week","2005","no migration background","(1b) general elementary school","17","","",""
"Yes, every week","2005","no migration background","(1c) basic vocational qualification","110","0.0629823464904622","0.0521777940128664","0.073786898968058"
"Yes, every week","2005","no migration background","(2b) intermediate general qualification","15","","",""
"Yes, every week","2005","no migration background","(2a) intermediate vocational","120","0.0476495740891705","0.0399480584845975","0.0553510896937435"
"Yes, every week","2005","no migration background","(2c_gen) general maturity certificate","22","","",""
"Yes, every week","2005","no migration background","(2c_voc) vocational maturity certificate","25","","",""
"Yes, every week","2005","no migration background","(3a) lower tertiary education","59","0.0539755282846741","0.0400326593749558","0.0679183971943924"
"Yes, every week","2005","no migration background","(3b) higher tertiary education","177","0.11741786111341","0.10146878356518","0.13336693866164"
"Yes, every week","2005","direct migration background","(0) in school","1","","",""
"Yes, every week","2005","direct migration background","(1a) inadequately completed","1","","",""
"Yes, every week","2005","direct migration background","(1b) general elementary school","11","","",""
"Yes, every week","2005","direct migration background","(1c) basic vocational qualification","18","","",""
"Yes, every week","2005","direct migration background","(2b) intermediate general qualification","1","","",""
