"plb0219","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"No, never","2005","16-34 y.","in school","28","","",""
"No, never","2005","16-34 y.","inadequately","22","","",""
"No, never","2005","16-34 y.","general elemantary","343","0.741299545645938","0.701453560984391","0.781145530307485"
"No, never","2005","16-34 y.","middle vocational","955","0.621641345648753","0.596739009158814","0.646543682138692"
"No, never","2005","16-34 y.","vocational + Abi","213","0.716456341371804","0.666603708245733","0.766308974497875"
"No, never","2005","16-34 y.","higher vocational","85","0.480546381469302","0.403846387031538","0.557246375907065"
"No, never","2005","16-34 y.","higher education","241","0.535936504366593","0.488523333672308","0.583349675060879"
"No, never","2005","35-65 y.","in school","","","",""
"No, never","2005","35-65 y.","inadequately","30","0.787787744025405","0.662633378238967","0.912942109811843"
"No, never","2005","35-65 y.","general elemantary","284","0.674113117920444","0.628065583228001","0.720160652612888"
"No, never","2005","35-65 y.","middle vocational","2445","0.643705007897294","0.628366946106795","0.659043069687792"
"No, never","2005","35-65 y.","vocational + Abi","288","0.666453874215303","0.621838715357001","0.711069033073606"
"No, never","2005","35-65 y.","higher vocational","435","0.545453409491827","0.510862690453732","0.580044128529921"
"No, never","2005","35-65 y.","higher education","1251","0.50083434782552","0.480618891015438","0.521049804635601"
"No, never","2005","66 and older","in school","","","",""
"No, never","2005","66 and older","inadequately","1","","",""
"No, never","2005","66 and older","general elemantary","11","","",""
"No, never","2005","66 and older","middle vocational","37","0.637970179685632","0.503408186026016","0.772532173345248"
"No, never","2005","66 and older","vocational + Abi","2","","",""
"No, never","2005","66 and older","higher vocational","5","","",""
"No, never","2005","66 and older","higher education","37","0.651052033576658","0.528386576913938","0.773717490239378"
"Yes, every week","2005","16-34 y.","in school","8","","",""
"Yes, every week","2005","16-34 y.","inadequately","2","","",""
"Yes, every week","2005","16-34 y.","general elemantary","24","","",""
"Yes, every week","2005","16-34 y.","middle vocational","84","0.0667192180247491","0.053906243861878","0.0795321921876202"
"Yes, every week","2005","16-34 y.","vocational + Abi","8","","",""
"Yes, every week","2005","16-34 y.","higher vocational","6","","",""
"Yes, every week","2005","16-34 y.","higher education","33","0.0655159554011553","0.0419918503255031","0.0890400604768074"
"Yes, every week","2005","35-65 y.","in school","","","",""
"Yes, every week","2005","35-65 y.","inadequately","1","","",""
"Yes, every week","2005","35-65 y.","general elemantary","23","","",""
"Yes, every week","2005","35-65 y.","middle vocational","170","0.0478574352476959","0.0410207138814293","0.0546941566139625"
"Yes, every week","2005","35-65 y.","vocational + Abi","15","","",""
"Yes, every week","2005","35-65 y.","higher vocational","40","0.0462771204858559","0.0316827347125197","0.0608715062591921"
"Yes, every week","2005","35-65 y.","higher education","213","0.0909805353573594","0.0793533393080409","0.102607731406678"
"Yes, every week","2005","66 and older","in school","","","",""
"Yes, every week","2005","66 and older","inadequately","","","",""
"Yes, every week","2005","66 and older","general elemantary","1","","",""
"Yes, every week","2005","66 and older","middle vocational","6","","",""
"Yes, every week","2005","66 and older","vocational + Abi","","","",""
"Yes, every week","2005","66 and older","higher vocational","","","",""
"Yes, every week","2005","66 and older","higher education","7","","",""
"Yes, every 2 weeks","2005","16-34 y.","in school","4","","",""
"Yes, every 2 weeks","2005","16-34 y.","inadequately","1","","",""
