"plb0219","year","age_gr","n","percent","lower_confidence","upper_confidence"
"No, never","2005","16-34 y.","1986","0.637511299912304","0.62039185675617","0.654630743068438"
"No, never","2005","35-65 y.","4738","0.603868522291839","0.592993542601721","0.614743501981957"
"No, never","2005","66 and older","93","0.677725746463449","0.597077851939933","0.758373640986964"
"Yes, every week","2005","16-34 y.","170","0.0584687228701581","0.0501131230093347","0.0668243227309814"
"Yes, every week","2005","35-65 y.","463","0.0594616318565618","0.0542033452749013","0.0647199184382223"
"Yes, every week","2005","66 and older","14","","",""
"Yes, every 2 weeks","2005","16-34 y.","284","0.0989434120612206","0.0883101154387942","0.109576708683647"
"Yes, every 2 weeks","2005","35-65 y.","630","0.0903989125268667","0.0840229659413196","0.0967748591124138"
"Yes, every 2 weeks","2005","66 and older","5","","",""
"Yes, every 3-4 weeks","2005","16-34 y.","159","0.0589604815733665","0.0505720088579845","0.0673489542887484"
"Yes, every 3-4 weeks","2005","35-65 y.","411","0.0568363347411644","0.051688268290745","0.0619844011915839"
"Yes, every 3-4 weeks","2005","66 and older","","","",""
"Rarely","2005","16-34 y.","430","0.146116083582951","0.133537061412094","0.158695105753808"
"Rarely","2005","35-65 y.","1528","0.189434598583568","0.180721727991734","0.198147469175402"
"Rarely","2005","66 and older","17","","",""
"No, never","2006","16-34 y.","","","",""
"No, never","2006","35-65 y.","","","",""
"No, never","2006","66 and older","","","",""
"Yes, every week","2006","16-34 y.","","","",""
"Yes, every week","2006","35-65 y.","","","",""
"Yes, every week","2006","66 and older","","","",""
"Yes, every 2 weeks","2006","16-34 y.","","","",""
"Yes, every 2 weeks","2006","35-65 y.","","","",""
"Yes, every 2 weeks","2006","66 and older","","","",""
"Yes, every 3-4 weeks","2006","16-34 y.","","","",""
"Yes, every 3-4 weeks","2006","35-65 y.","","","",""
"Yes, every 3-4 weeks","2006","66 and older","","","",""
"Rarely","2006","16-34 y.","","","",""
"Rarely","2006","35-65 y.","","","",""
"Rarely","2006","66 and older","","","",""
"No, never","2007","16-34 y.","1884","0.630000613151933","0.612428658236462","0.647572568067404"
"No, never","2007","35-65 y.","4796","0.59394852919214","0.583211946918097","0.604685111466184"
"No, never","2007","66 and older","103","0.62180101931781","0.54825219290424","0.69534984573138"
"Yes, every week","2007","16-34 y.","157","0.0488812635124938","0.0410336488081199","0.0567288782168677"
"Yes, every week","2007","35-65 y.","554","0.0662024569464965","0.0607666437445143","0.0716382701484787"
"Yes, every week","2007","66 and older","16","","",""
"Yes, every 2 weeks","2007","16-34 y.","278","0.110863267590041","0.0994363997180902","0.122290135461992"
"Yes, every 2 weeks","2007","35-65 y.","663","0.0860506234846911","0.0799195123552616","0.0921817346141205"
"Yes, every 2 weeks","2007","66 and older","6","","",""
"Yes, every 3-4 weeks","2007","16-34 y.","153","0.0553969734790838","0.0470713497826421","0.0637225971755256"
