"plb0219","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","in school","Urban Area","22","","","","1"
"No, never","2005","in school","Rural Area","6","","","","1"
"No, never","2005","inadequately","Urban Area","43","0.820332694993133","0.720668261974859","0.919997128011407","1"
"No, never","2005","inadequately","Rural Area","10","","","","1"
"No, never","2005","general elemantary","Urban Area","458","0.722775843856807","0.687427010524003","0.758124677189612","1"
"No, never","2005","general elemantary","Rural Area","180","0.68234328000528","0.625534073783849","0.739152486226711","1"
"No, never","2005","middle vocational","Urban Area","2288","0.655298512566759","0.639301997995622","0.671295027137895","1"
"No, never","2005","middle vocational","Rural Area","1149","0.601876758748343","0.579630644091795","0.62412287340489","1"
"No, never","2005","vocational + Abi","Urban Area","391","0.682526920258617","0.644676267804827","0.720377572712407","1"
"No, never","2005","vocational + Abi","Rural Area","112","0.724881286199491","0.656534251470801","0.793228320928182","1"
"No, never","2005","higher vocational","Urban Area","354","0.554978664881305","0.516233446599974","0.593723883162635","1"
"No, never","2005","higher vocational","Rural Area","171","0.49569909817665","0.442078853128227","0.549319343225073","1"
"No, never","2005","higher education","Urban Area","1106","0.507210125496283","0.485568194611751","0.528852056380815","1"
"No, never","2005","higher education","Rural Area","423","0.522919547828076","0.48793466211025","0.557904433545903","1"
"Rarely","2005","middle vocational","Urban Area","527","0.158765195997445","0.146464761172406","0.171065630822484","5"
"Rarely","2005","in school","Urban Area","5","","","","5"
"Rarely","2005","higher education","Urban Area","510","0.268951477806718","0.249756782184728","0.288146173428708","5"
"Rarely","2005","higher education","Rural Area","176","0.225783778904332","0.196498813732913","0.255068744075751","5"
"Rarely","2005","in school","Rural Area","","","","","5"
"Rarely","2005","inadequately","Urban Area","5","","","","5"
"Rarely","2005","inadequately","Rural Area","","","","","5"
"Rarely","2005","general elemantary","Urban Area","49","0.0799458313209383","0.0585286484412472","0.101363014200629","5"
"Rarely","2005","general elemantary","Rural Area","28","","","","5"
"Rarely","2005","middle vocational","Rural Area","320","0.164125019059741","0.147292478220508","0.180957559898974","5"
"Rarely","2005","vocational + Abi","Urban Area","102","0.156369709226176","0.126836378996955","0.185903039455396","5"
"Rarely","2005","vocational + Abi","Rural Area","28","","","","5"
"Rarely","2005","higher vocational","Urban Area","133","0.195346845293611","0.164436980022761","0.226256710564461","5"
"Rarely","2005","higher vocational","Rural Area","83","0.251456136434595","0.204928112949727","0.297984159919464","5"
"Yes, every 2 weeks","2005","middle vocational","Urban Area","283","0.0856990137128755","0.0762775863936631","0.0951204410320878","3"
"Yes, every 2 weeks","2005","middle vocational","Rural Area","179","0.0994842531181033","0.0858818874215953","0.113086618814611","3"
"Yes, every 2 weeks","2005","vocational + Abi","Rural Area","9","","","","3"
"Yes, every 2 weeks","2005","higher education","Urban Area","139","0.0796330614233706","0.0679138504857427","0.0913522723609986","3"
"Yes, every 2 weeks","2005","higher education","Rural Area","59","0.0817188479757662","0.0625314464919886","0.100906249459544","3"
"Yes, every 2 weeks","2005","vocational + Abi","Urban Area","44","0.0880325617509983","0.0649931513500878","0.111071972151909","3"
"Yes, every 2 weeks","2005","in school","Urban Area","3","","","","3"
"Yes, every 2 weeks","2005","in school","Rural Area","1","","","","3"
"Yes, every 2 weeks","2005","inadequately","Urban Area","3","","","","3"
"Yes, every 2 weeks","2005","inadequately","Rural Area","1","","","","3"
"Yes, every 2 weeks","2005","general elemantary","Urban Area","51","0.0960613720276883","0.0727910924910011","0.119331651564376","3"
"Yes, every 2 weeks","2005","general elemantary","Rural Area","22","","","","3"
"Yes, every 2 weeks","2005","higher vocational","Urban Area","73","0.146260428471044","0.118710804311116","0.173810052630971","3"
"Yes, every 2 weeks","2005","higher vocational","Rural Area","37","0.107538891418217","0.0743148633488203","0.140762919487614","3"
"Yes, every 3-4 weeks","2005","higher education","Urban Area","117","0.0615311820028635","0.0511288978490495","0.0719334661566775","4"
"Yes, every 3-4 weeks","2005","higher education","Rural Area","50","0.0682357014001801","0.0505742629137511","0.0858971398866091","4"
"Yes, every 3-4 weeks","2005","in school","Urban Area","3","","","","4"
"Yes, every 3-4 weeks","2005","middle vocational","Urban Area","144","0.0528190360070965","0.0452907534309652","0.0603473185832278","4"
"Yes, every 3-4 weeks","2005","middle vocational","Rural Area","101","0.0610920182118682","0.0502078468507392","0.0719761895729971","4"
"Yes, every 3-4 weeks","2005","vocational + Abi","Urban Area","26","","","","4"
"Yes, every 3-4 weeks","2005","vocational + Abi","Rural Area","10","","","","4"
"Yes, every 3-4 weeks","2005","higher vocational","Urban Area","47","0.0711887664301282","0.0511413221393535","0.091236210720903","4"
"Yes, every 3-4 weeks","2005","higher vocational","Rural Area","22","","","","4"
"Yes, every 3-4 weeks","2005","in school","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2005","inadequately","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2005","inadequately","Urban Area","3","","","","4"
"Yes, every 3-4 weeks","2005","general elemantary","Urban Area","25","","","","4"
"Yes, every 3-4 weeks","2005","general elemantary","Rural Area","13","","","","4"
"Yes, every week","2005","in school","Urban Area","5","","","","2"
"Yes, every week","2005","in school","Rural Area","3","","","","2"
"Yes, every week","2005","inadequately","Urban Area","3","","","","2"
"Yes, every week","2005","inadequately","Rural Area","","","","","2"
"Yes, every week","2005","general elemantary","Urban Area","33","0.0695422305395143","0.0494545230146219","0.0896299380644067","2"
"Yes, every week","2005","middle vocational","Urban Area","149","0.0474182417158248","0.0402649151915259","0.0545715682401236","2"
"Yes, every week","2005","middle vocational","Rural Area","111","0.0734219508619451","0.0615684787429942","0.085275422980896","2"
"Yes, every week","2005","vocational + Abi","Urban Area","18","","","","2"
"Yes, every week","2005","vocational + Abi","Rural Area","5","","","","2"
"Yes, every week","2005","higher vocational","Urban Area","25","","","","2"
"Yes, every week","2005","higher education","Urban Area","178","0.0826741532707652","0.0707530114796884","0.094595295061842","2"
"Yes, every week","2005","higher education","Rural Area","75","0.101342123891645","0.0802043424367538","0.122479905346536","2"
"Yes, every week","2005","higher vocational","Rural Area","21","","","","2"
"Yes, every week","2005","general elemantary","Rural Area","15","","","","2"
"No, never","2006","in school","Urban Area","","","","","1"
"No, never","2006","in school","Rural Area","","","","","1"
"No, never","2006","inadequately","Urban Area","","","","","1"
"No, never","2006","inadequately","Rural Area","","","","","1"
"No, never","2006","general elemantary","Urban Area","","","","","1"
"No, never","2006","general elemantary","Rural Area","","","","","1"
"No, never","2006","middle vocational","Urban Area","","","","","1"
"No, never","2006","middle vocational","Rural Area","","","","","1"
"No, never","2006","vocational + Abi","Urban Area","","","","","1"
"No, never","2006","vocational + Abi","Rural Area","","","","","1"
"No, never","2006","higher vocational","Urban Area","","","","","1"
"No, never","2006","higher vocational","Rural Area","","","","","1"
"No, never","2006","higher education","Urban Area","","","","","1"
"No, never","2006","higher education","Rural Area","","","","","1"
"Rarely","2006","middle vocational","Urban Area","","","","","5"
"Rarely","2006","in school","Urban Area","","","","","5"
"Rarely","2006","general elemantary","Urban Area","","","","","5"
"Rarely","2006","general elemantary","Rural Area","","","","","5"
"Rarely","2006","middle vocational","Rural Area","","","","","5"
"Rarely","2006","vocational + Abi","Urban Area","","","","","5"
"Rarely","2006","vocational + Abi","Rural Area","","","","","5"
"Rarely","2006","higher vocational","Urban Area","","","","","5"
"Rarely","2006","higher education","Urban Area","","","","","5"
"Rarely","2006","higher education","Rural Area","","","","","5"
"Rarely","2006","higher vocational","Rural Area","","","","","5"
"Rarely","2006","in school","Rural Area","","","","","5"
"Rarely","2006","inadequately","Urban Area","","","","","5"
"Rarely","2006","inadequately","Rural Area","","","","","5"
"Yes, every 2 weeks","2006","middle vocational","Rural Area","","","","","3"
"Yes, every 2 weeks","2006","middle vocational","Urban Area","","","","","3"
