"plb0219","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","no migration background","in school","21","","","","1"
"No, never","2005","no migration background","inadequately","23","","","","1"
"No, never","2005","no migration background","general elemantary","389","0.67672272053903","0.63766874392517","0.715776697152889","1"
"No, never","2005","no migration background","middle vocational","2958","0.633590711706531","0.619613667517431","0.647567755895631","1"
"No, never","2005","no migration background","vocational + Abi","394","0.684547227323314","0.646955011726445","0.722139442920182","1"
"No, never","2005","no migration background","higher vocational","465","0.536134747671296","0.502863001707279","0.569406493635313","1"
"No, never","2005","no migration background","higher education","1367","0.501219754496254","0.481903961976778","0.52053554701573","1"
"No, never","2005","direct migration background","in school","4","","","","1"
"No, never","2005","direct migration background","inadequately","26","","","","1"
"No, never","2005","direct migration background","general elemantary","173","0.766284067977536","0.711110263848869","0.821457872106203","1"
"No, never","2005","direct migration background","middle vocational","341","0.685487936581308","0.643687821032553","0.727288052130062","1"
"No, never","2005","direct migration background","vocational + Abi","89","0.707674748064459","0.629489209749451","0.785860286379467","1"
"No, never","2005","direct migration background","higher vocational","41","0.57438157477756","0.459373223678699","0.68938992587642","1"
"No, never","2005","direct migration background","higher education","132","0.607829035941964","0.540994705800897","0.67466336608303","1"
"No, never","2005","indirect migration background","in school","3","","","","1"
"No, never","2005","indirect migration background","inadequately","4","","","","1"
"No, never","2005","indirect migration background","general elemantary","76","0.784697393644067","0.702900281230928","0.866494506057207","1"
"No, never","2005","indirect migration background","middle vocational","138","0.595370716600166","0.529300983791707","0.661440449408625","1"
"No, never","2005","indirect migration background","vocational + Abi","20","","","","1"
"No, never","2005","indirect migration background","higher vocational","19","","","","1"
"No, never","2005","indirect migration background","higher education","30","0.468108554742544","0.335021442180774","0.601195667304313","1"
"Rarely","2005","direct migration background","inadequately","4","","","","5"
"Rarely","2005","direct migration background","general elemantary","16","","","","5"
"Rarely","2005","direct migration background","middle vocational","57","0.128510383522026","0.098383157994621","0.158637609049432","5"
"Rarely","2005","direct migration background","vocational + Abi","16","","","","5"
"Rarely","2005","indirect migration background","in school","","","","","5"
"Rarely","2005","indirect migration background","inadequately","","","","","5"
"Rarely","2005","indirect migration background","vocational + Abi","2","","","","5"
"Rarely","2005","indirect migration background","higher vocational","5","","","","5"
"Rarely","2005","indirect migration background","higher education","15","","","","5"
"Rarely","2005","direct migration background","in school","","","","","5"
"Rarely","2005","indirect migration background","general elemantary","6","","","","5"
"Rarely","2005","indirect migration background","middle vocational","25","","","","5"
"Rarely","2005","direct migration background","higher vocational","8","","","","5"
"Rarely","2005","direct migration background","higher education","36","0.204448273357685","0.149240898664757","0.259655648050613","5"
"Rarely","2005","no migration background","in school","5","","","","5"
"Rarely","2005","no migration background","inadequately","1","","","","5"
"Rarely","2005","no migration background","general elemantary","55","0.102587091426448","0.0772524474214052","0.127921735431492","5"
"Rarely","2005","no migration background","middle vocational","765","0.165462373578867","0.154682832143056","0.176241915014678","5"
"Rarely","2005","no migration background","vocational + Abi","112","0.175421758780721","0.144654648646194","0.206188868915248","5"
"Rarely","2005","no migration background","higher vocational","203","0.220296593844769","0.192645564695957","0.247947622993582","5"
"Rarely","2005","no migration background","higher education","635","0.263023837865141","0.246015256369775","0.280032419360507","5"
"Yes, every 2 weeks","2005","direct migration background","in school","","","","","3"
"Yes, every 2 weeks","2005","direct migration background","vocational + Abi","11","","","","3"
"Yes, every 2 weeks","2005","direct migration background","higher vocational","15","","","","3"
"Yes, every 2 weeks","2005","direct migration background","higher education","12","","","","3"
"Yes, every 2 weeks","2005","indirect migration background","general elemantary","6","","","","3"
"Yes, every 2 weeks","2005","indirect migration background","middle vocational","20","","","","3"
"Yes, every 2 weeks","2005","indirect migration background","vocational + Abi","3","","","","3"
"Yes, every 2 weeks","2005","indirect migration background","higher vocational","4","","","","3"
"Yes, every 2 weeks","2005","indirect migration background","higher education","5","","","","3"
"Yes, every 2 weeks","2005","direct migration background","inadequately","3","","","","3"
"Yes, every 2 weeks","2005","direct migration background","general elemantary","14","","","","3"
"Yes, every 2 weeks","2005","direct migration background","middle vocational","33","0.0722263497098099","0.0489224946587605","0.0955302047608594","3"
"Yes, every 2 weeks","2005","indirect migration background","in school","","","","","3"
"Yes, every 2 weeks","2005","indirect migration background","inadequately","","","","","3"
"Yes, every 2 weeks","2005","no migration background","in school","4","","","","3"
"Yes, every 2 weeks","2005","no migration background","inadequately","1","","","","3"
"Yes, every 2 weeks","2005","no migration background","general elemantary","53","0.0966448115095841","0.0719735796418951","0.121316043377273","3"
"Yes, every 2 weeks","2005","no migration background","middle vocational","409","0.0921447628834492","0.0837545818795141","0.100534943887384","3"
"Yes, every 2 weeks","2005","no migration background","vocational + Abi","39","0.0739136451543762","0.0527487026344075","0.0950785876743449","3"
"Yes, every 2 weeks","2005","no migration background","higher vocational","91","0.121642407320707","0.0998341543517906","0.143450660289624","3"
"Yes, every 2 weeks","2005","no migration background","higher education","181","0.0814403545090326","0.0708741909655373","0.0920065180525279","3"
"Yes, every 3-4 weeks","2005","indirect migration background","middle vocational","11","","","","4"
"Yes, every 3-4 weeks","2005","indirect migration background","in school","","","","","4"
"Yes, every 3-4 weeks","2005","indirect migration background","inadequately","","","","","4"
"Yes, every 3-4 weeks","2005","indirect migration background","general elemantary","5","","","","4"
"Yes, every 3-4 weeks","2005","direct migration background","in school","","","","","4"
"Yes, every 3-4 weeks","2005","direct migration background","inadequately","2","","","","4"
"Yes, every 3-4 weeks","2005","direct migration background","vocational + Abi","10","","","","4"
"Yes, every 3-4 weeks","2005","direct migration background","higher vocational","7","","","","4"
"Yes, every 3-4 weeks","2005","direct migration background","higher education","9","","","","4"
"Yes, every 3-4 weeks","2005","indirect migration background","vocational + Abi","1","","","","4"
"Yes, every 3-4 weeks","2005","indirect migration background","higher vocational","2","","","","4"
"Yes, every 3-4 weeks","2005","indirect migration background","higher education","3","","","","4"
"Yes, every 3-4 weeks","2005","no migration background","vocational + Abi","25","","","","4"
"Yes, every 3-4 weeks","2005","no migration background","higher vocational","60","0.0735252186014086","0.0561120559550929","0.0909383812477244","4"
"Yes, every 3-4 weeks","2005","no migration background","higher education","155","0.0642956770121998","0.0548201358067239","0.0737712182176757","4"
"Yes, every 3-4 weeks","2005","direct migration background","general elemantary","11","","","","4"
"Yes, every 3-4 weeks","2005","direct migration background","middle vocational","20","","","","4"
"Yes, every 3-4 weeks","2005","no migration background","inadequately","1","","","","4"
"Yes, every 3-4 weeks","2005","no migration background","general elemantary","22","","","","4"
"Yes, every 3-4 weeks","2005","no migration background","middle vocational","214","0.0520427333757517","0.0455995257049987","0.0584859410465047","4"
"Yes, every 3-4 weeks","2005","no migration background","in school","3","","","","4"
"Yes, every week","2005","indirect migration background","vocational + Abi","2","","","","2"
"Yes, every week","2005","indirect migration background","middle vocational","18","","","","2"
"Yes, every week","2005","indirect migration background","general elemantary","4","","","","2"
"Yes, every week","2005","indirect migration background","in school","","","","","2"
"Yes, every week","2005","indirect migration background","inadequately","1","","","","2"
"Yes, every week","2005","direct migration background","in school","1","","","","2"
"Yes, every week","2005","direct migration background","inadequately","1","","","","2"
"Yes, every week","2005","direct migration background","general elemantary","12","","","","2"
"Yes, every week","2005","direct migration background","vocational + Abi","4","","","","2"
"Yes, every week","2005","direct migration background","higher vocational","","","","","2"
"Yes, every week","2005","direct migration background","higher education","16","","","","2"
"Yes, every week","2005","indirect migration background","higher vocational","2","","","","2"
"Yes, every week","2005","indirect migration background","higher education","1","","","","2"
"Yes, every week","2005","no migration background","in school","7","","","","2"
"Yes, every week","2005","no migration background","vocational + Abi","17","","","","2"
"Yes, every week","2005","no migration background","higher vocational","44","0.0484010325618189","0.0340825502417576","0.0627195148818802","2"
"Yes, every week","2005","no migration background","higher education","236","0.0900203761173726","0.0789635605558093","0.101077191678936","2"
"Yes, every week","2005","direct migration background","middle vocational","23","","","","2"
"Yes, every week","2005","no migration background","inadequately","1","","","","2"
"Yes, every week","2005","no migration background","general elemantary","32","0.0776850243996164","0.0553348675649032","0.10003518123433","2"
"Yes, every week","2005","no migration background","middle vocational","219","0.0567594184554009","0.0500473263508055","0.0634715105599963","2"
"No, never","2006","no migration background","in school","","","","","1"
"No, never","2006","no migration background","inadequately","","","","","1"
"No, never","2006","no migration background","general elemantary","","","","","1"
"No, never","2006","no migration background","middle vocational","","","","","1"
"No, never","2006","no migration background","vocational + Abi","","","","","1"
"No, never","2006","no migration background","higher vocational","","","","","1"
"No, never","2006","no migration background","higher education","","","","","1"
"No, never","2006","direct migration background","in school","","","","","1"
"No, never","2006","direct migration background","inadequately","","","","","1"
"No, never","2006","direct migration background","general elemantary","","","","","1"
"No, never","2006","direct migration background","middle vocational","","","","","1"
"No, never","2006","direct migration background","vocational + Abi","","","","","1"
"No, never","2006","direct migration background","higher vocational","","","","","1"
"No, never","2006","direct migration background","higher education","","","","","1"
"No, never","2006","indirect migration background","in school","","","","","1"
"No, never","2006","indirect migration background","inadequately","","","","","1"
"No, never","2006","indirect migration background","general elemantary","","","","","1"
"No, never","2006","indirect migration background","middle vocational","","","","","1"
"No, never","2006","indirect migration background","vocational + Abi","","","","","1"
"No, never","2006","indirect migration background","higher vocational","","","","","1"
"No, never","2006","indirect migration background","higher education","","","","","1"
"Rarely","2006","direct migration background","general elemantary","","","","","5"
"Rarely","2006","direct migration background","middle vocational","","","","","5"
"Rarely","2006","direct migration background","higher vocational","","","","","5"
"Rarely","2006","indirect migration background","vocational + Abi","","","","","5"
"Rarely","2006","direct migration background","in school","","","","","5"
"Rarely","2006","direct migration background","inadequately","","","","","5"
"Rarely","2006","direct migration background","vocational + Abi","","","","","5"
"Rarely","2006","indirect migration background","higher vocational","","","","","5"
"Rarely","2006","indirect migration background","higher education","","","","","5"
"Rarely","2006","no migration background","in school","","","","","5"
"Rarely","2006","no migration background","inadequately","","","","","5"
"Rarely","2006","no migration background","general elemantary","","","","","5"
"Rarely","2006","no migration background","middle vocational","","","","","5"
"Rarely","2006","no migration background","vocational + Abi","","","","","5"
"Rarely","2006","no migration background","higher vocational","","","","","5"
"Rarely","2006","no migration background","higher education","","","","","5"
"Rarely","2006","direct migration background","higher education","","","","","5"
"Rarely","2006","indirect migration background","in school","","","","","5"
"Rarely","2006","indirect migration background","inadequately","","","","","5"
"Rarely","2006","indirect migration background","general elemantary","","","","","5"
"Rarely","2006","indirect migration background","middle vocational","","","","","5"
"Yes, every 2 weeks","2006","no migration background","middle vocational","","","","","3"
"Yes, every 2 weeks","2006","no migration background","vocational + Abi","","","","","3"
"Yes, every 2 weeks","2006","direct migration background","vocational + Abi","","","","","3"
"Yes, every 2 weeks","2006","no migration background","inadequately","","","","","3"
"Yes, every 2 weeks","2006","no migration background","general elemantary","","","","","3"
"Yes, every 2 weeks","2006","indirect migration background","middle vocational","","","","","3"
"Yes, every 2 weeks","2006","indirect migration background","vocational + Abi","","","","","3"
"Yes, every 2 weeks","2006","indirect migration background","higher vocational","","","","","3"
"Yes, every 2 weeks","2006","indirect migration background","higher education","","","","","3"
"Yes, every 2 weeks","2006","direct migration background","middle vocational","","","","","3"
"Yes, every 2 weeks","2006","direct migration background","higher vocational","","","","","3"
"Yes, every 2 weeks","2006","direct migration background","higher education","","","","","3"
"Yes, every 2 weeks","2006","no migration background","in school","","","","","3"
"Yes, every 2 weeks","2006","direct migration background","in school","","","","","3"
"Yes, every 2 weeks","2006","direct migration background","inadequately","","","","","3"
"Yes, every 2 weeks","2006","direct migration background","general elemantary","","","","","3"
"Yes, every 2 weeks","2006","no migration background","higher vocational","","","","","3"
"Yes, every 2 weeks","2006","no migration background","higher education","","","","","3"
"Yes, every 2 weeks","2006","indirect migration background","in school","","","","","3"
"Yes, every 2 weeks","2006","indirect migration background","inadequately","","","","","3"
"Yes, every 2 weeks","2006","indirect migration background","general elemantary","","","","","3"
"Yes, every 3-4 weeks","2006","direct migration background","in school","","","","","4"
"Yes, every 3-4 weeks","2006","direct migration background","inadequately","","","","","4"
"Yes, every 3-4 weeks","2006","direct migration background","general elemantary","","","","","4"
"Yes, every 3-4 weeks","2006","direct migration background","middle vocational","","","","","4"
"Yes, every 3-4 weeks","2006","direct migration background","vocational + Abi","","","","","4"
"Yes, every 3-4 weeks","2006","direct migration background","higher vocational","","","","","4"
"Yes, every 3-4 weeks","2006","direct migration background","higher education","","","","","4"
"Yes, every 3-4 weeks","2006","indirect migration background","in school","","","","","4"
"Yes, every 3-4 weeks","2006","indirect migration background","inadequately","","","","","4"
"Yes, every 3-4 weeks","2006","indirect migration background","general elemantary","","","","","4"
"Yes, every 3-4 weeks","2006","indirect migration background","middle vocational","","","","","4"
"Yes, every 3-4 weeks","2006","indirect migration background","vocational + Abi","","","","","4"
"Yes, every 3-4 weeks","2006","indirect migration background","higher vocational","","","","","4"
"Yes, every 3-4 weeks","2006","indirect migration background","higher education","","","","","4"
"Yes, every 3-4 weeks","2006","no migration background","in school","","","","","4"
"Yes, every 3-4 weeks","2006","no migration background","inadequately","","","","","4"
"Yes, every 3-4 weeks","2006","no migration background","general elemantary","","","","","4"
"Yes, every 3-4 weeks","2006","no migration background","middle vocational","","","","","4"
"Yes, every 3-4 weeks","2006","no migration background","vocational + Abi","","","","","4"
"Yes, every 3-4 weeks","2006","no migration background","higher vocational","","","","","4"
"Yes, every 3-4 weeks","2006","no migration background","higher education","","","","","4"
"Yes, every week","2006","direct migration background","middle vocational","","","","","2"
"Yes, every week","2006","direct migration background","in school","","","","","2"
"Yes, every week","2006","indirect migration background","vocational + Abi","","","","","2"
"Yes, every week","2006","direct migration background","inadequately","","","","","2"
"Yes, every week","2006","direct migration background","general elemantary","","","","","2"
"Yes, every week","2006","no migration background","in school","","","","","2"
"Yes, every week","2006","no migration background","inadequately","","","","","2"
"Yes, every week","2006","direct migration background","vocational + Abi","","","","","2"
"Yes, every week","2006","direct migration background","higher vocational","","","","","2"
"Yes, every week","2006","direct migration background","higher education","","","","","2"
"Yes, every week","2006","indirect migration background","in school","","","","","2"
"Yes, every week","2006","indirect migration background","inadequately","","","","","2"
"Yes, every week","2006","indirect migration background","general elemantary","","","","","2"
"Yes, every week","2006","indirect migration background","middle vocational","","","","","2"
"Yes, every week","2006","indirect migration background","higher vocational","","","","","2"
"Yes, every week","2006","indirect migration background","higher education","","","","","2"
"Yes, every week","2006","no migration background","general elemantary","","","","","2"
"Yes, every week","2006","no migration background","middle vocational","","","","","2"
"Yes, every week","2006","no migration background","vocational + Abi","","","","","2"
"Yes, every week","2006","no migration background","higher vocational","","","","","2"
"Yes, every week","2006","no migration background","higher education","","","","","2"
"No, never","2007","no migration background","in school","14","","","","1"
"No, never","2007","no migration background","inadequately","26","","","","1"
"No, never","2007","no migration background","general elemantary","322","0.6590919075898","0.616774776497139","0.701409038682462","1"
"No, never","2007","no migration background","middle vocational","3086","0.631560075368764","0.61788801455501","0.645232136182519","1"
"No, never","2007","no migration background","vocational + Abi","402","0.639130002033667","0.601598775355525","0.676661228711808","1"
"No, never","2007","no migration background","higher vocational","450","0.509591004974032","0.475764494303526","0.543417515644538","1"
"No, never","2007","no migration background","higher education","1331","0.466281346558895","0.447341358705227","0.485221334412563","1"
"No, never","2007","direct migration background","in school","1","","","","1"
"No, never","2007","direct migration background","inadequately","18","","","","1"
"No, never","2007","direct migration background","general elemantary","128","0.704424661264535","0.637391536630525","0.771457785898545","1"
"No, never","2007","direct migration background","middle vocational","306","0.717990841190489","0.67500770480418","0.760973977576797","1"
"No, never","2007","direct migration background","vocational + Abi","93","0.668059628651736","0.58832750281778","0.747791754485692","1"
"No, never","2007","direct migration background","higher vocational","42","0.594980459358147","0.479152638608175","0.710808280108119","1"
"No, never","2007","direct migration background","higher education","124","0.574929693352415","0.508384312598517","0.641475074106313","1"
"No, never","2007","indirect migration background","in school","1","","","","1"
"No, never","2007","indirect migration background","inadequately","3","","","","1"
