"plb0219","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Not Employed","no migration background","96","0.782655911274928","0.710353557499928","0.854958265049929"
"No, never","2005","Not Employed","direct migration background","17","","",""
"No, never","2005","Not Employed","indirect migration background","15","","",""
"No, never","2005","Employed","no migration background","5595","0.600164569630688","0.590150308827521","0.610178830433855"
"No, never","2005","Employed","direct migration background","798","0.689652909032466","0.662714480225109","0.716591337839823"
"No, never","2005","Employed","indirect migration background","296","0.647220389047342","0.602368299562347","0.692072478532336"
"Yes, every week","2005","Not Employed","no migration background","9","","",""
"Yes, every week","2005","Not Employed","direct migration background","2","","",""
"Yes, every week","2005","Not Employed","indirect migration background","","","",""
"Yes, every week","2005","Employed","no migration background","553","0.0630726051112509","0.0581030622971951","0.0680421479253067"
"Yes, every week","2005","Employed","direct migration background","55","0.0476102562885004","0.0352111395005614","0.0600093730764394"
"Yes, every week","2005","Employed","indirect migration background","28","","",""
"Yes, every 2 weeks","2005","Not Employed","no migration background","6","","",""
"Yes, every 2 weeks","2005","Not Employed","direct migration background","3","","",""
"Yes, every 2 weeks","2005","Not Employed","indirect migration background","","","",""
"Yes, every 2 weeks","2005","Employed","no migration background","786","0.0939102108250316","0.0879469320964715","0.0998734895535916"
"Yes, every 2 weeks","2005","Employed","direct migration background","85","0.0829594770472871","0.0668989274654127","0.0990200266291615"
"Yes, every 2 weeks","2005","Employed","indirect migration background","39","0.0977121457323063","0.06984120182464","0.125583089639973"
"Yes, every 3-4 weeks","2005","Not Employed","no migration background","3","","",""
"Yes, every 3-4 weeks","2005","Not Employed","direct migration background","1","","",""
"Yes, every 3-4 weeks","2005","Not Employed","indirect migration background","2","","",""
"Yes, every 3-4 weeks","2005","Employed","no migration background","484","0.0563946484183075","0.0516788283360058","0.0611104685006092"
"Yes, every 3-4 weeks","2005","Employed","direct migration background","59","0.0545896429064577","0.0413615133219569","0.0678177724909584"
"Yes, every 3-4 weeks","2005","Employed","indirect migration background","21","","",""
"Rarely","2005","Not Employed","no migration background","11","","",""
"Rarely","2005","Not Employed","direct migration background","1","","",""
"Rarely","2005","Not Employed","indirect migration background","1","","",""
"Rarely","2005","Employed","no migration background","1774","0.186457966014722","0.178495940722431","0.194419991307013"
"Rarely","2005","Employed","direct migration background","136","0.125187714725289","0.105918171123289","0.144457258327288"
"Rarely","2005","Employed","indirect migration background","52","0.113741555762629","0.0839396098904865","0.143543501634772"
"No, never","2006","Not Employed","no migration background","","","",""
"No, never","2006","Not Employed","direct migration background","","","",""
"No, never","2006","Not Employed","indirect migration background","","","",""
"No, never","2006","Employed","no migration background","","","",""
"No, never","2006","Employed","direct migration background","","","",""
"No, never","2006","Employed","indirect migration background","","","",""
"Yes, every week","2006","Not Employed","no migration background","","","",""
"Yes, every week","2006","Not Employed","direct migration background","","","",""
"Yes, every week","2006","Not Employed","indirect migration background","","","",""
"Yes, every week","2006","Employed","no migration background","","","",""
"Yes, every week","2006","Employed","direct migration background","","","",""
"Yes, every week","2006","Employed","indirect migration background","","","",""
"Yes, every 2 weeks","2006","Not Employed","no migration background","","","",""
"Yes, every 2 weeks","2006","Not Employed","direct migration background","","","",""
