"plb0219","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","Schleswig-Holstein","in school","2","","","","1"
"No, never","2005","Schleswig-Holstein","inadequately","1","","","","1"
"No, never","2005","Schleswig-Holstein","general elemantary","10","","","","1"
"No, never","2005","Schleswig-Holstein","middle vocational","105","0.584598973935256","0.510738371997867","0.658459575872645","1"
"No, never","2005","Schleswig-Holstein","vocational + Abi","14","","","","1"
"No, never","2005","Schleswig-Holstein","higher vocational","17","","","","1"
"No, never","2005","Schleswig-Holstein","higher education","41","0.496908693712567","0.384499198215402","0.609318189209732","1"
"No, never","2005","Hamburg","in school","","","","","1"
"No, never","2005","Hamburg","inadequately","1","","","","1"
"No, never","2005","Hamburg","general elemantary","8","","","","1"
"No, never","2005","Hamburg","middle vocational","35","0.57383923779642","0.441942801397486","0.705735674195355","1"
"No, never","2005","Hamburg","vocational + Abi","13","","","","1"
"No, never","2005","Hamburg","higher vocational","9","","","","1"
"No, never","2005","Hamburg","higher education","36","0.537429120895942","0.409112227650528","0.665746014141356","1"
"No, never","2005","Lower Saxony","in school","4","","","","1"
"No, never","2005","Lower Saxony","inadequately","3","","","","1"
"No, never","2005","Lower Saxony","general elemantary","55","0.593692241956421","0.486067693625077","0.701316790287765","1"
"No, never","2005","Lower Saxony","middle vocational","307","0.593539273297668","0.550400534434057","0.63667801216128","1"
"No, never","2005","Lower Saxony","vocational + Abi","47","0.722224321604615","0.618040069145584","0.826408574063647","1"
"No, never","2005","Lower Saxony","higher vocational","31","0.498028529751071","0.38333120474166","0.612725854760482","1"
"No, never","2005","Lower Saxony","higher education","93","0.420578454054935","0.35250257834206","0.48865432976781","1"
"No, never","2005","Bremen","in school","1","","","","1"
"No, never","2005","Bremen","inadequately","","","","","1"
"No, never","2005","Bremen","general elemantary","3","","","","1"
"No, never","2005","Bremen","middle vocational","18","","","","1"
"No, never","2005","Bremen","vocational + Abi","4","","","","1"
"No, never","2005","Bremen","higher vocational","1","","","","1"
"No, never","2005","Bremen","higher education","6","","","","1"
"No, never","2005","North Rhine-Westphalia","in school","9","","","","1"
"No, never","2005","North Rhine-Westphalia","inadequately","18","","","","1"
"No, never","2005","North Rhine-Westphalia","general elemantary","155","0.752116664847983","0.692719414174278","0.811513915521687","1"
"No, never","2005","North Rhine-Westphalia","middle vocational","713","0.672649925597144","0.644253667285753","0.701046183908536","1"
"No, never","2005","North Rhine-Westphalia","vocational + Abi","157","0.671528552818003","0.610566199858424","0.732490905777583","1"
"No, never","2005","North Rhine-Westphalia","higher vocational","115","0.576580316051326","0.509107333403715","0.644053298698938","1"
"No, never","2005","North Rhine-Westphalia","higher education","304","0.481307769824979","0.44050373055602","0.522111809093937","1"
"No, never","2005","Hesse","in school","1","","","","1"
"No, never","2005","Hesse","inadequately","2","","","","1"
"No, never","2005","Hesse","general elemantary","53","0.880005371722233","0.80160832781493","0.958402415629536","1"
"No, never","2005","Hesse","middle vocational","240","0.614152435563305","0.564348801923963","0.663956069202646","1"
"No, never","2005","Hesse","vocational + Abi","43","0.70921601946161","0.596177423834525","0.822254615088694","1"
"No, never","2005","Hesse","higher vocational","32","0.598908737215428","0.472773618738968","0.725043855691888","1"
"No, never","2005","Hesse","higher education","103","0.413910586504989","0.350532473551329","0.477288699458649","1"
"No, never","2005","Rhineland-Palatinate,Saarland","in school","1","","","","1"
"No, never","2005","Rhineland-Palatinate,Saarland","inadequately","4","","","","1"
"No, never","2005","Rhineland-Palatinate,Saarland","general elemantary","57","0.820527654677443","0.72998172625483","0.911073583100057","1"
"No, never","2005","Rhineland-Palatinate,Saarland","middle vocational","228","0.645543341469361","0.594994274687441","0.696092408251281","1"
"No, never","2005","Rhineland-Palatinate,Saarland","vocational + Abi","28","","","","1"
"No, never","2005","Rhineland-Palatinate,Saarland","higher vocational","27","","","","1"
"No, never","2005","Rhineland-Palatinate,Saarland","higher education","64","0.562095027570635","0.47021229770827","0.653977757433","1"
"No, never","2005","Baden-Württemberg","in school","5","","","","1"
"No, never","2005","Baden-Württemberg","inadequately","12","","","","1"
"No, never","2005","Baden-Württemberg","general elemantary","105","0.736713202547041","0.664018577292323","0.809407827801759","1"
"No, never","2005","Baden-Württemberg","middle vocational","475","0.710126543155471","0.675247584470144","0.745005501840797","1"
"No, never","2005","Baden-Württemberg","vocational + Abi","73","0.735460278429236","0.649437698969551","0.821482857888922","1"
"No, never","2005","Baden-Württemberg","higher vocational","88","0.566645206650449","0.483967968628708","0.64932244467219","1"
"No, never","2005","Baden-Württemberg","higher education","180","0.577819387047855","0.522206943943873","0.633431830151838","1"
"No, never","2005","Bavaria","in school","4","","","","1"
"No, never","2005","Bavaria","inadequately","7","","","","1"
"No, never","2005","Bavaria","general elemantary","109","0.689267082882699","0.614707300176218","0.76382686558918","1"
"No, never","2005","Bavaria","middle vocational","582","0.657164909303678","0.625386109106842","0.688943709500514","1"
"No, never","2005","Bavaria","vocational + Abi","51","0.579437490867937","0.473236732462619","0.685638249273255","1"
"No, never","2005","Bavaria","higher vocational","75","0.545318029159167","0.461631138543101","0.629004919775233","1"
"No, never","2005","Bavaria","higher education","232","0.5786990788931","0.530066970546886","0.627331187239314","1"
"No, never","2005","Berlin","in school","","","","","1"
"No, never","2005","Berlin","inadequately","1","","","","1"
"No, never","2005","Berlin","general elemantary","10","","","","1"
"No, never","2005","Berlin","middle vocational","89","0.614740701527934","0.537628176439686","0.691853226616182","1"
"No, never","2005","Berlin","vocational + Abi","12","","","","1"
"No, never","2005","Berlin","higher vocational","14","","","","1"
"No, never","2005","Berlin","higher education","77","0.460854617393919","0.382634095643532","0.539075139144305","1"
"No, never","2005","Brandenburg","in school","1","","","","1"
"No, never","2005","Brandenburg","inadequately","2","","","","1"
"No, never","2005","Brandenburg","general elemantary","17","","","","1"
"No, never","2005","Brandenburg","middle vocational","112","0.529169180655136","0.45911073493998","0.599227626370292","1"
"No, never","2005","Brandenburg","vocational + Abi","11","","","","1"
"No, never","2005","Brandenburg","higher vocational","20","","","","1"
"No, never","2005","Brandenburg","higher education","75","0.556078180076593","0.470996978164154","0.641159381989032","1"
"No, never","2005","Mecklenburg-Western Pomerania","in school","","","","","1"
"No, never","2005","Mecklenburg-Western Pomerania","inadequately","1","","","","1"
"No, never","2005","Mecklenburg-Western Pomerania","general elemantary","7","","","","1"
"No, never","2005","Mecklenburg-Western Pomerania","middle vocational","70","0.6048450707962","0.515101893767687","0.694588247824712","1"
"No, never","2005","Mecklenburg-Western Pomerania","vocational + Abi","4","","","","1"
"No, never","2005","Mecklenburg-Western Pomerania","higher vocational","12","","","","1"
"No, never","2005","Mecklenburg-Western Pomerania","higher education","44","0.640757238472048","0.536913111764097","0.744601365179999","1"
"No, never","2005","Saxony","in school","","","","","1"
"No, never","2005","Saxony","inadequately","","","","","1"
"No, never","2005","Saxony","general elemantary","25","","","","1"
"No, never","2005","Saxony","middle vocational","215","0.59200066820194","0.540659282787476","0.643342053616404","1"
"No, never","2005","Saxony","vocational + Abi","21","","","","1"
"No, never","2005","Saxony","higher vocational","37","0.490987514345163","0.373876292296945","0.60809873639338","1"
"No, never","2005","Saxony","higher education","135","0.545541457015819","0.481331390974954","0.609751523056684","1"
"No, never","2005","Saxony-Anhalt","in school","","","","","1"
"No, never","2005","Saxony-Anhalt","inadequately","1","","","","1"
"No, never","2005","Saxony-Anhalt","general elemantary","13","","","","1"
"No, never","2005","Saxony-Anhalt","middle vocational","114","0.543731212604967","0.473093940414238","0.614368484795697","1"
"No, never","2005","Saxony-Anhalt","vocational + Abi","14","","","","1"
"No, never","2005","Saxony-Anhalt","higher vocational","23","","","","1"
"No, never","2005","Saxony-Anhalt","higher education","75","0.503877446206218","0.421929699320101","0.585825193092335","1"
"No, never","2005","Thuringia","in school","","","","","1"
"No, never","2005","Thuringia","inadequately","","","","","1"
"No, never","2005","Thuringia","general elemantary","11","","","","1"
"No, never","2005","Thuringia","middle vocational","134","0.585918604248342","0.521842416427099","0.649994792069585","1"
"No, never","2005","Thuringia","vocational + Abi","11","","","","1"
"No, never","2005","Thuringia","higher vocational","24","","","","1"
"No, never","2005","Thuringia","higher education","64","0.638124678234315","0.547912099802451","0.728337256666178","1"
"Rarely","2005","Schleswig-Holstein","middle vocational","44","0.276266463710607","0.209246611033901","0.343286316387313","5"
"Rarely","2005","Schleswig-Holstein","vocational + Abi","4","","","","5"
"Rarely","2005","Schleswig-Holstein","general elemantary","4","","","","5"
"Rarely","2005","Schleswig-Holstein","inadequately","","","","","5"
"Rarely","2005","Schleswig-Holstein","higher vocational","12","","","","5"
"Rarely","2005","Schleswig-Holstein","higher education","23","","","","5"
"Rarely","2005","Hamburg","in school","","","","","5"
"Rarely","2005","Hamburg","vocational + Abi","2","","","","5"
"Rarely","2005","Hamburg","middle vocational","11","","","","5"
"Rarely","2005","Schleswig-Holstein","in school","","","","","5"
"Rarely","2005","Hamburg","general elemantary","2","","","","5"
"Rarely","2005","Hamburg","inadequately","","","","","5"
"Rarely","2005","Hamburg","higher vocational","3","","","","5"
