"plb0219","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No, never","2005","lower secondary degree","(0) in school","","","",""
"No, never","2005","lower secondary degree","(1a) inadequately completed","","","",""
"No, never","2005","lower secondary degree","(1b) general elementary school","309","0.694503633906","0.650865467699956","0.738141800112043"
"No, never","2005","lower secondary degree","(1c) basic vocational qualification","1440","0.639946258564715","0.619947050424763","0.659945466704667"
"No, never","2005","lower secondary degree","(2b) intermediate general qualification","","","",""
"No, never","2005","lower secondary degree","(2a) intermediate vocational","5","","",""
"No, never","2005","lower secondary degree","(2c_gen) general maturity certificate","3","","",""
"No, never","2005","lower secondary degree","(2c_voc) vocational maturity certificate","9","","",""
"No, never","2005","lower secondary degree","(3a) lower tertiary education","14","","",""
"No, never","2005","lower secondary degree","(3b) higher tertiary education","6","","",""
"No, never","2005","secondary school degree","(0) in school","","","",""
"No, never","2005","secondary school degree","(1a) inadequately completed","","","",""
"No, never","2005","secondary school degree","(1b) general elementary school","","","",""
"No, never","2005","secondary school degree","(1c) basic vocational qualification","","","",""
"No, never","2005","secondary school degree","(2b) intermediate general qualification","235","0.726948707402843","0.678210497104551","0.775686917701136"
"No, never","2005","secondary school degree","(2a) intermediate vocational","1944","0.600598221941307","0.583401471669569","0.617794972213046"
"No, never","2005","secondary school degree","(2c_gen) general maturity certificate","","","",""
"No, never","2005","secondary school degree","(2c_voc) vocational maturity certificate","12","","",""
"No, never","2005","secondary school degree","(3a) lower tertiary education","206","0.590670943991248","0.537457635701325","0.643884252281172"
"No, never","2005","secondary school degree","(3b) higher tertiary education","43","0.538637163232197","0.422682457484811","0.654591868979584"
"No, never","2005","college entrance qualification","(0) in school","","","",""
"No, never","2005","college entrance qualification","(1a) inadequately completed","","","",""
"No, never","2005","college entrance qualification","(1b) general elementary school","","","",""
"No, never","2005","college entrance qualification","(1c) basic vocational qualification","","","",""
"No, never","2005","college entrance qualification","(2b) intermediate general qualification","","","",""
"No, never","2005","college entrance qualification","(2a) intermediate vocational","","","",""
"No, never","2005","college entrance qualification","(2c_gen) general maturity certificate","220","0.638105425992446","0.58641426295624","0.689796589028652"
"No, never","2005","college entrance qualification","(2c_voc) vocational maturity certificate","574","0.657972569399945","0.626788587213379","0.689156551586512"
"No, never","2005","college entrance qualification","(3a) lower tertiary education","397","0.56109974935018","0.523882806894027","0.598316691806334"
"No, never","2005","college entrance qualification","(3b) higher tertiary education","784","0.457840314062774","0.433289523730523","0.482391104395026"
"No, never","2005","Other degree","(0) in school","","","",""
"No, never","2005","Other degree","(1a) inadequately completed","","","",""
"No, never","2005","Other degree","(1b) general elementary school","110","0.767655495525309","0.697946645431045","0.837364345619573"
"No, never","2005","Other degree","(1c) basic vocational qualification","135","0.73248634368449","0.668351315359394","0.796621372009585"
"No, never","2005","Other degree","(2b) intermediate general qualification","","","",""
"No, never","2005","Other degree","(2a) intermediate vocational","","","",""
"No, never","2005","Other degree","(2c_gen) general maturity certificate","15","","",""
"No, never","2005","Other degree","(2c_voc) vocational maturity certificate","58","0.638746746650026","0.537222658052279","0.740270835247772"
"No, never","2005","Other degree","(3a) lower tertiary education","10","","",""
"No, never","2005","Other degree","(3b) higher tertiary education","65","0.613180661784603","0.517726162308372","0.708635161260834"
"No, never","2005","no degree/no degree yet","(0) in school","28","","",""
"No, never","2005","no degree/no degree yet","(1a) inadequately completed","50","0.753692705893806","0.653472634133494","0.853912777654117"
"No, never","2005","no degree/no degree yet","(1b) general elementary school","","","",""
"No, never","2005","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"No, never","2005","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"No, never","2005","no degree/no degree yet","(2a) intermediate vocational","","","",""
"No, never","2005","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"No, never","2005","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"No, never","2005","no degree/no degree yet","(3a) lower tertiary education","","","",""
"No, never","2005","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Yes, every week","2005","lower secondary degree","(0) in school","","","",""
"Yes, every week","2005","lower secondary degree","(1a) inadequately completed","","","",""
"Yes, every week","2005","lower secondary degree","(1b) general elementary school","22","","",""
"Yes, every week","2005","lower secondary degree","(1c) basic vocational qualification","126","0.0659250235422983","0.055586145803604","0.0762639012809926"
"Yes, every week","2005","lower secondary degree","(2b) intermediate general qualification","","","",""
"Yes, every week","2005","lower secondary degree","(2a) intermediate vocational","","","",""
"Yes, every week","2005","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Yes, every week","2005","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Yes, every week","2005","lower secondary degree","(3a) lower tertiary education","2","","",""
"Yes, every week","2005","lower secondary degree","(3b) higher tertiary education","1","","",""
"Yes, every week","2005","secondary school degree","(0) in school","","","",""
"Yes, every week","2005","secondary school degree","(1a) inadequately completed","","","",""
"Yes, every week","2005","secondary school degree","(1b) general elementary school","","","",""
"Yes, every week","2005","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes, every week","2005","secondary school degree","(2b) intermediate general qualification","19","","",""
"Yes, every week","2005","secondary school degree","(2a) intermediate vocational","128","0.0460535388070731","0.0386941309705274","0.0534129466436187"
"Yes, every week","2005","secondary school degree","(2c_gen) general maturity certificate","1","","",""
"Yes, every week","2005","secondary school degree","(2c_voc) vocational maturity certificate","1","","",""
"Yes, every week","2005","secondary school degree","(3a) lower tertiary education","15","","",""
"Yes, every week","2005","secondary school degree","(3b) higher tertiary education","8","","",""
"Yes, every week","2005","college entrance qualification","(0) in school","","","",""
"Yes, every week","2005","college entrance qualification","(1a) inadequately completed","","","",""
"Yes, every week","2005","college entrance qualification","(1b) general elementary school","","","",""
"Yes, every week","2005","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes, every week","2005","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes, every week","2005","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes, every week","2005","college entrance qualification","(2c_gen) general maturity certificate","26","","",""
"Yes, every week","2005","college entrance qualification","(2c_voc) vocational maturity certificate","28","","",""
"Yes, every week","2005","college entrance qualification","(3a) lower tertiary education","44","0.0623963462137905","0.0442567771978434","0.0805359152297377"
"Yes, every week","2005","college entrance qualification","(3b) higher tertiary education","173","0.113132530378921","0.0975237861376845","0.128741274620157"
"Yes, every week","2005","Other degree","(0) in school","","","",""
"Yes, every week","2005","Other degree","(1a) inadequately completed","","","",""
"Yes, every week","2005","Other degree","(1b) general elementary school","7","","",""
"Yes, every week","2005","Other degree","(1c) basic vocational qualification","10","","",""
"Yes, every week","2005","Other degree","(2b) intermediate general qualification","","","",""
"Yes, every week","2005","Other degree","(2a) intermediate vocational","","","",""
"Yes, every week","2005","Other degree","(2c_gen) general maturity certificate","2","","",""
"Yes, every week","2005","Other degree","(2c_voc) vocational maturity certificate","4","","",""
"Yes, every week","2005","Other degree","(3a) lower tertiary education","","","",""
"Yes, every week","2005","Other degree","(3b) higher tertiary education","9","","",""
"Yes, every week","2005","no degree/no degree yet","(0) in school","8","","",""
"Yes, every week","2005","no degree/no degree yet","(1a) inadequately completed","5","","",""
"Yes, every week","2005","no degree/no degree yet","(1b) general elementary school","","","",""
"Yes, every week","2005","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Yes, every week","2005","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Yes, every week","2005","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Yes, every week","2005","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Yes, every week","2005","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Yes, every week","2005","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Yes, every week","2005","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Yes, every 2 weeks","2005","lower secondary degree","(0) in school","","","",""
"Yes, every 2 weeks","2005","lower secondary degree","(1a) inadequately completed","","","",""
"Yes, every 2 weeks","2005","lower secondary degree","(1b) general elementary school","34","0.0843821640365775","0.0580486596261112","0.110715668447044"
"Yes, every 2 weeks","2005","lower secondary degree","(1c) basic vocational qualification","191","0.0861601326608536","0.074469295431263","0.0978509698904443"
"Yes, every 2 weeks","2005","lower secondary degree","(2b) intermediate general qualification","","","",""
"Yes, every 2 weeks","2005","lower secondary degree","(2a) intermediate vocational","","","",""
"Yes, every 2 weeks","2005","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Yes, every 2 weeks","2005","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Yes, every 2 weeks","2005","lower secondary degree","(3a) lower tertiary education","6","","",""
"Yes, every 2 weeks","2005","lower secondary degree","(3b) higher tertiary education","","","",""
"Yes, every 2 weeks","2005","secondary school degree","(0) in school","","","",""
"Yes, every 2 weeks","2005","secondary school degree","(1a) inadequately completed","","","",""
"Yes, every 2 weeks","2005","secondary school degree","(1b) general elementary school","","","",""
"Yes, every 2 weeks","2005","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes, every 2 weeks","2005","secondary school degree","(2b) intermediate general qualification","30","0.0975900234032222","0.0651261579393676","0.130053888867077"
"Yes, every 2 weeks","2005","secondary school degree","(2a) intermediate vocational","312","0.108159604333944","0.0972546090696697","0.119064599598219"
"Yes, every 2 weeks","2005","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Yes, every 2 weeks","2005","secondary school degree","(2c_voc) vocational maturity certificate","2","","",""
"Yes, every 2 weeks","2005","secondary school degree","(3a) lower tertiary education","22","","",""
"Yes, every 2 weeks","2005","secondary school degree","(3b) higher tertiary education","4","","",""
"Yes, every 2 weeks","2005","college entrance qualification","(0) in school","","","",""
"Yes, every 2 weeks","2005","college entrance qualification","(1a) inadequately completed","","","",""
"Yes, every 2 weeks","2005","college entrance qualification","(1b) general elementary school","","","",""
"Yes, every 2 weeks","2005","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes, every 2 weeks","2005","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes, every 2 weeks","2005","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes, every 2 weeks","2005","college entrance qualification","(2c_gen) general maturity certificate","27","","",""
"Yes, every 2 weeks","2005","college entrance qualification","(2c_voc) vocational maturity certificate","62","0.0763351982975447","0.0588803199358831","0.0937900766592062"
"Yes, every 2 weeks","2005","college entrance qualification","(3a) lower tertiary education","38","0.0701113497880237","0.0509622934543316","0.0892604061217158"
