"plb0219","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Schleswig-Holstein","(0) in school","2","","",""
"No, never","2005","Schleswig-Holstein","(1a) inadequately completed","3","","",""
"No, never","2005","Schleswig-Holstein","(1b) general elementary school","5","","",""
"No, never","2005","Schleswig-Holstein","(1c) basic vocational qualification","48","0.504115111375889","0.396551756362408","0.611678466389371"
"No, never","2005","Schleswig-Holstein","(2b) intermediate general qualification","5","","",""
"No, never","2005","Schleswig-Holstein","(2a) intermediate vocational","56","0.599880063641597","0.502383449488141","0.697376677795053"
"No, never","2005","Schleswig-Holstein","(2c_gen) general maturity certificate","11","","",""
"No, never","2005","Schleswig-Holstein","(2c_voc) vocational maturity certificate","18","","",""
"No, never","2005","Schleswig-Holstein","(3a) lower tertiary education","20","","",""
"No, never","2005","Schleswig-Holstein","(3b) higher tertiary education","21","","",""
"No, never","2005","Hamburg","(0) in school","","","",""
"No, never","2005","Hamburg","(1a) inadequately completed","1","","",""
"No, never","2005","Hamburg","(1b) general elementary school","4","","",""
"No, never","2005","Hamburg","(1c) basic vocational qualification","13","","",""
"No, never","2005","Hamburg","(2b) intermediate general qualification","4","","",""
"No, never","2005","Hamburg","(2a) intermediate vocational","25","","",""
"No, never","2005","Hamburg","(2c_gen) general maturity certificate","3","","",""
"No, never","2005","Hamburg","(2c_voc) vocational maturity certificate","16","","",""
"No, never","2005","Hamburg","(3a) lower tertiary education","13","","",""
"No, never","2005","Hamburg","(3b) higher tertiary education","23","","",""
"No, never","2005","Lower Saxony","(0) in school","4","","",""
"No, never","2005","Lower Saxony","(1a) inadequately completed","2","","",""
"No, never","2005","Lower Saxony","(1b) general elementary school","30","0.53221177310238","0.383076372322351","0.681347173882408"
"No, never","2005","Lower Saxony","(1c) basic vocational qualification","147","0.626725644405504","0.565786939805445","0.687664349005562"
"No, never","2005","Lower Saxony","(2b) intermediate general qualification","27","","",""
"No, never","2005","Lower Saxony","(2a) intermediate vocational","169","0.565293755798399","0.50753871344552","0.623048798151278"
"No, never","2005","Lower Saxony","(2c_gen) general maturity certificate","13","","",""
"No, never","2005","Lower Saxony","(2c_voc) vocational maturity certificate","54","0.684637194701554","0.588639165729306","0.780635223673802"
"No, never","2005","Lower Saxony","(3a) lower tertiary education","38","0.518605071550791","0.403986287723287","0.633223855378295"
"No, never","2005","Lower Saxony","(3b) higher tertiary education","55","0.344544802774961","0.262538431855587","0.426551173694335"
"No, never","2005","Bremen","(0) in school","1","","",""
"No, never","2005","Bremen","(1a) inadequately completed","","","",""
"No, never","2005","Bremen","(1b) general elementary school","2","","",""
"No, never","2005","Bremen","(1c) basic vocational qualification","6","","",""
"No, never","2005","Bremen","(2b) intermediate general qualification","1","","",""
"No, never","2005","Bremen","(2a) intermediate vocational","11","","",""
"No, never","2005","Bremen","(2c_gen) general maturity certificate","1","","",""
