"plb0219","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"No, never","2005","16-34 y.","Urban Area","1363","0.653316693326746","0.632684947064074","0.673948439589417"
"No, never","2005","16-34 y.","Rural Area","623","0.602497734101204","0.571936035454455","0.633059432747953"
"No, never","2005","35-65 y.","Urban Area","3298","0.609977944362216","0.596873690272594","0.623082198451837"
"No, never","2005","35-65 y.","Rural Area","1440","0.589146436475531","0.569657078129925","0.608635794821137"
"No, never","2005","66 and older","Urban Area","66","0.663608780888288","0.567583628701678","0.759633933074899"
"No, never","2005","66 and older","Rural Area","27","","",""
"Yes, every week","2005","16-34 y.","Urban Area","113","0.0532559558834682","0.0435215818797798","0.0629903298871565"
"Yes, every week","2005","16-34 y.","Rural Area","57","0.0700165252664984","0.0540809455002046","0.0859521050327922"
"Yes, every week","2005","35-65 y.","Urban Area","295","0.0525098816344942","0.0465172370615321","0.0585025262074563"
"Yes, every week","2005","35-65 y.","Rural Area","168","0.0762135049738348","0.0657025020678955","0.0867245078797741"
"Yes, every week","2005","66 and older","Urban Area","8","","",""
"Yes, every week","2005","66 and older","Rural Area","6","","",""
"Yes, every 2 weeks","2005","16-34 y.","Urban Area","191","0.100765649030645","0.08771595458591","0.11381534347538"
"Yes, every 2 weeks","2005","16-34 y.","Rural Area","93","0.0949066245938447","0.0766035127834193","0.11320973640427"
"Yes, every 2 weeks","2005","35-65 y.","Urban Area","415","0.0901919007359139","0.0824958251396252","0.0978879763322026"
"Yes, every 2 weeks","2005","35-65 y.","Rural Area","215","0.0908977560044147","0.0795103362357463","0.102285175773083"
"Yes, every 2 weeks","2005","66 and older","Urban Area","4","","",""
"Yes, every 2 weeks","2005","66 and older","Rural Area","1","","",""
"Yes, every 3-4 weeks","2005","16-34 y.","Urban Area","102","0.0564487386902531","0.0464437289397058","0.0664537484408004"
"Yes, every 3-4 weeks","2005","16-34 y.","Rural Area","57","0.0645247261595273","0.0491817638830069","0.0798676884360477"
"Yes, every 3-4 weeks","2005","35-65 y.","Urban Area","270","0.0541785726433777","0.0480968163975994","0.0602603288891559"
"Yes, every 3-4 weeks","2005","35-65 y.","Rural Area","141","0.0632408360560548","0.0535991017231162","0.0728825703889934"
"Yes, every 3-4 weeks","2005","66 and older","Urban Area","","","",""
"Yes, every 3-4 weeks","2005","66 and older","Rural Area","","","",""
"Rarely","2005","16-34 y.","Urban Area","275","0.136212963068888","0.121342646760534","0.151083279377241"
"Rarely","2005","16-34 y.","Rural Area","155","0.168054389878925","0.144703557100373","0.191405222657478"
"Rarely","2005","35-65 y.","Urban Area","1044","0.193141700623999","0.182535805782891","0.203747595465107"
"Rarely","2005","35-65 y.","Rural Area","484","0.180501466490165","0.165265961912336","0.195736971067993"
"Rarely","2005","66 and older","Urban Area","15","","",""
"Rarely","2005","66 and older","Rural Area","2","","",""
"No, never","2006","16-34 y.","Urban Area","","","",""
"No, never","2006","16-34 y.","Rural Area","","","",""
"No, never","2006","35-65 y.","Urban Area","","","",""
"No, never","2006","35-65 y.","Rural Area","","","",""
"No, never","2006","66 and older","Urban Area","","","",""
"No, never","2006","66 and older","Rural Area","","","",""
"Yes, every week","2006","16-34 y.","Urban Area","","","",""
"Yes, every week","2006","16-34 y.","Rural Area","","","",""
"Yes, every week","2006","35-65 y.","Urban Area","","","",""
"Yes, every week","2006","35-65 y.","Rural Area","","","",""
"Yes, every week","2006","66 and older","Urban Area","","","",""
"Yes, every week","2006","66 and older","Rural Area","","","",""
"Yes, every 2 weeks","2006","16-34 y.","Urban Area","","","",""
"Yes, every 2 weeks","2006","16-34 y.","Rural Area","","","",""
"Yes, every 2 weeks","2006","35-65 y.","Urban Area","","","",""
"Yes, every 2 weeks","2006","35-65 y.","Rural Area","","","",""
"Yes, every 2 weeks","2006","66 and older","Urban Area","","","",""
"Yes, every 2 weeks","2006","66 and older","Rural Area","","","",""
"Yes, every 3-4 weeks","2006","16-34 y.","Urban Area","","","",""
"Yes, every 3-4 weeks","2006","16-34 y.","Rural Area","","","",""
"Yes, every 3-4 weeks","2006","35-65 y.","Urban Area","","","",""
"Yes, every 3-4 weeks","2006","35-65 y.","Rural Area","","","",""
"Yes, every 3-4 weeks","2006","66 and older","Urban Area","","","",""
"Yes, every 3-4 weeks","2006","66 and older","Rural Area","","","",""
"Rarely","2006","16-34 y.","Urban Area","","","",""
"Rarely","2006","16-34 y.","Rural Area","","","",""
"Rarely","2006","35-65 y.","Urban Area","","","",""
"Rarely","2006","35-65 y.","Rural Area","","","",""
"Rarely","2006","66 and older","Urban Area","","","",""
"Rarely","2006","66 and older","Rural Area","","","",""
"No, never","2007","16-34 y.","Urban Area","1255","0.650830394019115","0.62938975434245","0.672271033695779"
"No, never","2007","16-34 y.","Rural Area","629","0.587574488653761","0.557079022336531","0.618069954970991"
"No, never","2007","35-65 y.","Urban Area","3299","0.605239810375557","0.592236360460586","0.618243260290527"
"No, never","2007","35-65 y.","Rural Area","1497","0.568439899828217","0.549434633006039","0.587445166650396"
"No, never","2007","66 and older","Urban Area","63","0.566574150955497","0.47354466426085","0.659603637650145"
"No, never","2007","66 and older","Rural Area","40","0.708269852904407","0.591286482922953","0.825253222885861"
"Yes, every week","2007","16-34 y.","Urban Area","99","0.0444452635298553","0.0351764075049276","0.0537141195547831"
"Yes, every week","2007","16-34 y.","Rural Area","58","0.0579165139905164","0.0434462333298413","0.0723867946511915"
"Yes, every week","2007","35-65 y.","Urban Area","361","0.0643219497101045","0.0577955902174761","0.070848309202733"
"Yes, every week","2007","35-65 y.","Rural Area","193","0.0704507934576582","0.0606312750614707","0.0802703118538457"
"Yes, every week","2007","66 and older","Urban Area","8","","",""
"Yes, every week","2007","66 and older","Rural Area","8","","",""
"Yes, every 2 weeks","2007","16-34 y.","Urban Area","172","0.103019457620381","0.0893473096714339","0.116691605569327"
"Yes, every 2 weeks","2007","16-34 y.","Rural Area","106","0.126839549838748","0.106223501381417","0.147455598296079"
"Yes, every 2 weeks","2007","35-65 y.","Urban Area","419","0.0819555446772393","0.0746584631581534","0.0892526261963252"
"Yes, every 2 weeks","2007","35-65 y.","Rural Area","244","0.0953019959213965","0.0840348513815391","0.106569140461254"
"Yes, every 2 weeks","2007","66 and older","Urban Area","6","","",""
"Yes, every 2 weeks","2007","66 and older","Rural Area","","","",""
"Yes, every 3-4 weeks","2007","16-34 y.","Urban Area","106","0.0556430340055887","0.0453330235914334","0.065953044419744"
"Yes, every 3-4 weeks","2007","16-34 y.","Rural Area","47","0.0548957970817829","0.0407853606288602","0.0690062335347056"
"Yes, every 3-4 weeks","2007","35-65 y.","Urban Area","271","0.0522851978573753","0.0463633617820233","0.0582070339327273"
"Yes, every 3-4 weeks","2007","35-65 y.","Rural Area","161","0.0657359859856255","0.0562267099857493","0.0752452619855017"
"Yes, every 3-4 weeks","2007","66 and older","Urban Area","8","","",""
"Yes, every 3-4 weeks","2007","66 and older","Rural Area","1","","",""
"Rarely","2007","16-34 y.","Urban Area","267","0.146061850825061","0.130177582443332","0.161946119206789"
"Rarely","2007","16-34 y.","Rural Area","161","0.172773650435192","0.149353914892007","0.196193385978377"
"Rarely","2007","35-65 y.","Urban Area","1078","0.196197497379724","0.185632981986858","0.206762012772591"
"Rarely","2007","35-65 y.","Rural Area","514","0.200071324807103","0.184720592155858","0.215422057458347"
"Rarely","2007","66 and older","Urban Area","24","","",""
"Rarely","2007","66 and older","Rural Area","9","","",""
"No, never","2008","16-34 y.","Urban Area","","","",""
"No, never","2008","16-34 y.","Rural Area","","","",""
"No, never","2008","35-65 y.","Urban Area","","","",""
