"year","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","(Married) couple without C.","4.73","4.67","7036","3.33","4","5.67","6.33","7","4.7","4.76","1","7","4.66666650772095","4.66666650772095"
"2005","1-pers.-HH","4.8","5","2973","3.33","4","5.67","6.33","7","4.76","4.84","1","7","5","5"
"2005","Couple + C. GT 16 ","4.78","4.67","3651","3.33","4","5.67","6.33","7","4.74","4.82","1","7","4.66666650772095","5"
"2005","Couple + C. LE 16","4.88","5","3714","3.33","4","5.67","6.33","7","4.84","4.92","1","7","5","5"
"2005","Couple + C. LE and GT 16","4.92","5","1706","3.33","4.33","5.67","6.33","7","4.87","4.97","1","7","5","5"
"2005","Single parent","4.9","5","1104","3.33","4.33","5.67","6.33","7","4.83","4.97","1","7","5","5"
"2006","(Married) couple without C.","","","","","","","","","","","","","",""
"2006","1-pers.-HH","","","","","","","","","","","","","",""
"2006","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2006","Couple + C. LE 16","","","","","","","","","","","","","",""
"2006","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2006","Single parent","","","","","","","","","","","","","",""
"2007","(Married) couple without C.","","","","","","","","","","","","","",""
"2007","1-pers.-HH","","","","","","","","","","","","","",""
"2007","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2007","Couple + C. LE 16","","","","","","","","","","","","","",""
"2007","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2007","Single parent","","","","","","","","","","","","","",""
"2008","(Married) couple without C.","","","","","","","","","","","","","",""
"2008","1-pers.-HH","","","","","","","","","","","","","",""
"2008","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2008","Couple + C. LE 16","","","","","","","","","","","","","",""
"2008","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2008","Single parent","","","","","","","","","","","","","",""
"2009","(Married) couple without C.","4.63","4.67","6648","3.33","4","5.33","6","7","4.6","4.66","1","7","4.66666650772095","4.66666650772095"
"2009","1-pers.-HH","4.7","4.67","2888","3","4","5.67","6","7","4.66","4.74","1","7","4.66666650772095","4.66666650772095"
"2009","Couple + C. GT 16 ","4.79","4.67","3158","3.33","4","5.67","6.33","7","4.75","4.83","1","7","4.66666650772095","5"
"2009","Couple + C. LE 16","4.84","5","2850","3.33","4","5.67","6.33","7","4.8","4.88","1","7","4.66666650772095","5"
"2009","Couple + C. LE and GT 16","4.84","5","1179","3.33","4","5.67","6.33","7","4.77","4.91","1.33","7","4.66666650772095","5"
"2009","Single parent","4.88","5","989","3.33","4","5.67","6.33","7","4.81","4.95","1.33","7","5","5"
"2010","(Married) couple without C.","","","","","","","","","","","","","",""
"2010","1-pers.-HH","","","","","","","","","","","","","",""
"2010","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2010","Couple + C. LE 16","","","","","","","","","","","","","",""
"2010","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
