"year","migback","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","direct migration background","East Germany","4.63","4.67","100","3","4","5.33","6.33","7","4.4","4.86","2","7","4.33333349227905","5"
"2005","direct migration background","West Germany","4.64","4.67","2269","3","4","5.33","6.33","7","4.59","4.69","1","7","4.66666650772095","4.66666650772095"
"2005","indirect migration background","East Germany","4.98","4.67","35","3","4","6.33","6.67","7","4.53","5.43","2.33","7","4.33333349227905","6"
"2005","indirect migration background","West Germany","5.04","5","797","3.67","4.33","6","6.67","7","4.96","5.12","1","7","5","5"
"2005","no migration background","East Germany","4.81","5","4914","3.33","4","5.67","6.33","7","4.78","4.84","1","7","5","5"
"2005","no migration background","West Germany","4.82","5","12626","3.33","4","5.67","6.33","7","4.8","4.84","1","7","5","5"
"2006","direct migration background","East Germany","","","","","","","","","","","","","",""
"2006","direct migration background","West Germany","","","","","","","","","","","","","",""
"2006","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2006","indirect migration background","West Germany","","","","","","","","","","","","","",""
"2006","no migration background","East Germany","","","","","","","","","","","","","",""
"2006","no migration background","West Germany","","","","","","","","","","","","","",""
"2007","direct migration background","East Germany","","","","","","","","","","","","","",""
"2007","direct migration background","West Germany","","","","","","","","","","","","","",""
"2007","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2007","indirect migration background","West Germany","","","","","","","","","","","","","",""
"2007","no migration background","East Germany","","","","","","","","","","","","","",""
"2007","no migration background","West Germany","","","","","","","","","","","","","",""
"2008","direct migration background","East Germany","","","","","","","","","","","","","",""
"2008","direct migration background","West Germany","","","","","","","","","","","","","",""
"2008","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2008","indirect migration background","West Germany","","","","","","","","","","","","","",""
"2008","no migration background","East Germany","","","","","","","","","","","","","",""
"2008","no migration background","West Germany","","","","","","","","","","","","","",""
"2009","direct migration background","East Germany","4.55","4.59","75","3","3.67","5.33","6","7","4.26","4.84","1.67","7","4.33333349227905","5"
"2009","direct migration background","West Germany","4.66","4.67","1580","3.33","4","5.33","6","7","4.6","4.72","1","7","4.66666650772095","4.66666650772095"
"2009","indirect migration background","East Germany","5.08","5","41","3.33","4.67","6","6","6.67","4.81","5.35","3.33","6.67","4.66666650772095","5.33333349227905"
