"plh0106","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","Urban Area","2853","0.516494579541517","0.503247897512103","0.529741261570931","2"
"Important","1990","Rural Area","894","0.528706173142193","0.504495433082194","0.552916913202192","2"
"Less important","1990","Urban Area","1344","0.25217807668041","0.240666725200685","0.263689428160134","3"
"Less important","1990","Rural Area","372","0.242236580510414","0.22145676533911","0.263016395681718","3"
"Quite unimportant","1990","Urban Area","229","0.0477910172889142","0.0421362748484686","0.0534457597293598","4"
"Quite unimportant","1990","Rural Area","88","0.0665805639424453","0.0544894266317899","0.0786717012531008","4"
"Very important","1990","Urban Area","1041","0.183536326489159","0.173275011839136","0.193797641139182","1"
"Very important","1990","Rural Area","279","0.162476682404948","0.144585090916123","0.180368273893773","1"
"Important","1991","Urban Area","","","","","2"
"Important","1991","Rural Area","","","","","2"
"Less important","1991","Urban Area","","","","","3"
"Less important","1991","Rural Area","","","","","3"
"Quite unimportant","1991","Urban Area","","","","","4"
"Quite unimportant","1991","Rural Area","","","","","4"
"Very important","1991","Urban Area","","","","","1"
"Very important","1991","Rural Area","","","","","1"
"Important","1992","Urban Area","3420","0.503612154514288","0.491631136997564","0.515593172031011","2"
"Important","1992","Rural Area","2138","0.485092439834333","0.469826113388372","0.500358766280293","2"
"Less important","1992","Urban Area","1573","0.246609756647827","0.236280949818241","0.256938563477412","3"
"Less important","1992","Rural Area","923","0.255831771265535","0.242503603257074","0.269159939273995","3"
"Quite unimportant","1992","Urban Area","368","0.0683873463603198","0.0623389450676569","0.0744357476529827","4"
"Quite unimportant","1992","Rural Area","187","0.067726411706257","0.0600508815730912","0.0754019418394228","4"
"Very important","1992","Urban Area","1329","0.181390742477566","0.172156932834617","0.190624552120515","1"
"Very important","1992","Rural Area","869","0.191349377193876","0.179333606086428","0.203365148301323","1"
"Important","1993","Urban Area","","","","","2"
"Important","1993","Rural Area","","","","","2"
"Less important","1993","Urban Area","","","","","3"
"Less important","1993","Rural Area","","","","","3"
"Quite unimportant","1993","Urban Area","","","","","4"
"Quite unimportant","1993","Rural Area","","","","","4"
"Very important","1993","Urban Area","","","","","1"
"Very important","1993","Rural Area","","","","","1"
"Important","1994","Urban Area","","","","","2"
"Important","1994","Rural Area","","","","","2"
"Less important","1994","Urban Area","","","","","3"
"Less important","1994","Rural Area","","","","","3"
"Quite unimportant","1994","Urban Area","","","","","4"
"Quite unimportant","1994","Rural Area","","","","","4"
"Very important","1994","Urban Area","","","","","1"
"Very important","1994","Rural Area","","","","","1"
"Important","1995","Rural Area","2361","0.532428966589144","0.51731594693163","0.547541986246658","2"
"Important","1995","Urban Area","3686","0.504487466214131","0.492778257834657","0.516196674593605","2"
"Less important","1995","Rural Area","828","0.232218112914069","0.219428317795569","0.245007908032568","3"
"Less important","1995","Urban Area","1560","0.243925806552334","0.233868397718225","0.253983215386443","3"
"Quite unimportant","1995","Rural Area","160","0.0619633460349372","0.0546608060123791","0.0692658860574953","4"
"Quite unimportant","1995","Urban Area","301","0.0578028385456354","0.052337456810643","0.0632682202806278","4"
"Very important","1995","Rural Area","838","0.17338957446185","0.16192234401625","0.184856804907451","1"
"Very important","1995","Urban Area","1457","0.193783888687899","0.184527116152075","0.203040661223723","1"
"Important","1996","Rural Area","","","","","2"
"Important","1996","Urban Area","","","","","2"
"Less important","1996","Rural Area","","","","","3"
"Less important","1996","Urban Area","","","","","3"
"Quite unimportant","1996","Rural Area","","","","","4"
"Quite unimportant","1996","Urban Area","","","","","4"
"Very important","1996","Rural Area","","","","","1"
"Very important","1996","Urban Area","","","","","1"
