"plh0106","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","higher vocational","Female","131","0.585063474979377","0.520395690029291","0.649731259929464","2"
"Important","1990","higher education","Male","235","0.546660882812595","0.499933071144552","0.593388694480639","2"
"Important","1990","inadequately","Male","21","","","","2"
"Important","1990","inadequately","Female","17","","","","2"
"Important","1990","higher education","Female","112","0.54702056788844","0.480941955614596","0.613099180162284","2"
"Important","1990","in school","Female","24","","","","2"
"Important","1990","general elemantary","Male","220","0.511925044944477","0.464233837770472","0.559616252118482","2"
"Important","1990","general elemantary","Female","575","0.46338279898341","0.43508646855535","0.491679129411471","2"
"Important","1990","higher vocational","Male","148","0.542035537671918","0.482825762930648","0.601245312413189","2"
"Important","1990","in school","Male","29","","","","2"
"Important","1990","middle vocational","Male","1075","0.523139020395291","0.501411782338921","0.544866258451661","2"
"Important","1990","middle vocational","Female","1017","0.540155818167212","0.517396033164026","0.562915603170397","2"
"Important","1990","vocational + Abi","Male","48","0.437002069325107","0.342576349456816","0.531427789193399","2"
"Important","1990","vocational + Abi","Female","55","0.53207912967547","0.433289951294369","0.630868308056571","2"
"Less important","1990","in school","Male","7","","","","3"
"Less important","1990","in school","Female","3","","","","3"
"Less important","1990","inadequately","Male","7","","","","3"
"Less important","1990","inadequately","Female","9","","","","3"
"Less important","1990","general elemantary","Male","84","0.202855096209929","0.16448848299373","0.241221709426127","3"
"Less important","1990","general elemantary","Female","369","0.318723544067256","0.292281402112369","0.345165686022143","3"
"Less important","1990","middle vocational","Male","477","0.242814441885834","0.22416187998443","0.261467003787237","3"
"Less important","1990","middle vocational","Female","465","0.271536868563562","0.25122632862388","0.291847408503244","3"
"Less important","1990","vocational + Abi","Male","25","","","","3"
"Less important","1990","vocational + Abi","Female","17","","","","3"
"Less important","1990","higher vocational","Male","66","0.246934061499358","0.195686802569797","0.298181320428919","3"
"Less important","1990","higher vocational","Female","50","0.206974500835967","0.15380070577347","0.260148295898464","3"
"Less important","1990","higher education","Male","83","0.1853387432815","0.148865323527601","0.221812163035399","3"
"Less important","1990","higher education","Female","39","0.156322199166521","0.108114269217167","0.204530129115876","3"
"Quite unimportant","1990","higher vocational","Female","10","","","","4"
"Quite unimportant","1990","higher education","Male","15","","","","4"
"Quite unimportant","1990","inadequately","Male","3","","","","4"
"Quite unimportant","1990","inadequately","Female","2","","","","4"
"Quite unimportant","1990","higher education","Female","5","","","","4"
"Quite unimportant","1990","in school","Female","","","","","4"
"Quite unimportant","1990","general elemantary","Male","22","","","","4"
"Quite unimportant","1990","general elemantary","Female","103","0.101030971993173","0.0839297360283433","0.118132207958002","4"
"Quite unimportant","1990","higher vocational","Male","8","","","","4"
"Quite unimportant","1990","in school","Male","","","","","4"
"Quite unimportant","1990","middle vocational","Male","76","0.0431307526767256","0.0342934467571135","0.0519680585963376","4"
"Quite unimportant","1990","middle vocational","Female","65","0.0413009245220236","0.032213845199407","0.0503880038446402","4"
"Quite unimportant","1990","vocational + Abi","Male","3","","","","4"
"Quite unimportant","1990","vocational + Abi","Female","2","","","","4"
"Very important","1990","in school","Male","22","","","","1"
"Very important","1990","in school","Female","24","","","","1"
"Very important","1990","inadequately","Male","7","","","","1"
"Very important","1990","inadequately","Female","7","","","","1"
"Very important","1990","general elemantary","Male","96","0.224970678907982","0.185131177776122","0.264810180039842","1"
"Very important","1990","general elemantary","Female","146","0.116862684956161","0.0986329683658657","0.135092401546456","1"
