"plh0106","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Very important","1990","(0) in school","Male","22","","",""
"Very important","1990","(0) in school","Female","24","","",""
"Very important","1990","(1a) inadequately completed","Male","5","","",""
"Very important","1990","(1a) inadequately completed","Female","3","","",""
"Very important","1990","(1b) general elementary school","Male","64","0.181440044405021","0.140832955079261","0.222047133730781"
"Very important","1990","(1b) general elementary school","Female","100","0.0966084163438674","0.0782522471423523","0.114964585545382"
"Very important","1990","(1c) basic vocational qualification","Male","239","0.14792707744785","0.130246982097148","0.165607172798552"
"Very important","1990","(1c) basic vocational qualification","Female","162","0.126806883165798","0.107956178836929","0.145657587494666"
"Very important","1990","(2b) intermediate general qualification","Male","34","0.381129482936882","0.280792045345827","0.481466920527937"
"Very important","1990","(2b) intermediate general qualification","Female","50","0.23186510978791","0.174512541480005","0.289217678095815"
"Very important","1990","(2a) intermediate vocational","Male","126","0.235791992357362","0.19909446105429","0.272489523660433"
"Very important","1990","(2a) intermediate vocational","Female","112","0.136151161951791","0.110942903468477","0.161359420435105"
"Very important","1990","(2c_gen) general maturity certificate","Male","65","0.437442891807862","0.360335942811503","0.514549840804222"
"Very important","1990","(2c_gen) general maturity certificate","Female","37","0.424666631362693","0.323109308237943","0.526223954487443"
"Very important","1990","(2c_voc) vocational maturity certificate","Male","47","0.290819085576414","0.222146496386455","0.359491674766372"
"Very important","1990","(2c_voc) vocational maturity certificate","Female","37","0.292239216175629","0.218968619514547","0.365509812836711"
"Very important","1990","(3a) lower tertiary education","Male","35","0.196799152168485","0.136318322842753","0.257279981494217"
"Very important","1990","(3a) lower tertiary education","Female","16","","",""
"Very important","1990","(3b) higher tertiary education","Male","68","0.252574061194552","0.200748422208044","0.304399700181059"
"Very important","1990","(3b) higher tertiary education","Female","46","0.295864578591805","0.22400960653622","0.367719550647389"
"Important","1990","(0) in school","Male","29","","",""
"Important","1990","(0) in school","Female","24","","",""
"Important","1990","(1a) inadequately completed","Male","18","","",""
"Important","1990","(1a) inadequately completed","Female","15","","",""
"Important","1990","(1b) general elementary school","Male","181","0.513268163190767","0.460602557639299","0.565933768742234"
"Important","1990","(1b) general elementary school","Female","483","0.46588436730292","0.434889251430057","0.496879483175783"
"Important","1990","(1c) basic vocational qualification","Male","816","0.523330016563864","0.498457535603811","0.548202497523918"
"Important","1990","(1c) basic vocational qualification","Female","667","0.548818664519686","0.520628928118595","0.577008400920778"
"Important","1990","(2b) intermediate general qualification","Male","47","0.522767577035789","0.419575553402961","0.625959600668616"
"Important","1990","(2b) intermediate general qualification","Female","98","0.457516049051845","0.389812250243891","0.525219847859799"
"Important","1990","(2a) intermediate vocational","Male","286","0.54348335048204","0.500421968448431","0.58654473251565"
"Important","1990","(2a) intermediate vocational","Female","401","0.546207203832409","0.509612283911764","0.582802123753054"
"Important","1990","(2c_gen) general maturity certificate","Male","80","0.483321026683679","0.40564665167086","0.560995401696498"
"Important","1990","(2c_gen) general maturity certificate","Female","44","0.485502278448008","0.382815445654116","0.588189111241899"
"Important","1990","(2c_voc) vocational maturity certificate","Male","80","0.47493091679822","0.399418756548255","0.550443077048184"
"Important","1990","(2c_voc) vocational maturity certificate","Female","82","0.528304328573127","0.447879477885624","0.608729179260629"
"Important","1990","(3a) lower tertiary education","Male","87","0.547699778714441","0.471985336050674","0.623414221378207"
"Important","1990","(3a) lower tertiary education","Female","36","0.601186587590842","0.480275163710731","0.722098011470952"
"Important","1990","(3b) higher tertiary education","Male","148","0.546003381996756","0.486616546474018","0.605390217519494"
"Important","1990","(3b) higher tertiary education","Female","76","0.526829698897063","0.448229054668649","0.605430343125477"
"Less important","1990","(0) in school","Male","7","","",""
"Less important","1990","(0) in school","Female","3","","",""
"Less important","1990","(1a) inadequately completed","Male","6","","",""
"Less important","1990","(1a) inadequately completed","Female","10","","",""
"Less important","1990","(1b) general elementary school","Male","78","0.230039444775547","0.185694365514095","0.274384524037"
"Less important","1990","(1b) general elementary school","Female","317","0.331124714433796","0.301882859133454","0.360366569734138"
"Less important","1990","(1c) basic vocational qualification","Male","427","0.281507728773192","0.259111309249496","0.303904148296887"
"Less important","1990","(1c) basic vocational qualification","Female","317","0.272575804553633","0.247350376862351","0.297801232244915"
"Less important","1990","(2b) intermediate general qualification","Male","9","","",""
"Less important","1990","(2b) intermediate general qualification","Female","52","0.241377949635653","0.183224169330347","0.299531729940959"
"Less important","1990","(2a) intermediate vocational","Male","87","0.181982805525358","0.148627653394523","0.215337957656193"
"Less important","1990","(2a) intermediate vocational","Female","175","0.280502467004366","0.247481005731622","0.313523928277111"
"Less important","1990","(2c_gen) general maturity certificate","Male","13","","",""
"Less important","1990","(2c_gen) general maturity certificate","Female","10","","",""
"Less important","1990","(2c_voc) vocational maturity certificate","Male","37","0.206353221517147","0.145158677127991","0.267547765906302"
