"plh0106","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Not Employed","no migration background","338","0.127379020188966","0.113995919588448","0.140762120789485"
"Very important","1990","Not Employed","direct migration background","27","","",""
"Very important","1990","Not Employed","indirect migration background","4","","",""
"Very important","1990","Employed","no migration background","874","0.208046248589661","0.195800924898073","0.22029157228125"
"Very important","1990","Employed","direct migration background","65","0.251035215975832","0.198730102159751","0.303340329791913"
"Very important","1990","Employed","indirect migration background","12","","",""
"Important","1990","Not Employed","no migration background","1101","0.453962432056555","0.433976878383001","0.473947985730109"
"Important","1990","Not Employed","direct migration background","80","0.448767850612215","0.375287724165738","0.522247977058693"
"Important","1990","Not Employed","indirect migration background","12","","",""
"Important","1990","Employed","no migration background","2385","0.563768361425176","0.548807749932786","0.578728972917567"
"Important","1990","Employed","direct migration background","151","0.548855898972558","0.488830792751863","0.608881005193253"
"Important","1990","Employed","indirect migration background","18","","",""
"Less important","1990","Not Employed","no migration background","736","0.31864796292919","0.299943884363759","0.337352041494621"
"Less important","1990","Not Employed","direct migration background","55","0.318612700426427","0.249775957025299","0.387449443827555"
"Less important","1990","Not Employed","indirect migration background","5","","",""
"Less important","1990","Employed","no migration background","872","0.205959735432195","0.193759931801578","0.218159539062813"
"Less important","1990","Employed","direct migration background","46","0.19281187264925","0.145223550091696","0.240400195206805"
"Less important","1990","Employed","indirect migration background","2","","",""
"Quite unimportant","1990","Not Employed","no migration background","209","0.100010584825289","0.0879675303792836","0.112053639271295"
"Quite unimportant","1990","Not Employed","direct migration background","14","","",""
"Quite unimportant","1990","Not Employed","indirect migration background","2","","",""
"Quite unimportant","1990","Employed","no migration background","90","0.0222256545529669","0.0177784509384254","0.0266728581675084"
"Quite unimportant","1990","Employed","direct migration background","2","","",""
"Quite unimportant","1990","Employed","indirect migration background","","","",""
"Very important","1991","Not Employed","no migration background","","","",""
"Very important","1991","Not Employed","direct migration background","","","",""
"Very important","1991","Not Employed","indirect migration background","","","",""
