"plh0106","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","general elemantary","795","0.475207719963772","0.450852206477505","0.499563233450039","2"
"Important","1990","inadequately","38","0.550341077422297","0.436225683545014","0.66445647129958","2"
"Important","1990","middle vocational","2092","0.531201501604468","0.515483288604134","0.546919714604803","2"
"Important","1990","in school","53","0.483707275264965","0.389891870978856","0.577522679551074","2"
"Important","1990","vocational + Abi","103","0.482301251142672","0.413731786411659","0.550870715873685","2"
"Important","1990","higher vocational","279","0.561634199057877","0.517923213697363","0.605345184418392","2"
"Important","1990","higher education","347","0.546782577470751","0.508630354364191","0.584934800577311","2"
"Less important","1990","general elemantary","453","0.290497918884422","0.268356258901958","0.312639578866885","3"
"Less important","1990","middle vocational","942","0.256422996707662","0.242669222914767","0.270176770500558","3"
"Less important","1990","inadequately","16","","","","3"
"Less important","1990","vocational + Abi","42","0.188199172151631","0.134561909396638","0.241836434906625","3"
"Less important","1990","higher vocational","116","0.228733005451112","0.19173210585631","0.265733905045914","3"
"Less important","1990","in school","10","","","","3"
"Less important","1990","higher education","122","0.175521381778172","0.146366322411379","0.204676441144965","3"
"Quite unimportant","1990","higher vocational","18","","","","4"
"Quite unimportant","1990","middle vocational","141","0.0422637884387388","0.0359267318886272","0.0486008449888504","4"
"Quite unimportant","1990","higher education","20","","","","4"
"Quite unimportant","1990","general elemantary","125","0.0910965023585924","0.0770628224579109","0.105130182259274","4"
"Quite unimportant","1990","vocational + Abi","5","","","","4"
"Quite unimportant","1990","inadequately","5","","","","4"
"Quite unimportant","1990","in school","","","","","4"
"Very important","1990","in school","46","0.419498923715937","0.326858233486634","0.512139613945241","1"
"Very important","1990","inadequately","14","","","","1"
"Very important","1990","general elemantary","242","0.143197858793214","0.126114614110378","0.160281103476051","1"
"Very important","1990","middle vocational","697","0.17011171324913","0.158277010796253","0.181946415702008","1"
"Very important","1990","vocational + Abi","54","0.29610907483927","0.233460449052664","0.358757700625877","1"
"Very important","1990","higher vocational","82","0.16511588839462","0.1324079611943","0.197823815594941","1"
"Very important","1990","higher education","165","0.245713579960648","0.212719050361276","0.27870810956002","1"
"Important","1991","inadequately","","","","","2"
"Important","1991","in school","","","","","2"
"Important","1991","general elemantary","","","","","2"
"Important","1991","middle vocational","","","","","2"
"Important","1991","vocational + Abi","","","","","2"
"Important","1991","higher vocational","","","","","2"
"Important","1991","higher education","","","","","2"
"Less important","1991","inadequately","","","","","3"
"Less important","1991","in school","","","","","3"
"Less important","1991","general elemantary","","","","","3"
"Less important","1991","middle vocational","","","","","3"
"Less important","1991","vocational + Abi","","","","","3"
"Less important","1991","higher vocational","","","","","3"
"Less important","1991","higher education","","","","","3"
"Quite unimportant","1991","general elemantary","","","","","4"
"Quite unimportant","1991","middle vocational","","","","","4"
"Quite unimportant","1991","inadequately","","","","","4"
"Quite unimportant","1991","higher vocational","","","","","4"
"Quite unimportant","1991","higher education","","","","","4"
"Quite unimportant","1991","vocational + Abi","","","","","4"
"Quite unimportant","1991","in school","","","","","4"
"Very important","1991","in school","","","","","1"
"Very important","1991","inadequately","","","","","1"
"Very important","1991","general elemantary","","","","","1"
"Very important","1991","middle vocational","","","","","1"
"Very important","1991","vocational + Abi","","","","","1"
"Very important","1991","higher vocational","","","","","1"
"Very important","1991","higher education","","","","","1"
"Important","1992","inadequately","53","0.55389187728871","0.454969444694238","0.652814309883183","2"
"Important","1992","in school","70","0.521180633788972","0.438725343827654","0.60363592375029","2"
"Important","1992","general elemantary","916","0.466472263323136","0.444232837122564","0.488711689523709","2"
"Important","1992","middle vocational","3159","0.507911080881533","0.495257987788033","0.520564173975033","2"
"Important","1992","vocational + Abi","139","0.45375533673007","0.396749574465731","0.51076109899441","2"
"Important","1992","higher vocational","378","0.492162941202192","0.456287658936353","0.528038223468031","2"
"Important","1992","higher education","849","0.513902089156681","0.489480600262251","0.538323578051112","2"
"Less important","1992","inadequately","20","","","","3"
