"plh0106","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Very important","1990","no migration background","Urban Area","954","0.181259284771838","0.170638568739027","0.191880000804649"
"Very important","1990","no migration background","Rural Area","258","0.158726903559835","0.140540954742588","0.176912852377082"
"Very important","1990","direct migration background","Urban Area","75","0.209654195660636","0.16789404912971","0.251414342191563"
"Very important","1990","direct migration background","Rural Area","17","","",""
"Very important","1990","indirect migration background","Urban Area","12","","",""
"Very important","1990","indirect migration background","Rural Area","4","","",""
"Important","1990","no migration background","Urban Area","2635","0.517145569479594","0.503368876287583","0.530922262671604"
"Important","1990","no migration background","Rural Area","851","0.529774912834059","0.504935530958949","0.554614294709168"
"Important","1990","direct migration background","Urban Area","189","0.498830457060559","0.447535995539237","0.550124918581881"
"Important","1990","direct migration background","Rural Area","42","0.537419302485844","0.424578064255351","0.650260540716338"
"Important","1990","indirect migration background","Urban Area","29","","",""
"Important","1990","indirect migration background","Rural Area","1","","",""
"Less important","1990","no migration background","Urban Area","1249","0.252628186035739","0.240648657355948","0.264607714715531"
"Less important","1990","no migration background","Rural Area","359","0.244688558019893","0.223293569647761","0.266083546392025"
"Less important","1990","direct migration background","Urban Area","88","0.256020841165992","0.211247479446706","0.300794202885279"
"Less important","1990","direct migration background","Rural Area","13","","",""
"Less important","1990","indirect migration background","Urban Area","7","","",""
"Less important","1990","indirect migration background","Rural Area","","","",""
"Quite unimportant","1990","no migration background","Urban Area","216","0.0489669597128293","0.0430174682604021","0.0549164511652565"
"Quite unimportant","1990","no migration background","Rural Area","83","0.0668096255862128","0.0543831824642031","0.0792360687082224"
"Quite unimportant","1990","direct migration background","Urban Area","13","","",""
"Quite unimportant","1990","direct migration background","Rural Area","3","","",""
"Quite unimportant","1990","indirect migration background","Urban Area","","","",""
"Quite unimportant","1990","indirect migration background","Rural Area","2","","",""
"Very important","1991","no migration background","Urban Area","","","",""
"Very important","1991","no migration background","Rural Area","","","",""
"Very important","1991","direct migration background","Urban Area","","","",""
"Very important","1991","direct migration background","Rural Area","","","",""
"Very important","1991","indirect migration background","Urban Area","","","",""
"Very important","1991","indirect migration background","Rural Area","","","",""
"Important","1991","no migration background","Urban Area","","","",""
"Important","1991","no migration background","Rural Area","","","",""
"Important","1991","direct migration background","Urban Area","","","",""
"Important","1991","direct migration background","Rural Area","","","",""
"Important","1991","indirect migration background","Urban Area","","","",""
"Important","1991","indirect migration background","Rural Area","","","",""
"Less important","1991","no migration background","Urban Area","","","",""
"Less important","1991","no migration background","Rural Area","","","",""
"Less important","1991","direct migration background","Urban Area","","","",""
"Less important","1991","direct migration background","Rural Area","","","",""
"Less important","1991","indirect migration background","Urban Area","","","",""
"Less important","1991","indirect migration background","Rural Area","","","",""
"Quite unimportant","1991","no migration background","Urban Area","","","",""
"Quite unimportant","1991","no migration background","Rural Area","","","",""
"Quite unimportant","1991","direct migration background","Urban Area","","","",""
"Quite unimportant","1991","direct migration background","Rural Area","","","",""
"Quite unimportant","1991","indirect migration background","Urban Area","","","",""
"Quite unimportant","1991","indirect migration background","Rural Area","","","",""
"Very important","1992","no migration background","Urban Area","1232","0.179134020784955","0.169607409074938","0.188660632494971"
"Very important","1992","no migration background","Rural Area","834","0.190773645330323","0.178494155715558","0.203053134945088"
"Very important","1992","direct migration background","Urban Area","83","0.21113463414086","0.17123983809653","0.25102943018519"
"Very important","1992","direct migration background","Rural Area","29","","",""
"Very important","1992","indirect migration background","Urban Area","14","","",""
"Very important","1992","indirect migration background","Rural Area","6","","",""
"Important","1992","no migration background","Urban Area","3177","0.50266448533974","0.490242896873422","0.515086073806058"
"Important","1992","no migration background","Rural Area","2056","0.492417746163079","0.476793244279302","0.508042248046856"
"Important","1992","direct migration background","Urban Area","211","0.513334906489461","0.464475232867287","0.562194580111634"
"Important","1992","direct migration background","Rural Area","77","0.359532930209728","0.287398705240081","0.431667155179376"
"Important","1992","indirect migration background","Urban Area","32","0.545333762920342","0.423340555447695","0.667326970392988"
"Important","1992","indirect migration background","Rural Area","5","","",""
"Less important","1992","no migration background","Urban Area","1475","0.249440766877341","0.238691236248577","0.260190297506105"
"Less important","1992","no migration background","Rural Area","866","0.248643331586683","0.235135127964191","0.262151535209175"
"Less important","1992","direct migration background","Urban Area","82","0.206937675933186","0.167336461237276","0.246538890629096"
"Less important","1992","direct migration background","Rural Area","54","0.394271074244988","0.32080949759171","0.467732650898265"
"Less important","1992","indirect migration background","Urban Area","16","","",""
"Less important","1992","indirect migration background","Rural Area","3","","",""
"Quite unimportant","1992","no migration background","Urban Area","340","0.068760726997964","0.0624741509941672","0.0750473030017608"
"Quite unimportant","1992","no migration background","Rural Area","177","0.0681652769199148","0.0602887064247232","0.0760418474151063"
"Quite unimportant","1992","direct migration background","Urban Area","26","","",""
"Quite unimportant","1992","direct migration background","Rural Area","10","","",""
"Quite unimportant","1992","indirect migration background","Urban Area","2","","",""
"Quite unimportant","1992","indirect migration background","Rural Area","","","",""
"Very important","1993","no migration background","Urban Area","","","",""
"Very important","1993","no migration background","Rural Area","","","",""
"Very important","1993","direct migration background","Urban Area","","","",""
"Very important","1993","direct migration background","Rural Area","","","",""
"Very important","1993","indirect migration background","Urban Area","","","",""
"Very important","1993","indirect migration background","Rural Area","","","",""
"Important","1993","no migration background","Urban Area","","","",""
"Important","1993","no migration background","Rural Area","","","",""
"Important","1993","direct migration background","Urban Area","","","",""
"Important","1993","direct migration background","Rural Area","","","",""
"Important","1993","indirect migration background","Urban Area","","","",""
"Important","1993","indirect migration background","Rural Area","","","",""
"Less important","1993","no migration background","Urban Area","","","",""
"Less important","1993","no migration background","Rural Area","","","",""
"Less important","1993","direct migration background","Urban Area","","","",""
"Less important","1993","direct migration background","Rural Area","","","",""
"Less important","1993","indirect migration background","Urban Area","","","",""
"Less important","1993","indirect migration background","Rural Area","","","",""
"Quite unimportant","1993","no migration background","Urban Area","","","",""
"Quite unimportant","1993","no migration background","Rural Area","","","",""
